SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
Duke,1,85,3,30-6,1,16-1,14-5,5-4,1,1,23,11,11-3,6-3,11-0,17-6
Louisville,2,88,5,35-5,2,18-1,17-4,8-3,4,5,4,10,15-4,5-1,10-0,20-5
NewMexico,3,84,2,29-6,9,13-3,16-3,9-4,5,6,27,42,10-3,9-3,9-0,19-6
Miami(FL),4,94,9,29-7,12,11-4,18-3,10-3,7,3,13,13,9-3,7-2,10-2,16-5
Kansas,5,106,29,31-6,8,14-2,17-4,7-3,17,19,21,5,14-4,2-1,7-0,16-5
MichiganSt.,6,87,4,26-9,14,12-3,14-6,6-5,2,14,6,61,9-9,3-0,9-0,12-9
Gonzaga,7,130,90,31-3,17,13-3,18-0,10-1,60,37,82,33,6-3,6-0,9-0,12-3
Florida,8,103,25,29-8,6,13-3,16-5,7-6,14,4,55,14,6-5,10-3,7-0,16-8
OhioSt.,9,95,12,29-8,25,13-3,16-5,5-5,12,68,3,60,10-8,2-0,11-0,12-8
Syracuse,10,89,6,30-10,11,15-2,15-8,5-5,3,34,18,82,8-9,8-1,9-0,16-10
Michigan,11,96,14,30-8,5,17-1,13-7,5-5,16,24,2,15,12-7,3-0,10-1,15-7
Indiana,12,98,17,29-7,16,14-2,15-5,7-2,10,41,19,125,10-7,3-0,11-0,13-7
Marquette,13,94,9,26-9,15,12-3,14-6,5-6,9,35,10,35,9-7,4-1,8-1,13-8
Memphis,14,129,87,31-5,47,12-5,19-0,9-1,40,42,95,26,4-4,8-1,10-0,12-5
Georgetown,15,102,22,25-7,54,10-2,15-5,6-3,18,165,14,133,9-4,4-2,6-1,13-6
Arizona,16,101,21,27-8,4,14-1,13-7,7-4,19,16,24,17,7-6,7-1,10-1,14-7
SaintLouis,17,118,59,28-7,61,12-4,16-3,6-3,35,86,63,88,7-3,7-3,6-0,14-6
WichitaSt.,18,113,43,30-9,3,16-2,14-7,7-5,34,9,67,25,7-3,5-5,14-1,12-8
NorthCarolina,19,97,15,24-11,36,10-4,14-7,6-6,8,62,20,22,2-9,9-1,9-1,11-10
ColoradoSt.,20,102,22,24-9,19,12-3,12-6,6-7,41,72,17,37,4-8,9-0,7-1,13-8
Butler,21,108,36,26-9,10,13-2,13-7,7-4,27,36,44,24,6-7,6-2,7-0,12-9
Creighton,22,114,44,28-8,21,12-3,16-5,7-5,70,55,46,7,5-4,8-2,12-2,13-6
KansasSt.,23,118,59,26-8,63,10-3,16-5,7-3,48,139,44,109,6-8,2-0,8-0,8-8
Belmont,24,148,122,24-7,18,8-5,16-2,8-5,62,2,135,56,1-3,5-0,9-4,6-3
StMary's(CA),25,136,103,27-7,35,12-4,15-3,9-2,59,58,110,121,2-4,5-1,10-2,7-5
VCU,26,115,48,27-9,26,13-4,14-5,8-3,30,32,65,65,4-8,9-1,5-0,13-9
SouthernMiss.,27,132,95,25-10,34,11-5,14-5,9-7,45,50,120,184,0-5,6-3,12-1,6-8
OklahomaSt.,28,116,53,24-9,55,10-3,14-6,5-5,47,103,42,84,6-7,3-1,7-1,9-8
UNLV,29,98,17,24-10,31,12-3,12-7,6-6,22,90,22,46,7-6,7-2,5-2,14-8
Minnesota,30,81,1,21-13,7,13-2,8-11,3-8,6,11,1,19,6-9,6-1,7-3,12-10
Wisconsin,31,97,15,23-12,112,9-5,14-7,5-6,13,123,5,117,8-9,3-2,6-1,11-11
UCLA,32,103,25,25-10,75,10-4,15-6,6-3,24,83,38,41,5-5,8-2,10-3,13-7
MiddleTenn.,33,168,141,28-6,23,8-4,20-2,11-3,114,8,137,58,1-4,0-0,15-2,1-4
LaSalle,34,116,53,24-10,22,13-4,11-6,8-6,52,43,68,67,5-5,3-4,10-1,8-9
SanDiegoSt.,35,94,9,21-11,28,11-3,10-8,4-6,25,94,8,21,6-8,3-3,9-0,9-11
Oregon,36,124,79,28-9,40,13-3,15-6,6-5,92,134,47,76,6-4,5-4,11-1,11-8
NorthCarolinaSt.,37,112,42,24-11,38,11-3,13-8,3-7,39,89,33,51,3-7,4-3,13-1,7-10
