SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
Illinois,38,93,8,22-13,13,13-2,9-11,5-6,11,30,7,95,7-10,1-1,9-2,8-11
NotreDame,39,114,44,25-10,79,12-2,13-8,4-5,56,257,25,162,5-7,5-3,7-0,10-10
Temple,40,118,59,24-10,27,13-4,11-6,8-4,53,57,54,28,5-4,6-3,6-2,11-7
IowaSt.,41,115,48,23-12,45,11-4,12-8,4-8,31,74,60,147,5-9,4-1,6-1,9-10
Missouri,42,124,79,23-11,39,11-3,12-8,2-8,42,82,88,91,4-6,5-4,4-1,9-10
Colorado,43,103,25,21-12,20,10-3,11-9,5-7,23,49,35,27,4-5,5-5,10-2,9-10
Oklahoma,44,107,33,20-12,43,8-4,12-8,5-7,26,28,39,73,3-8,5-2,7-1,8-10
OleMiss,45,139,108,27-9,73,12-3,15-6,6-6,124,243,77,112,4-4,5-2,7-1,9-6
Pittsburgh,46,118,59,24-9,76,12-2,12-7,6-3,79,245,41,214,4-8,5-0,6-1,9-8
Connecticut,47,106,29,20-10,29,10-2,10-8,4-5,49,100,12,43,4-7,5-2,6-1,9-9
Akron,48,170,144,25-7,65,9-5,16-2,7-4,118,59,160,137,1-3,4-1,7-1,5-4
Cincinnati,49,106,29,22-12,44,12-2,10-10,4-5,21,141,36,138,5-10,4-2,6-0,9-12
BoiseSt.,50,110,38,19-11,48,10-3,9-8,5-8,77,192,32,104,4-8,4-1,7-2,8-9
LouisianaTech,51,183,186,26-7,51,10-4,16-3,11-6,184,190,143,173,1-1,3-3,8-1,4-4
California,52,107,33,21-12,64,9-5,12-7,6-5,36,39,37,39,6-6,1-5,10-1,7-11
Bucknell,53,190,217,27-6,37,12-4,15-2,12-4,177,148,189,103,1-2,2-0,7-4,3-2
Villanova,54,102,22,19-14,105,8-5,11-9,7-7,20,146,15,98,5-9,3-3,6-1,8-12
Baylor,55,106,29,22-14,32,13-4,9-10,4-7,29,40,49,62,2-11,7-0,6-3,9-11
NewMexicoSt.,56,157,129,23-11,97,6-7,17-4,6-8,106,20,126,8,1-3,3-4,8-4,4-7
Kentucky,57,125,81,21-12,80,9-5,12-7,4-8,72,65,61,52,3-4,3-4,6-4,6-8
BYU,58,129,87,23-12,33,13-5,10-7,7-5,83,47,92,50,1-6,5-3,7-3,6-9
Massachusetts,59,120,68,21-12,52,10-4,11-8,8-4,78,70,71,111,2-7,7-3,4-2,9-10
Valparaiso,60,176,159,25-8,86,10-5,15-3,10-5,151,213,140,122,0-3,2-1,12-3,2-4
Iowa,61,122,73,25-13,59,15-3,10-10,3-8,99,220,31,163,4-9,5-1,9-3,9-10
Maryland,62,131,93,25-13,56,15-2,10-11,4-7,93,229,62,243,3-5,3-6,13-2,6-11
Denver,63,162,133,22-10,138,6-7,16-3,8-7,128,73,130,48,0-2,4-6,7-1,4-8
Alabama,64,123,75,22-13,111,9-6,13-7,4-8,84,85,78,75,0-6,8-3,8-3,8-9
Davidson,65,207,276,25-8,99,5-7,20-1,9-4,168,22,249,4,0-4,2-1,6-0,2-5
Tennessee,66,119,64,20-13,98,8-5,12-8,4-7,64,67,81,93,3-5,5-5,4-3,8-10
EastCarolina,67,142,113,19-12,46,10-4,9-8,6-7,61,54,127,281,0-5,3-3,10-2,3-8
SantaClara,68,153,124,24-12,41,15-4,9-8,10-6,111,107,121,212,1-5,0-2,12-2,1-7
EasternKy.,69,188,207,23-10,74,10-5,13-5,9-8,146,171,252,338,0-3,0-2,10-3,0-5
SouthDakotaSt.,70,185,192,22-10,83,6-7,16-3,7-9,174,53,186,54,1-3,3-2,4-2,4-5
Detroit,71,153,124,18-13,91,6-8,12-5,7-10,87,27,131,38,1-5,1-3,9-3,2-8
IndianaSt.,72,115,48,17-15,50,7-5,10-10,4-10,46,33,76,55,4-6,4-2,5-7,8-8
FGCU,73,183,186,24-11,30,8-6,16-5,7-9,153,12,182,6,3-4,1-1,4-1,4-5
Stanford,74,110,38,19-15,68,10-5,9-10,5-7,43,71,59,83,1-10,6-3,8-2,7-13
StephenFAustin,74,204,268,23-5,42,6-2,17-3,11-4,306,227,223,45,1-0,1-3,6-1,2-3
Ohio,76,176,159,24-10,147,9-7,15-3,7-7,144,169,151,143,0-6,1-2,7-1,1-8
StonyBrook,77,201,251,24-8,78,9-5,15-3,13-7,242,216,216,114,0-1,1-2,9-4,1-3
WeberSt.,78,218,297,28-7,70,8-4,20-3,11-5,232,92,285,100,0-0,3-4,5-1,3-4
AirForce,79,121,71,16-14,118,8-5,8-9,4-11,58,187,86,324,4-10,2-2,2-2,6-12
UNI,80,119,64,20-15,95,8-7,12-8,5-6,33,13,97,90,3-5,0-8,13-2,3-13
Charlotte,81,137,105,21-12,72,12-3,9-9,5-7,110,230,101,242,2-6,6-3,3-3,8-9
Montana,82,217,294,23-7,155,2-6,21-1,10-4,198,17,290,9,0-2,2-4,2-1,2-6
Virginia,83,140,110,23-12,143,12-4,11-8,3-8,119,256,94,270,4-3,5-2,8-6,9-5
Harvard,84,173,151,19-10,66,8-7,11-3,6-8,145,38,132,12,1-4,1-2,6-2,2-6
NorthwesternSt.,85,193,224,19-9,129,2-6,17-3,8-7,164,15,254,23,0-2,3-3,1-3,3-5
Providence,86,115,48,19-15,124,10-5,9-10,4-8,57,212,48,222,2-9,4-2,7-2,6-11
Wyoming,87,116,53,18-14,24,13-1,5-13,6-7,66,143,72,294,2-10,1-2,8-2,3-12
NorthDakotaSt.,88,188,207,22-10,49,8-5,14-5,8-8,188,102,209,126,0-3,1-2,7-5,1-5
Evansville,89,128,85,20-15,85,10-6,10-9,5-11,94,96,107,200,2-5,4-3,10-6,6-8
Richmond,90,135,101,19-15,87,11-6,8-9,4-11,85,122,112,245,1-7,3-5,5-3,4-12
StJohn's(NY),91,110,38,17-16,96,9-5,8-11,5-8,37,120,53,219,3-7,3-5,4-3,6-12
LSU,92,142,113,19-12,62,9-2,10-10,4-8,112,240,104,279,1-6,3-3,6-1,4-9
FloridaSt.,93,111,41,18-16,150,8-6,10-10,4-7,44,131,43,81,1-9,6-2,7-4,7-11
ArizonaSt.,94,138,107,22-13,108,12-3,10-10,4-7,113,267,89,295,3-6,4-4,6-2,7-10
Xavier,95,115,48,17-14,132,7-6,10-8,4-7,82,117,56,47,5-3,0-6,7-4,5-9
Washington,96,117,57,18-16,133,8-6,10-10,5-7,50,99,69,119,2-10,5-1,7-5,7-11
UTEP,97,135,101,18-14,120,7-7,11-7,4-7,69,26,119,28,1-7,2-1,8-6,3-8
LoyolaMaryland,98,172,150,23-12,58,11-5,12-7,8-8,156,106,159,185,0-1,0-4,14-6,0-5
Arkansas,99,133,97,19-13,117,9-4,10-9,1-9,97,137,96,223,3-6,3-3,4-3,6-9
SaintJoseph's,100,127,84,18-14,100,9-5,9-9,5-8,102,156,80,139,2-6,4-5,3-3,6-11
UCF,101,151,123,18-11,137,9-4,9-7,5-6,117,224,114,130,2-6,1-2,7-1,3-8
Pacific,102,166,138,20-13,123,4-8,16-5,4-9,136,7,146,2,1-3,1-2,7-6,2-5
Nebraska,103,95,12,15-18,77,9-4,6-14,2-10,15,75,16,205,1-14,2-2,9-2,3-16
Iona,104,161,132,20-14,116,6-7,14-7,5-9,133,81,134,57,0-2,3-2,12-8,3-4
TexasA&M,105,134,100,18-15,60,10-3,8-12,4-6,55,60,123,330,2-5,5-6,2-4,7-11
IllinoisSt.,106,132,95,18-15,103,9-4,9-11,5-8,109,214,90,179,1-5,3-5,8-5,4-10
Lehigh,107,198,238,20-10,101,9-5,11-5,9-7,229,238,204,154,0-2,1-3,3-4,1-5
TennesseeSt.,108,158,130,16-15,181,4-9,12-6,5-11,107,78,142,164,1-5,1-5,4-3,2-10
UtahSt.,109,178,166,20-10,67,9-2,11-8,7-5,175,189,170,278,0-1,3-6,4-3,3-7
Rutgers,110,114,44,15-16,82,9-2,6-14,4-8,76,246,40,249,1-11,1-3,9-0,2-14
Vanderbilt,111,125,81,16-17,148,6-6,10-11,4-8,63,91,102,164,0-7,5-9,2-0,5-16
BostonCollege,112,119,64,16-17,168,8-5,8-12,3-8,51,221,52,157,0-8,3-5,8-4,3-13
WesternMich.,113,187,200,21-13,69,10-6,11-7,7-10,190,157,202,166,0-3,2-2,7-2,2-5
Canisius,114,169,143,20-14,81,9-6,11-8,8-9,142,109,149,153,1-2,1-4,9-7,2-6
Dayton,115,123,75,17-14,109,10-4,7-10,2-8,105,199,70,106,0-7,5-3,6-3,5-10
FIU,116,182,184,18-14,84,5-4,13-10,6-10,137,84,195,280,1-3,0-2,6-6,1-5
MurraySt.,117,183,186,19-10,57,8-3,11-7,8-4,206,125,155,94,1-2,4-2,4-2,5-4
Mercer,118,197,235,22-12,114,6-7,16-5,9-8,233,140,227,79,0-1,4-4,0-4,4-5
LongBeachSt.,119,166,138,17-14,160,2-9,15-5,7-10,148,29,133,1,0-5,0-2,4-6,0-7
RobertMorris,120,200,248,24-11,102,9-6,15-5,10-7,274,218,190,141,0-0,2-3,6-7,2-3
Texas,121,118,59,16-17,139,8-5,8-12,2-9,88,210,29,34,3-12,1-1,2-4,4-13
SouthernCalifornia,122,100,20,14-18,212,5-8,9-10,3-9,54,119,9,3,2-9,4-4,6-5,6-13
GeorgeMason,123,170,144,22-16,53,11-7,11-9,8-6,127,21,158,77,0-1,3-5,9-7,3-6
Tulsa,124,153,124,16-16,144,7-7,9-9,6-8,101,151,128,195,0-5,3-3,6-5,3-8
MtStMary's,125,193,224,18-14,141,5-6,13-8,8-12,186,197,233,118,0-3,0-1,9-7,0-4
Princeton,126,185,192,16-11,104,6-7,10-4,8-6,166,51,207,120,0-2,2-1,4-5,2-3
Purdue,127,114,44,16-18,221,8-7,8-11,4-7,75,226,30,201,3-9,1-5,7-3,4-14
WrightSt.,128,180,176,22-13,179,10-6,12-7,8-7,205,308,144,192,0-1,3-6,7-4,3-7
Wagner,129,198,238,19-12,93,6-5,13-7,7-9,196,150,260,262,0-2,0-1,9-6,0-3
Niagara,130,173,151,19-14,214,5-8,14-6,7-8,149,108,171,210,0-1,3-3,8-7,3-4
KentSt.,131,178,166,20-14,106,10-6,10-8,8-7,143,149,179,231,1-3,0-6,4-3,1-9
OralRoberts,132,177,163,19-15,89,6-9,13-6,9-8,155,18,196,36,0-4,1-7,4-1,1-11
SetonHall,133,120,68,15-18,71,11-2,4-16,3-9,68,249,57,322,0-11,2-5,5-2,2-16
Albany(NY),134,207,276,24-11,107,12-4,12-7,11-5,272,287,230,167,0-2,2-3,5-5,2-5
Texas-Arlington,135,175,156,19-14,176,6-6,13-8,10-5,141,193,184,296,0-3,1-6,4-4,1-9
UCIrvine,136,179,171,19-16,121,6-8,13-8,5-13,169,104,192,85,0-3,0-2,8-5,0-5
WesternIll.,137,207,276,20-9,203,6-5,14-4,7-6,307,309,220,234,0-0,2-4,4-3,2-4
Vermont,138,201,251,21-12,122,8-6,13-6,9-7,226,182,251,207,0-1,2-2,7-7,2-3
Rider,139,178,166,19-15,154,7-8,12-7,8-9,160,152,210,285,0-1,1-3,8-9,1-4
Drake,140,121,71,14-17,142,6-5,8-12,4-7,86,132,83,86,1-6,3-6,7-5,4-12
Delaware,141,187,200,19-14,140,5-8,14-6,8-7,180,46,163,63,0-5,1-1,4-7,1-6
UAB,142,145,118,15-17,167,7-7,8-10,4-10,100,206,118,155,0-8,1-2,4-6,1-10
Georgia,143,122,73,15-17,228,6-7,9-10,3-8,81,164,75,70,0-7,4-4,5-5,4-11
StBonaventure,144,136,103,14-15,145,7-6,7-9,5-9,123,185,99,228,1-6,3-3,1-5,4-9
ColofCharleston,145,216,291,24-10,136,8-5,16-5,11-2,247,159,279,116,0-1,1-4,6-2,1-5
FresnoSt.,146,91,7,9-19,190,4-7,5-12,5-10,32,173,25,99,2-11,2-2,4-6,4-13
JacksonvilleSt.,147,187,200,15-11,90,7-3,8-8,6-8,224,278,176,289,0-4,0-2,2-4,0-6
GeorgeWashington,148,126,83,13-17,184,6-7,7-10,5-9,96,188,87,186,0-8,2-4,5-5,2-12
WesternKy.,149,175,156,19-16,152,5-6,14-10,4-9,152,87,136,44,0-6,0-1,6-7,0-7
SouthFla.,150,103,25,12-19,88,9-3,3-16,2-10,28,163,34,215,2-10,0-4,5-5,2-14
WestVirginia,151,117,57,13-19,113,7-5,6-14,3-9,73,142,50,128,0-13,1-3,4-1,1-16
N.CCentral,152,227,312,19-9,165,4-7,15-2,9-5,304,105,298,190,0-2,0-2,2-3,0-4
GeorgiaTech,153,139,108,16-15,110,10-2,6-13,3-7,131,326,58,193,2-7,2-3,5-5,4-10
Towson,154,199,247,17-13,191,4-8,13-5,9-8,208,158,241,255,0-2,0-3,6-4,0-5
BostonU.,155,198,238,17-13,170,6-8,11-5,7-9,203,180,261,240,0-1,0-4,5-7,0-5
Northeastern,156,189,214,20-13,188,5-8,15-5,10-3,192,101,197,144,1-1,0-3,9-4,1-4
Lafayette,157,192,222,18-15,259,6-10,12-5,5-12,167,255,244,232,0-1,1-5,5-3,1-6
Utah,158,119,64,13-18,213,6-4,7-14,2-10,74,271,85,327,3-6,3-6,3-3,6-12
SanDiego,158,146,119,14-18,244,5-8,9-10,4-9,95,184,125,319,0-6,2-5,2-4,2-11
SouthAla.,160,185,192,16-13,285,2-6,14-7,7-7,202,269,154,142,0-2,1-1,5-7,1-3
ArkansasSt.,161,201,251,18-12,201,5-3,13-9,5-9,260,328,194,301,1-1,0-0,6-7,1-1
CalPoly,162,183,186,16-14,209,3-7,13-7,4-12,207,153,178,20,1-1,0-3,3-6,1-4
Northwestern,163,109,37,13-19,163,9-4,4-15,3-7,67,235,28,216,2-10,1-5,4-4,3-15
SanFrancisco,164,141,112,13-16,173,6-6,7-10,6-5,116,175,108,151,0-6,3-4,1-3,3-10
GreenBay,165,174,154,17-16,268,5-9,12-7,4-12,176,266,141,133,1-1,2-5,4-8,3-6
Oakland,166,170,144,14-17,135,4-10,10-7,6-14,157,44,177,53,0-3,3-5,3-4,3-8
Bryant,167,196,231,19-12,171,7-5,12-7,8-7,261,281,212,191,0-1,0-2,8-7,0-3
SavannahSt.,168,205,270,17-15,92,5-9,12-6,7-11,193,10,286,105,0-5,0-1,3-4,0-6
JamesMadison,169,202,260,21-15,225,7-8,14-7,4-9,237,265,203,160,0-2,0-2,8-5,0-4
NorfolkSt.,170,227,312,21-12,247,5-11,16-1,10-9,333,264,270,96,0-2,0-4,1-3,0-6
WakeForest,171,123,75,13-18,198,7-5,6-13,1-10,89,241,64,247,2-5,3-5,3-8,5-10
SouthernU.,172,247,340,20-10,172,3-7,17-3,8-8,336,167,336,32,0-2,0-1,2-4,0-3
Tulane,173,184,191,19-15,125,12-4,7-11,3-10,208,311,139,315,0-3,1-3,4-8,1-6
UALR,174,180,176,16-15,169,5-5,11-10,3-10,165,137,181,252,0-4,0-2,5-5,0-6
Fairfield,175,187,200,19-16,159,8-6,11-10,7-10,257,298,153,187,0-0,1-4,6-10,1-4
VirginiaTech,176,128,85,13-19,151,9-4,4-15,2-9,91,260,73,237,1-8,2-5,4-5,3-13
Ill.-Chicago,177,175,156,17-16,130,9-6,8-10,4-10,182,225,162,230,1-1,0-5,8-5,1-6
MoreheadSt.,178,155,128,13-18,187,4-9,9-9,4-12,120,56,150,150,0-3,1-6,6-5,1-9
Bradley,179,153,124,18-17,166,11-4,7-13,4-10,195,331,106,264,0-5,2-5,9-6,2-10
Nevada,180,107,33,11-19,131,8-5,3-14,2-11,80,201,51,198,1-10,2-4,5-4,3-14
Elon,181,232,322,19-12,158,5-6,14-6,8-7,298,154,296,189,0-2,0-2,0-4,0-4
OregonSt.,182,133,97,14-18,127,10-3,4-15,3-8,126,280,91,306,1-7,2-7,5-4,3-14
PennSt.,183,99,19,10-21,128,8-4,2-17,1-9,38,177,11,124,1-13,2-2,1-6,3-15
LIUBrooklyn,184,202,260,20-14,289,5-8,15-6,7-9,290,324,206,202,0-0,0-2,9-9,0-2
Manhattan,185,171,149,14-18,238,3-8,11-10,5-11,150,211,161,159,0-1,1-4,6-9,1-5
TexasSouthern,186,215,288,17-14,262,1-12,16-2,7-11,262,23,318,30,0-7,0-0,1-5,0-7
Clemson,187,140,110,13-18,205,8-4,5-14,3-9,130,330,74,275,0-8,2-5,4-4,2-13
SouthernIll.,188,146,119,13-17,156,7-4,6-13,4-11,173,320,109,307,1-4,3-3,4-9,4-7
CharlestonSo.,189,227,312,16-13,233,2-8,14-5,6-9,275,79,303,89,0-3,0-2,0-4,0-5
YoungstownSt.,190,177,163,15-16,197,7-6,8-10,6-8,189,286,156,169,0-0,1-4,4-10,1-4
WashingtonSt.,191,130,90,13-19,161,9-4,4-15,1-9,108,272,79,233,1-8,0-7,5-3,1-15
Houston,192,198,238,19-13,180,11-3,8-10,5-8,309,345,147,339,0-2,1-3,4-6,1-5
Toledo,193,202,260,15-13,237,5-7,10-6,6-9,285,288,208,203,0-2,0-4,2-2,0-6
Quinnipiac,194,194,226,15-16,223,4-8,11-8,6-8,179,116,278,312,0-1,0-0,8-10,0-1
Hartford,195,202,260,17-14,204,7-7,10-7,7-8,284,268,224,172,0-2,1-2,5-7,1-4
Gardner-Webb,196,234,328,18-13,192,6-7,12-6,6-9,315,244,294,175,0-2,0-3,3-0,0-5
Idaho,197,162,133,11-18,175,4-6,7-12,6-8,129,121,148,177,0-2,0-9,2-5,0-11
MissouriSt.,198,120,68,9-22,297,1-10,8-12,2-12,71,129,105,225,0-7,2-6,6-5,2-13
Yale,199,186,197,12-17,216,4-11,8-6,5-11,178,110,218,174,0-3,0-4,3-4,0-7
CentralConnSt.,200,191,220,13-17,202,4-7,9-10,7-10,194,196,228,197,1-2,0-0,3-12,1-2
RhodeIsland,201,116,53,8-21,200,5-8,3-13,3-9,65,80,84,132,1-6,0-8,2-6,1-14
Ark.-PineBluff,201,233,326,16-14,287,1-11,15-3,6-12,324,145,331,72,0-4,0-3,2-3,0-7
ClevelandSt.,203,166,138,11-18,126,6-6,5-12,3-13,132,133,200,273,0-3,1-3,5-9,1-6
DePaul,204,131,93,11-21,225,9-4,2-17,4-8,122,340,66,308,0-12,2-3,2-5,2-15
N.CA&T,205,230,318,19-17,177,7-9,12-8,5-12,303,215,317,284,0-3,1-0,2-7,1-3
Drexel,206,179,171,13-18,196,4-8,9-10,7-7,181,111,173,110,0-1,1-2,3-14,1-3
Marshall,207,146,119,12-19,271,6-8,6-11,1-11,125,277,117,152,1-4,1-6,6-6,2-10
Army,208,215,288,15-15,277,6-8,9-7,6-10,280,336,280,328,0-0,0-4,2-6,0-4
GeorgiaSt.,209,194,226,14-16,219,4-8,10-8,6-9,230,118,183,92,0-2,0-3,7-3,0-5
StFrancisBrooklyn,210,188,207,12-18,162,4-7,8-11,6-11,170,93,268,303,0-1,0-2,6-10,0-3
Pepperdine,211,168,141,11-18,195,7-5,4-13,5-10,171,319,129,343,0-4,0-5,2-6,0-9
LoyolaMarymount,212,143,116,10-22,183,6-6,4-16,2-11,104,204,124,316,0-7,2-3,1-7,2-10
SMU,213,176,159,14-17,206,9-5,5-12,6-7,273,341,122,136,0-2,0-4,5-10,0-6
TexasTech,214,130,90,11-20,272,7-4,4-16,1-8,103,305,98,345,1-11,0-4,1-4,1-15
USCUpstate,215,205,270,14-17,194,4-7,10-10,5-12,268,181,274,213,0-2,0-4,0-4,0-6
Stetson,216,198,238,14-16,273,2-8,12-8,6-9,267,183,234,78,0-2,1-3,0-5,1-5
SoutheastMoSt.,217,213,284,15-16,227,6-7,9-9,7-8,288,282,258,326,0-3,0-3,1-5,0-6
Buffalo,218,170,144,12-20,256,3-10,9-10,4-10,161,170,152,101,1-2,1-3,2-12,2-5
UNCAsheville,219,211,282,13-16,186,3-9,10-7,6-8,235,48,283,64,0-3,1-3,1-5,1-6
FlaAtlantic,220,190,217,13-18,222,4-6,9-12,3-13,223,253,165,182,0-4,0-0,5-7,0-4
LoyolaChicago,221,190,217,14-16,185,9-4,5-12,6-9,292,342,157,246,0-1,1-3,2-11,1-4
NorthDakota,222,225,309,14-17,307,1-8,13-9,6-11,258,160,306,129,0-1,0-9,0-0,0-10
SamHoustonSt.,223,206,273,14-17,193,4-6,10-11,6-10,269,217,269,235,0-2,0-6,2-3,0-8
Hawaii,224,188,207,16-15,250,6-6,10-9,3-7,234,205,221,158,0-4,0-1,3-6,0-5
La.-Lafayette,225,174,154,12-20,264,3-7,9-13,2-14,158,179,167,183,0-5,0-1,3-11,0-6
NorthFlorida,226,188,207,12-19,149,4-8,8-11,4-14,225,115,219,66,0-5,0-4,0-3,0-9
SoutheasternLa.,227,191,220,11-18,309,0-9,11-9,3-14,191,88,250,49,0-3,1-6,0-2,1-9
SouthCarolina,228,159,131,14-18,174,10-3,4-15,1-9,200,323,115,314,1-3,2-5,4-7,3-8
Portland,229,144,117,9-21,242,5-8,4-13,2-11,115,186,116,238,0-7,0-6,3-3,0-13
MississippiSt.,230,142,113,10-22,283,5-7,5-15,1-11,121,300,113,274,1-6,0-9,1-3,1-15
Duquesne,231,129,87,8-22,157,7-7,1-15,2-12,98,126,111,258,1-6,0-6,4-7,1-12
Fordham,232,123,75,7-24,239,4-11,3-13,1-15,90,128,103,199,0-8,0-8,2-7,0-16
BallSt.,233,198,238,14-15,243,6-6,8-9,7-6,297,303,199,178,0-3,0-2,4-3,0-5
UCDavis,234,203,264,14-17,254,5-7,9-10,6-9,293,299,243,241,0-1,0-1,2-11,0-2
MorganSt.,235,245,337,17-15,257,4-8,13-7,8-9,338,316,321,286,0-0,0-2,1-6,0-2
EasternMich.,236,186,197,13-18,235,4-8,9-10,2-12,218,124,191,102,0-3,0-3,2-9,0-6
CSUBakersfield,237,189,214,10-16,246,10-16,0-0,3-11,238,259,198,267,0-3,1-5,0-1,1-8
Lipscomb,238,189,214,11-18,119,4-6,7-12,4-12,199,31,266,140,0-4,2-1,1-4,2-5
TCU,239,137,105,10-21,230,8-4,2-17,1-10,134,325,93,335,2-8,0-2,3-8,2-10
Brown,240,203,264,12-15,260,5-8,7-7,5-10,308,297,205,181,0-1,1-2,3-6,1-3
CalStNorthridge,241,196,231,12-17,94,7-4,5-13,5-10,286,254,217,149,0-1,0-2,4-7,0-3
TennesseeTech,242,182,184,10-17,234,5-6,5-11,3-12,221,312,166,259,0-3,0-3,3-6,0-6
SouthDakota,243,178,166,8-20,164,3-8,5-12,4-11,139,25,273,271,0-2,1-5,3-6,1-7
UCSantaBarbara,244,165,137,9-20,211,2-8,7-12,3-13,163,61,172,16,0-2,1-4,4-7,1-6
WesternCaro.,245,216,291,12-19,281,2-9,10-10,5-11,249,168,292,135,0-3,0-4,0-5,0-7
Cornell,246,198,238,12-18,218,7-9,5-9,7-8,282,252,215,211,0-2,0-5,2-6,0-7
McNeeseSt.,247,198,238,11-17,115,3-5,8-12,4-11,264,45,265,123,0-2,1-5,1-2,1-7
HighPoint,248,248,342,15-14,302,3-9,12-5,6-8,331,263,338,323,0-0,0-2,1-5,0-2
HolyCross,249,201,251,12-18,210,8-7,4-11,4-12,279,318,235,256,0-0,0-5,1-8,0-5
Auburn,250,133,97,9-23,280,6-7,3-16,2-10,135,310,100,218,0-5,3-6,1-8,3-11
SacredHeart,251,180,176,9-20,240,2-9,7-11,3-13,162,77,259,268,0-1,1-1,4-14,1-2
NorthTexas,252,181,181,11-19,217,4-5,7-14,2-11,201,194,175,244,0-4,0-1,3-9,0-5
