SCHOOLNAME,RPI,ORIGRPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW164
AirForce,74,76,22-7,175,10-4,7,12-3,8-5,6-4,3-2,2-3,11-1,6-1,5-5,8-1
Akron,202,203,13-15,140,6-3,14,7-12,4-11,3-7,0-3,2-3,3-7,8-2,2-6,10-4
Alabama,16,17,20-13,2,11-4,2,9-9,4-6,7-3,6-12,8-1,5-0,1-0,14-13,2-0
AlabamaA&M,283,278,13-16,298,2-6,31,11-10,3-12,5-5,0-2,0-0,0-2,13-12,0-2,13-12
AlabamaSt.,214,217,16-15,240,2-8,31,14-7,4-9,8-2,0-2,0-1,0-7,16-5,0-3,16-6
Albany(N.Y.),308,308,5-23,295,2-7,22,3-16,2-12,2-8,0-1,0-2,0-8,5-12,0-3,5-14
AlcornSt.,282,277,11-18,303,1-8,31,10-10,4-11,5-5,0-0,0-0,1-8,10-10,0-0,10-15
American,165,159,18-13,196,6-8,26,12-5,7-8,7-3,0-2,1-1,2-4,15-6,1-3,16-6
AppalachianSt.,249,251,8-21,184,4-8,19,4-13,4-10,1-9,0-4,1-3,3-7,4-7,1-7,6-8
Arizona,43,43,20-10,9,8-2,9,12-8,5-5,6-4,1-4,5-3,13-3,1-0,6-7,4-1
ArizonaSt.,185,185,10-17,111,6-3,9,4-14,2-9,2-8,0-5,2-5,4-7,4-0,2-10,6-1
Ark.-LittleRock,187,181,14-12,265,4-6,17,10-6,3-8,6-4,0-1,0-2,8-6,6-3,0-3,11-6
Ark.-PineBluff,326,326,1-26,311,0-9,31,1-17,1-15,0-10,0-2,0-1,0-7,1-16,0-3,1-19
Arkansas,112,109,12-16,96,8-3,2,4-13,1-8,2-8,2-11,2-4,3-0,5-1,4-15,6-1
ArkansasSt.,178,177,15-11,141,8-3,17,7-8,6-5,6-4,0-0,1-2,8-7,6-2,1-2,9-6
Army,319,318,4-21,322,1-9,26,3-12,2-8,2-8,0-1,0-0,0-6,4-14,0-1,4-17
Auburn,79,80,14-14,44,9-2,2,5-12,1-8,3-7,2-8,3-4,6-2,3-0,5-12,3-0
AustinPeay,90,91,20-10,172,2-9,23,18-1,8-8,7-3,0-4,2-4,1-2,17-0,2-8,18-0
BallSt.,146,145,13-15,190,2-6,14,11-9,4-9,5-5,1-3,2-4,4-5,6-3,3-7,8-4
Baylor,213,210,7-20,271,4-7,4,3-13,1-8,2-8,0-9,1-3,1-5,5-3,1-12,6-6
