SCHOOLNAME,RPI,ORIGRPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW164
Belmont,92,92,20-9,48,4-3,21,16-6,9-5,6-4,0-2,4-5,1-1,15-1,4-7,15-1
Bethune-Cookman,320,319,8-21,320,1-9,32,7-12,3-13,4-6,0-0,0-2,0-4,8-15,0-2,8-17
Binghamton,206,204,14-16,232,4-7,22,10-9,6-7,5-5,0-2,0-2,2-9,12-3,0-4,12-5
Birmingham-So.,162,158,18-7,185,6-3,28,12-4,7-5,8-2,0-1,0-0,2-2,16-4,0-1,16-4
BoiseSt.,78,77,22-10,101,9-3,10,13-7,10-5,8-2,3-3,4-3,10-4,4-0,7-6,9-2
BostonCollege,23,23,24-10,31,12-3,3,12-7,5-5,8-2,8-7,3-3,9-0,4-0,11-10,6-0
BostonU.,89,87,23-6,147,6-4,22,17-2,12-3,8-2,1-2,0-1,5-1,17-2,1-3,17-2
BowlingGreen,195,200,12-17,249,3-6,14,9-11,2-10,5-5,0-3,1-6,2-6,9-2,1-9,9-4
Bradley,168,162,15-15,105,8-3,11,7-12,3-10,6-4,0-3,1-6,7-5,7-1,1-9,10-4
BrighamYoung,44,46,20-9,56,9-4,7,11-5,5-7,8-2,2-4,4-2,11-3,2-0,6-6,3-0
Brown,203,198,13-13,241,3-9,27,10-4,6-9,7-3,0-2,0-1,2-5,11-5,0-3,11-7
Bucknell,220,219,12-15,275,2-9,26,10-6,2-12,7-3,0-1,0-2,2-5,10-7,0-3,11-9
Buffalo,140,135,17-12,182,5-4,14,12-8,8-6,8-2,0-2,3-4,3-3,11-3,3-6,12-4
Butler,159,166,15-14,194,5-5,15,10-9,4-9,7-3,0-1,2-6,2-7,11-0,2-7,11-3
CalPoly,245,247,10-16,176,4-3,18,6-13,3-10,3-7,0-0,0-5,3-7,7-4,0-5,7-7
CalStFullerton,246,244,10-17,234,3-5,18,7-12,3-10,5-5,0-0,0-4,4-8,6-5,0-4,7-9
CalStNorthridge,191,187,13-16,223,3-4,18,10-12,4-9,5-5,0-1,1-5,3-5,9-5,1-6,9-6
California,107,111,13-15,116,4-5,9,9-10,2-9,4-6,2-4,2-6,7-4,2-1,4-10,6-1
Campbell,317,320,3-24,324,0-7,21,3-17,0-15,2-8,0-1,0-6,0-4,3-13,0-7,3-13
Canisius,239,248,10-19,144,5-5,16,5-14,6-8,3-7,0-3,1-3,3-13,6-0,1-6,7-7
Centenary(La.),184,180,14-12,186,4-5,20,10-7,3-10,6-4,0-2,0-1,5-4,9-5,0-3,11-6
CentralConnSt.,210,207,14-14,250,3-4,25,11-10,6-7,6-4,0-1,0-1,4-4,10-8,0-2,11-9
CentralMich.,287,292,5-24,237,3-7,14,2-17,1-12,3-7,1-4,0-5,1-8,3-7,1-9,3-9
CharlestonSo.,316,317,4-22,309,1-8,28,3-14,1-13,3-7,0-1,0-2,0-6,4-13,0-3,4-13
Charlotte,35,35,21-9,57,8-4,6,13-5,10-4,6-4,5-6,3-3,8-0,5-0,8-9,8-0
Chattanooga,123,120,16-11,170,4-4,19,12-7,7-6,7-3,0-2,0-3,6-4,10-2,0-5,11-3
ChicagoSt.,205,208,11-20,248,1-12,20,10-8,3-14,6-4,0-2,0-4,5-11,6-3,0-6,9-6
Cincinnati,10,12,25-7,25,10-3,6,15-4,6-5,8-2,7-7,6-0,7-0,5-0,13-7,7-0
Citadel,304,303,3-21,266,1-6,19,2-15,1-10,2-8,0-1,0-3,1-9,2-8,0-4,2-10
Clemson,91,94,10-18,60,7-4,1,3-14,0-10,2-8,3-12,2-5,0-1,5-0,5-17,5-0
ClevelandSt.,309,309,3-25,278,3-8,15,0-17,2-12,0-10,0-1,0-6,0-12,2-6,0-7,2-10
CoastalCaro.,263,263,12-15,261,3-6,28,9-9,5-9,4-6,0-1,0-1,2-6,10-7,0-2,10-7
ColofCharleston,109,107,19-9,68,7-3,19,12-6,7-7,4-6,0-2,2-1,4-5,13-1,2-3,14-2
Colgate,241,240,13-14,218,6-5,26,7-9,5-9,5-5,0-1,0-0,2-8,11-5,0-1,11-9
Colorado,62,64,17-11,119,7-4,4,10-7,6-7,6-4,2-7,5-3,5-1,5-0,7-10,6-0
ColoradoSt.,142,142,12-16,132,7-5,7,5-11,3-11,2-8,0-5,2-6,6-4,4-1,2-11,5-2
Columbia,285,287,9-17,279,3-9,27,6-8,4-10,4-6,0-1,0-2,0-7,9-7,0-3,9-7
Connecticut,2,2,33-6,5,18-2,3,15-4,6-4,9-1,16-6,4-0,8-0,5-0,20-6,7-0
CoppinSt.,231,231,18-14,302,2-9,32,16-5,6-10,8-2,0-3,0-1,0-2,18-8,0-4,18-8
Cornell,268,268,10-16,231,4-8,27,6-8,5-9,2-8,0-1,0-0,0-8,10-7,0-1,10-8
Creighton,87,83,20-9,71,8-2,11,12-7,6-6,3-7,0-2,3-4,10-3,7-0,3-6,14-1
Dartmouth,325,325,2-24,318,1-11,27,1-13,1-11,0-10,0-0,0-0,1-7,1-17,0-0,1-18
Davidson,118,119,14-12,154,2-6,19,12-6,3-10,9-1,0-5,0-2,5-4,9-1,0-7,12-1
Dayton,42,41,24-9,63,10-4,8,14-5,6-5,5-5,4-5,5-3,10-1,5-0,9-8,12-0
DePaul,34,34,22-10,70,8-5,6,14-5,7-5,7-3,6-7,3-3,7-0,6-0,9-10,9-0
Delaware,131,130,16-12,129,6-3,13,10-9,6-8,5-5,0-1,2-5,5-5,9-1,2-6,11-2
DelawareSt.,236,234,13-15,206,1-7,32,12-8,5-11,5-5,0-2,0-4,0-1,13-8,0-6,13-8
Denver,172,172,13-13,110,7-4,17,6-9,5-9,4-6,0-1,0-2,6-8,7-2,0-3,10-6
Detroit,108,110,19-11,65,7-4,15,12-7,6-7,9-1,1-2,3-4,4-4,11-1,4-6,12-3
Drake,198,197,11-16,247,4-4,11,7-12,4-9,4-6,0-2,2-7,3-5,6-2,2-9,9-4
Drexel,105,103,18-11,160,5-5,13,13-6,7-5,6-4,0-1,3-5,5-5,10-0,3-6,11-0
Duke,1,1,31-6,3,16-2,1,15-4,8-2,7-3,13-5,8-0,9-1,1-0,21-5,2-0
Duquesne,167,168,12-17,216,5-6,8,7-11,3-9,3-7,2-7,1-5,3-4,6-1,3-12,9-4
EastCaro.,152,152,12-14,148,7-2,6,5-12,2-8,5-5,0-9,0-4,4-1,8-0,0-13,9-1
EastTennSt.,65,62,24-6,142,6-5,19,18-1,11-3,8-2,0-2,0-1,11-3,13-0,0-3,16-1
EasternIll.,314,314,4-20,321,0-8,23,4-12,1-13,3-7,0-1,0-6,1-1,3-12,0-7,4-12
EasternKy.,223,221,12-15,246,3-6,23,9-9,3-11,6-4,0-2,0-6,0-2,12-5,0-8,12-7
EasternMich.,255,256,10-15,300,3-3,14,7-12,5-9,5-5,0-2,1-4,2-6,7-3,1-6,8-5
EasternWash.,125,124,16-13,189,3-10,24,13-3,6-9,7-3,0-3,0-3,5-3,11-4,0-6,14-5
Elon,240,239,10-18,252,2-8,19,8-10,1-12,5-5,0-3,0-2,3-8,7-5,0-5,9-5
Evansville,234,242,7-22,291,1-8,11,6-14,2-13,4-6,0-3,0-10,5-6,2-3,0-13,6-5
Fairfield,124,123,19-11,109,7-4,16,12-7,9-6,7-3,0-4,3-1,9-3,7-3,3-5,13-5
FairleighDickinson,163,161,16-12,156,4-4,25,12-8,7-8,5-5,0-0,0-2,4-2,12-8,0-2,14-8
FlaAtlantic,299,298,7-19,323,1-4,21,6-15,3-10,1-9,0-0,0-8,0-3,7-8,0-8,7-8
Florida,20,21,20-11,28,9-3,2,11-8,4-5,6-4,7-9,7-2,2-0,4-0,14-11,4-0
FloridaA&M,250,241,15-17,270,2-9,32,13-8,3-12,6-4,0-3,0-2,0-1,15-11,0-5,15-12
FloridaInt'l,312,313,3-22,315,2-9,17,1-13,0-13,2-8,0-1,0-2,1-14,2-5,0-3,2-13
FloridaSt.,53,53,18-14,49,12-3,1,6-11,3-10,3-7,4-11,5-3,3-0,6-0,9-14,6-0
Fordham,211,220,6-22,178,3-8,8,3-14,1-14,2-8,0-9,0-6,5-6,1-1,0-15,4-6
FresnoSt.,104,105,13-15,128,3-6,10,10-9,6-6,4-6,0-4,4-7,7-4,2-0,4-11,6-0
Furman,190,192,14-12,205,5-3,19,9-9,6-7,6-4,0-0,1-2,2-7,11-3,1-2,11-3
GaSouthern,144,140,18-8,171,6-2,19,12-6,8-5,5-5,0-1,0-1,6-4,12-2,0-2,14-3
Gardner-Webb,293,294,7-20,304,1-6,21,6-14,3-13,3-7,0-1,0-7,0-5,7-7,0-8,7-7
GeorgeMason,76,75,23-10,64,9-3,13,14-7,7-8,7-3,0-2,4-4,12-3,7-1,4-6,11-1
GeorgeWashington,77,79,18-12,152,6-6,8,12-6,5-9,6-4,3-8,4-2,6-1,5-1,7-10,11-1
Georgetown,133,134,13-15,89,9-2,3,4-13,3-8,1-9,1-9,0-3,5-3,7-0,1-12,8-0
Georgia,56,55,16-14,76,8-4,2,8-10,1-10,5-5,5-10,4-3,2-0,5-1,9-13,6-1
GeorgiaSt.,120,116,18-9,100,3-2,21,15-7,8-5,7-3,0-1,4-5,2-0,12-3,4-6,14-3
GeorgiaTech,7,7,28-10,4,18-2,1,10-8,7-5,8-2,12-7,9-3,3-0,4-0,21-10,4-0
Gonzaga,17,14,28-3,15,12-3,12,16-0,10-0,9-1,1-3,4-0,20-0,3-0,5-3,9-0
Grambling,296,296,9-18,314,0-8,31,9-10,5-11,5-5,0-0,0-3,1-5,8-10,0-3,8-11
Hampton,267,270,13-17,259,2-9,32,11-8,5-9,5-5,0-1,0-2,1-4,12-10,0-3,13-10
Hartford,235,235,11-17,202,4-4,22,7-13,3-10,3-7,0-1,0-3,2-8,9-5,0-4,10-5
Harvard,307,307,4-23,280,1-12,27,3-11,2-13,2-8,0-1,0-1,0-9,4-12,0-2,4-13
Hawaii,58,58,20-12,38,9-4,10,11-8,5-7,4-6,2-5,4-3,10-4,4-0,6-8,9-0
HighPoint,222,222,17-11,217,5-4,28,12-7,8-8,6-4,0-1,0-2,1-5,16-3,0-3,16-4
Hofstra,137,143,14-15,168,4-6,13,10-9,6-11,6-4,0-4,3-4,3-6,8-1,3-8,8-1
HolyCross,230,228,13-14,195,6-6,26,7-8,4-8,5-5,0-3,1-0,1-6,11-5,1-3,12-7
Houston,183,191,9-18,104,6-5,6,3-13,1-9,2-8,1-7,1-5,1-6,6-0,2-12,6-2
Howard,322,321,6-22,296,2-7,32,4-15,4-9,2-8,0-1,0-1,0-2,6-18,0-2,6-19
IPFW,302,302,2-24,283,2-21,30,0-3,0-16,0-10,0-1,0-6,2-12,0-5,0-7,2-9
IUPUI,138,141,19-11,92,7-4,20,12-7,8-6,6-4,0-2,1-2,7-3,11-4,1-4,12-5
Idaho,164,165,13-16,173,3-6,18,10-10,3-11,6-4,0-2,0-7,4-2,9-5,0-9,11-5
IdahoSt.,232,226,11-18,210,3-10,24,8-8,3-7,4-6,0-1,0-5,5-3,6-9,0-6,10-9
Ill.-Chicago,93,90,24-8,113,10-4,15,14-4,10-3,9-1,0-2,3-1,10-3,11-2,3-3,14-3
Illinois,22,18,26-7,29,11-3,5,15-4,7-2,8-2,6-5,9-1,8-1,3-0,15-6,6-0
IllinoisSt.,199,196,9-19,118,4-4,11,5-15,1-12,4-6,0-3,1-8,4-4,4-4,1-11,6-7
Indiana,82,85,14-15,61,6-5,5,8-10,6-6,3-7,4-8,1-4,7-3,2-0,5-12,4-0
IndianaSt.,226,230,9-19,209,4-5,11,5-14,3-9,1-9,0-3,1-5,3-10,5-1,1-8,7-5
Iona,197,202,11-18,208,2-7,16,9-11,2-12,4-6,1-2,0-6,3-8,7-2,1-8,8-6
Iowa,85,88,16-13,99,7-5,5,9-8,4-8,5-5,2-7,1-6,10-0,3-0,3-13,5-0
IowaSt.,54,56,19-13,42,11-3,4,8-10,2-10,6-4,3-6,8-4,4-2,4-1,11-10,5-1
JacksonSt.,274,272,12-17,281,2-7,31,10-10,3-14,3-7,0-1,0-1,1-5,11-10,0-2,12-12
Jacksonville,253,253,11-15,244,3-2,21,8-13,4-8,5-5,0-0,0-7,1-3,10-5,0-7,10-5
JacksonvilleSt.,252,252,12-14,192,5-4,23,7-10,2-12,5-5,0-1,0-4,0-4,12-5,0-5,12-8
JamesMadison,288,290,7-21,273,4-5,13,3-16,2-12,3-7,0-0,1-7,1-10,5-4,1-7,6-5
Kansas,12,10,23-9,10,10-4,4,13-5,5-5,7-3,4-7,11-2,5-0,3-0,15-9,3-0
KansasSt.,114,113,14-14,126,8-3,4,6-11,2-9,4-6,1-5,4-7,3-1,6-1,5-12,7-2
KentSt.,81,81,21-9,94,6-3,14,15-6,8-5,4-6,1-2,3-4,10-1,7-2,4-6,11-2
Kentucky,3,4,27-5,20,11-2,2,16-3,7-2,9-1,13-3,7-2,3-0,4-0,20-5,4-0
LSU,41,42,18-11,39,10-2,2,8-9,5-7,3-7,5-7,4-3,6-1,3-0,9-10,5-1
LaSalle,186,189,10-20,207,5-8,8,5-12,4-7,2-8,1-7,0-8,5-2,4-3,1-15,8-3
La.-Lafayette,71,71,18-9,115,3-6,17,15-3,6-7,6-4,0-5,0-1,15-2,3-1,0-6,12-2
La.-Monroe,271,267,9-19,287,1-10,29,8-9,3-13,3-7,0-2,0-2,2-8,7-7,0-4,9-13
Lafayette,151,147,16-10,82,7-4,26,9-6,7-7,4-6,0-1,0-0,5-4,11-5,0-1,13-7
Lamar,295,293,7-18,230,2-7,29,5-11,0-11,3-7,0-0,0-4,1-6,6-8,0-4,7-14
Lehigh,201,195,18-11,276,5-7,26,13-4,5-9,6-4,0-2,0-0,4-1,14-8,0-2,17-8
Liberty,154,155,17-15,214,2-11,28,15-4,4-9,7-3,0-4,0-3,2-3,15-5,0-7,15-6
Lipscomb,303,306,5-21,289,1-5,21,4-16,1-12,2-8,0-0,0-7,0-6,5-8,0-7,5-9
LongBeachSt.,301,301,5-21,317,1-7,18,4-14,1-13,0-10,0-0,0-4,3-8,2-9,0-4,3-12
LongIsland,290,288,8-19,215,4-5,25,4-14,1-13,2-8,0-1,0-0,1-5,7-13,0-1,7-13
LouisianaTech,160,160,13-15,222,4-4,10,9-11,6-9,4-6,0-7,3-4,4-3,6-1,3-11,9-2
Louisville,29,29,20-10,6,10-2,6,10-8,5-6,3-7,6-6,5-3,6-1,3-0,11-9,5-0
Loyola(Ill.),224,227,9-20,167,4-7,15,5-13,4-12,3-7,0-3,0-4,4-12,5-1,0-7,6-5
Loyola(Md.),321,322,1-27,325,0-9,16,1-18,0-13,1-9,0-2,0-2,0-14,1-9,0-4,1-17
LoyolaMarymount,180,179,14-14,139,8-4,12,6-10,5-7,5-5,0-2,0-2,6-9,8-1,0-4,11-3
Maine,156,154,18-10,264,4-3,22,14-7,8-6,7-3,0-0,0-3,1-5,17-2,0-3,17-3
Manhattan,39,36,25-6,53,7-4,16,18-2,8-3,8-2,2-2,4-1,10-3,9-0,6-3,13-2
Marist,291,289,6-22,269,2-7,16,4-15,0-12,1-9,0-3,0-2,3-11,3-6,0-5,5-11
Marquette,70,73,18-12,52,10-3,6,8-9,3-8,6-4,4-7,3-2,5-3,6-0,7-9,8-0
Marshall,147,150,12-17,179,3-6,14,9-11,4-8,5-5,2-3,0-7,2-6,8-1,2-10,9-3
Maryland,18,19,20-12,22,10-3,1,10-9,4-5,7-3,8-10,6-2,3-0,3-0,14-12,4-0
Massachusetts,176,178,10-19,98,6-6,8,4-13,2-10,2-8,0-8,2-4,5-4,3-3,2-12,5-7
McNeeseSt.,265,264,8-16,226,1-7,29,7-9,1-13,6-4,0-2,0-2,3-6,5-6,0-4,8-11
Md.-EastShore,318,316,8-21,319,1-8,32,7-13,4-11,4-6,0-2,0-1,0-0,8-18,0-3,8-18
Memphis,32,33,22-8,34,10-3,6,12-5,6-5,6-4,4-6,7-1,6-1,5-0,11-7,7-0
Mercer,207,209,11-18,166,2-6,21,9-12,1-15,4-6,0-3,1-8,1-2,9-5,1-11,9-5
Miami(Fla.),161,164,13-16,201,9-4,3,4-12,3-6,1-9,1-9,2-4,2-3,8-0,3-13,8-1
Miami(Ohio),95,95,17-11,102,4-4,14,13-7,6-6,6-4,0-4,3-1,9-3,5-3,3-5,7-4
Michigan,37,39,23-11,15,14-2,5,9-9,3-7,8-2,4-6,7-4,8-1,4-0,11-10,7-0
MichiganSt.,36,37,18-12,66,5-7,5,13-5,5-6,6-4,3-10,5-0,7-2,3-0,8-10,5-0
MiddleTenn.,132,129,15-12,117,6-5,17,9-7,6-8,6-4,0-1,1-3,8-6,6-2,1-4,10-5
Minnesota,155,156,12-18,84,8-4,5,4-14,1-10,4-6,1-7,1-6,6-5,4-0,2-13,7-1
Mississippi,96,96,13-15,84,8-3,2,5-12,1-9,2-8,3-9,1-4,4-2,5-0,4-13,7-1
MississippiSt.,8,8,26-4,27,12-1,2,14-3,11-0,7-3,8-4,6-0,9-0,3-0,14-4,6-0
MississippiVal.,141,133,21-6,137,5-3,31,16-3,8-4,9-1,0-2,1-0,0-0,20-4,1-2,20-4
Missouri,52,52,16-14,55,6-6,4,10-8,5-7,6-4,2-10,6-4,2-0,6-0,8-14,6-0
Monmouth,111,108,21-12,79,6-6,25,15-6,4-10,6-4,0-4,0-0,4-3,17-5,0-4,19-5
Montana,256,255,8-18,224,2-9,24,6-9,3-11,5-5,0-2,0-3,3-5,5-8,0-5,6-10
MontanaSt.,244,243,12-13,204,6-5,24,6-8,2-7,4-6,0-1,0-0,3-7,9-5,0-1,10-8
MoreheadSt.,177,175,13-13,242,2-6,23,11-7,4-10,7-3,0-2,0-6,2-1,11-4,0-8,13-4
MorganSt.,281,283,11-16,229,1-6,32,10-10,2-11,4-6,0-1,0-1,1-3,10-11,0-2,10-12
MtStMary's,262,258,10-19,290,2-8,25,8-11,4-11,6-4,0-2,0-1,1-7,9-9,0-3,9-10
MurraySt.,63,60,25-6,45,8-4,23,17-2,10-4,8-2,1-3,1-1,7-1,16-1,2-4,20-2
N.CA&T,323,323,3-25,286,0-9,32,3-16,0-16,2-8,0-2,0-2,0-2,3-19,0-4,3-19
Navy,315,315,3-23,310,1-10,26,2-13,2-10,2-8,0-1,0-4,1-4,2-14,0-5,2-17
Nebraska,84,81,18-13,50,12-2,4,6-11,3-9,4-6,2-5,5-6,3-2,8-0,7-11,9-0
Nevada,28,27,24-9,12,8-4,10,16-5,5-8,9-1,5-3,6-4,10-2,3-0,11-7,8-2
NewHampshire,276,274,10-20,255,4-6,22,6-14,6-10,5-5,0-2,0-3,1-7,9-8,0-5,9-8
NewMexico,148,148,12-14,157,7-4,7,5-10,0-9,3-7,2-4,0-5,5-5,5-0,2-9,7-2
NewMexicoSt.,192,194,11-14,161,5-5,17,6-9,4-7,5-5,0-2,0-3,5-9,6-0,0-5,9-5
NewOrleans,135,131,16-14,177,5-7,17,11-7,4-9,7-3,0-3,1-4,9-4,6-3,1-7,14-5
Niagara,94,93,22-10,88,7-4,16,15-6,9-5,7-3,0-3,1-2,11-5,10-0,1-5,19-1
NichollsSt.,324,324,2-21,293,1-6,29,1-15,0-13,1-9,0-0,0-2,0-7,2-12,0-2,2-17
NorfolkSt.,311,310,12-16,326,1-7,32,11-9,3-10,6-4,0-0,0-0,0-2,12-14,0-0,12-14
NorthCarolina,21,22,19-11,7,11-2,1,8-9,3-7,5-5,7-8,6-3,3-0,3-0,13-11,3-0
NorthCarolinaSt.,19,20,21-10,43,9-4,1,12-6,5-6,5-5,7-9,9-1,1-0,4-0,16-10,4-0
NorthTexas,238,237,11-15,305,3-7,17,8-8,4-11,4-6,0-0,1-2,6-10,4-3,1-2,8-8
Northeastern,153,153,17-11,227,4-5,22,13-6,8-7,7-3,0-1,1-4,2-3,14-3,1-5,14-4
NorthernAriz.,243,238,13-14,245,5-6,24,8-8,6-10,4-6,0-1,1-1,2-5,10-7,1-2,12-8
NorthernIll.,277,280,8-19,262,3-5,14,5-14,1-12,3-7,0-2,2-4,1-8,5-5,2-6,6-8
NorthernIowa,69,66,20-10,90,5-4,11,15-6,5-6,8-2,1-2,4-3,10-5,5-0,5-5,11-3
Northwestern,99,102,14-15,135,5-6,5,9-9,3-9,6-4,2-8,3-4,6-3,3-0,5-12,7-1
NorthwesternSt.,284,282,8-17,294,0-8,29,8-9,4-11,3-7,0-1,0-2,1-10,7-4,0-3,8-13
NotreDame,40,40,19-13,81,9-5,3,10-8,6-5,6-4,4-9,4-3,8-0,3-1,8-12,5-1
Oakland,228,233,11-17,159,5-6,20,6-11,3-11,5-5,0-4,1-1,2-8,8-4,1-5,9-5
Ohio,233,232,10-20,233,3-8,14,7-12,1-13,3-7,0-3,2-4,2-8,6-5,2-7,6-8
OhioSt.,143,144,14-16,153,8-5,5,6-11,3-7,4-6,0-9,3-4,6-3,5-0,3-13,7-1
Oklahoma,46,48,20-11,37,11-2,4,9-9,3-7,4-6,3-9,3-2,6-0,8-0,6-11,9-0
OklahomaSt.,5,5,30-4,11,13-2,4,17-2,7-2,9-1,11-3,4-1,8-0,7-0,15-4,10-0
OldDominion,97,98,17-12,75,5-4,13,12-8,5-7,5-5,0-3,2-4,8-4,7-1,2-7,7-2
OralRoberts,157,157,15-11,130,5-4,20,10-7,6-8,4-6,0-1,1-0,3-7,11-3,1-1,13-4
Oregon,68,70,18-13,36,8-3,9,10-10,5-6,6-4,1-8,3-1,13-4,1-0,4-9,4-2
OregonSt.,169,171,11-16,187,5-4,9,6-12,1-10,4-6,1-3,1-6,5-7,4-0,2-9,5-2
Pacific,57,57,24-8,125,5-7,18,19-1,9-4,9-1,2-3,1-1,8-3,13-1,3-4,16-1
Penn,121,126,17-10,69,7-6,27,10-4,8-4,8-2,1-3,0-2,5-2,11-3,1-5,12-4
PennSt.,174,182,9-19,124,6-5,5,3-14,1-11,0-10,0-9,1-5,4-5,4-0,1-14,5-0
Pepperdine,129,128,15-16,193,5-10,12,10-6,5-8,6-4,0-6,1-0,10-8,4-2,1-6,11-2
Pittsburgh,6,6,30-5,23,15-1,3,15-4,7-2,7-3,10-5,6-0,7-0,7-0,16-5,9-0
Portland,181,188,11-17,155,6-7,12,5-10,5-10,3-7,1-3,1-2,5-10,4-2,2-5,7-4
PortlandSt.,269,271,9-16,243,4-7,24,5-9,4-12,3-7,0-1,0-3,1-6,8-6,0-4,9-10
PrairieView,306,304,7-20,312,0-9,31,7-11,4-12,4-6,0-2,0-2,0-5,7-11,0-4,7-14
Princeton,117,118,19-8,163,6-7,27,13-1,10-3,9-1,0-4,0-0,3-3,16-1,0-4,16-1
Providence,25,25,20-9,33,9-3,3,11-6,8-3,6-4,8-5,4-3,5-1,3-0,12-8,4-0
Purdue,106,112,17-14,114,10-4,5,7-10,4-8,2-8,5-6,2-4,3-4,7-0,7-10,8-1
Quinnipiac,300,300,7-20,306,2-7,25,5-13,1-11,2-8,0-2,0-0,1-5,6-13,0-2,6-14
Radford,294,295,10-16,301,3-6,28,7-10,3-11,3-7,0-0,0-1,2-6,8-9,0-1,8-10
RhodeIsland,86,86,20-13,26,12-3,8,8-10,6-7,6-4,4-5,2-5,8-3,6-0,6-10,11-3
Rice,67,67,21-11,73,8-4,10,13-7,6-7,6-4,2-5,4-3,9-3,6-0,6-8,10-2
Richmond,48,51,20-13,40,8-6,8,12-7,8-6,7-3,2-11,6-1,7-1,5-0,8-12,10-1
Rider,175,174,17-13,180,6-4,16,11-9,5-8,5-5,1-1,1-1,4-11,11-0,2-2,13-3
RobertMorris,221,215,13-15,256,2-6,25,11-9,4-11,5-5,0-1,0-0,1-7,12-7,0-1,12-9
Rutgers,45,44,19-13,32,10-3,3,9-10,2-9,5-5,2-9,8-0,8-4,1-0,10-9,2-0
SacramentoSt.,258,257,11-15,258,4-7,24,7-8,3-11,6-4,0-1,0-0,1-8,10-6,0-1,11-9
SacredHeart,251,250,12-15,221,4-5,25,8-10,4-11,4-6,0-2,0-1,2-1,10-11,0-3,10-11
SamHoustonSt.,278,279,9-15,288,1-6,29,8-9,3-11,5-5,0-2,0-0,1-7,8-6,0-2,9-13
Samford,257,260,8-16,212,1-6,23,7-10,3-12,3-7,0-2,1-2,0-6,7-6,1-4,7-8
SanDiego,297,297,3-26,285,2-12,12,1-14,0-15,1-9,0-3,0-1,3-17,0-5,0-4,1-10
SanDiegoSt.,116,117,12-16,106,7-6,7,5-10,1-10,3-7,1-7,2-5,6-4,3-0,3-12,4-0
SanFrancisco,119,122,16-14,74,9-6,12,7-8,5-9,5-5,0-4,1-1,8-9,7-0,1-5,11-1
SanJoseSt.,280,284,5-22,239,4-4,10,1-18,0-11,1-9,0-4,0-7,2-9,3-2,0-11,4-6
SantaClara,136,139,15-16,120,7-7,12,8-9,3-8,4-6,0-5,2-3,7-7,6-1,2-8,9-2
SavannahSt.,305,304,4-23,297,4-22,30,0-1,1-16,3-7,0-1,0-5,0-10,4-7,0-6,4-10
SetonHall,26,26,20-10,24,10-3,3,10-7,5-5,5-5,7-7,2-2,10-1,1-0,9-9,2-0
Siena,166,169,14-16,191,3-6,16,11-10,5-9,7-3,0-4,0-5,6-6,8-1,0-9,12-2
