SCHOOLNAME,RPI,OPPONENT RPI RANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD ROAD L10,1-25,26-50,51-100 101-150,VTOP100,VBELOW150
UNLV,60,142,126,23-8,76,10-4,10,13-4,4-4,7-3,0-4,2-3,4-1,6-0,6-8,11-0
Penn St.,61,90,17,19-16,34,12-4,2,7-12,2-10,6-4,1-8,2-4,6-3,3-1,9-15,7-0
Charlotte,62,91,19,17-16,77,8-6,7,9-10,5-9,4-6,0-3,5-5,4-4,3-4,9-12,5-0
La.-Lafayette,63,171,181,24-9,99,8-6,20,16-3,9-4,7-3,0-2,1-1,1-1,3-4,2-4,19-1
Southern Miss.,64,120,83,17-12,17,10-2,7,7-10,5-7,5-5,0-2,0-2,4-4,5-4,4-8,8-0
New Mexico St.,65,157,150,21-10,49,8-4,19,13-6,7-7,7-3,0-1,1-3,1-4,2-0,2-8,17-2
Arizona St.,66,102,41,18-13,72,8-5,6,10-8,4-8,6-4,0-5,1-4,5-4,5-0,6-13,7-0
Notre Dame,67,100,35,22-15,59,13-6,3,9-9,3-7,6-4,3-5,3-5,4-2,4-2,10-12,8-1
Toledo,68,124,93,18-13,70,5-5,11,13-8,7-7,9-1,0-1,3-5,2-4,1-2,5-10,12-1
Northern Ariz.,69,149,136,18-11,131,4-6,14,14-5,5-8,8-2,0-1,1-3,4-2,3-1,5-6,10-4
Ohio,70,122,85,20-13,87,7-5,11,13-8,5-8,6-4,0-1,3-5,5-2,3-3,8-8,9-2
Delaware,71,188,234,24-8,117,8-3,21,16-5,7-7,8-2,0-1,1-3,2-2,1-0,3-6,20-2
Cal St. Northridge,72,162,157,19-10,86,7-3,14,12-7,7-8,6-4,0-0,2-0,1-5,4-2,3-5,12-3
Murray St.,73,171,181,22-9,89,6-4,17,16-5,9-4,8-2,0-0,0-2,1-3,8-0,1-5,13-4
Penn,74,179,203,21-8,118,7-8,28,14-0,9-4,9-1,0-5,0-1,3-1,2-0,3-7,16-1
Mississippi,75,114,71,18-14,39,13-2,1,5-12,2-10,4-6,1-8,1-0,3-2,5-3,5-10,8-1
Siena,76,174,189,24-9,130,7-5,18,17-4,7-5,7-3,0-0,0-0,1-5,7-2,1-5,16-2
Virginia,77,124,93,19-12,115,10-4,4,9-8,5-7,4-6,3-4,1-1,2-3,3-3,6-8,10-1
George Mason,78,155,147,19-11,125,6-6,13,13-5,6-8,7-3,0-1,0-0,2-6,4-1,2-7,13-3
Miami (Ohio),79,111,61,15-15,83,4-4,11,11-11,6-9,5-5,0-2,2-6,4-4,4-0,6-12,5-3
Georgetown,80,105,46,18-15,65,10-4,3,8-11,3-9,5-5,1-6,2-3,2-3,6-2,5-12,7-1
Southern California,81,106,50,16-14,97,7-5,6,9-9,5-8,3-7,1-5,1-5,2-4,4-0,4-14,8-0
Xavier,82,131,104,21-12,54,11-4,8,10-8,4-9,6-4,1-2,2-3,3-3,5-2,6-8,10-2
James Madison,83,179,203,20-9,168,7-4,13,13-5,6-9,7-3,0-0,0-0,2-3,1-4,2-3,17-2
Appalachian St.,84,183,216,20-9,164,4-6,22,16-3,9-6,7-3,0-1,0-1,2-2,1-1,2-4,17-4
Long Beach St.,85,185,226,22-6,153,6-4,19,16-2,10-2,7-3,0-0,0-2,3-2,0-2,3-4,19-0
North Carolina St.,86,110,58,20-14,38,13-2,4,7-12,2-8,5-5,1-6,2-2,6-3,2-0,9-11,9-3
California,87,103,43,18-15,36,11-4,6,7-11,4-7,4-6,0-5,3-4,4-4,3-0,7-13,8-2
Iona,88,169,178,20-11,163,4-6,18,16-5,8-7,8-2,0-1,0-2,2-1,4-4,2-4,14-3
Central Conn. St.,89,211,288,25-6,177,7-3,24,18-3,8-4,6-4,0-1,0-0,0-0,3-3,0-1,22-2
Sam Houston St.,90,201,267,20-7,91,4-3,23,16-4,9-5,8-2,0-2,0-0,0-0,2-1,0-2,18-4
Colorado,91,115,73,17-14,68,9-4,5,8-10,2-10,5-5,2-6,2-0,3-3,1-2,7-9,9-3
Wyoming,92,142,126,18-12,127,9-5,10,9-7,4-9,6-4,0-2,2-3,1-2,5-3,3-7,10-2
Tulane,93,134,110,20-11,64,11-2,7,9-9,4-8,5-5,0-2,0-2,5-4,5-2,5-8,10-1
Princeton,94,174,189,18-11,79,7-8,28,11-3,7-6,7-3,0-2,0-0,1-7,4-1,1-9,13-1
Marshall,95,141,123,19-9,78,6-1,11,13-8,5-5,7-3,0-0,2-3,3-3,3-2,5-6,11-1
Marquette,96,104,44,15-14,94,7-5,7,8-9,3-9,4-6,0-3,2-3,5-4,2-3,7-10,6-1
Col. of Charleston,97,201,267,20-6,109,5-2,22,15-4,7-2,8-2,0-1,0-0,1-2,0-0,1-3,19-3
Maine,98,205,277,23-7,179,7-3,21,16-4,9-4,8-2,0-0,0-3,2-1,0-2,2-4,21-1
UNC Wilmington,99,155,147,18-13,112,7-5,13,11-8,4-10,6-4,0-3,1-0,3-2,1-3,4-5,13-5
Eastern Wash.,100,150,140,13-10,238,1-5,14,12-5,5-8,7-3,0-0,0-1,3-3,2-5,3-4,8-1
Louisiana Tech,101,191,241,21-8,147,8-3,20,13-5,10-6,7-3,0-0,0-1,2-2,2-1,2-3,17-4
Weber St.,102,151,142,15-10,55,5-3,14,10-7,5-6,6-4,0-0,2-1,2-5,1-2,4-6,10-2
Colorado St.,103,133,106,17-12,110,9-5,10,8-7,5-7,6-4,0-0,3-4,3-5,1-3,6-9,10-0
Michigan,104,99,34,15-14,51,9-3,2,6-11,3-8,3-7,1-7,2-2,2-3,2-1,5-12,8-1
TCU,105,125,96,17-14,114,8-7,9,9-7,4-6,6-4,0-3,0-6,2-2,3-2,2-11,12-1
San Diego,106,177,200,19-9,139,8-4,15,11-5,7-5,7-3,0-2,2-4,1-0,2-2,3-6,14-1
Richmond,107,152,144,18-12,122,5-6,13,13-6,8-5,7-3,0-1,0-0,5-6,2-1,5-7,11-4
South Ala.,108,180,207,20-10,160,5-6,20,15-4,7-7,8-2,0-1,1-0,2-3,1-3,3-4,16-3
Lafayette,109,210,286,22-7,178,8-6,25,14-1,9-4,9-1,0-1,0-1,1-1,4-2,1-3,17-2
South Carolina,110,96,25,15-17,104,8-5,1,7-12,2-8,6-4,1-11,0-1,4-2,3-1,5-14,7-2
West Virginia,111,105,46,14-14,42,8-3,3,6-11,4-7,2-8,0-4,1-4,3-4,5-0,4-12,5-2
Massachusetts,112,114,71,16-16,155,5-8,8,11-8,7-8,5-5,0-5,1-3,1-4,7-2,2-12,7-2
New Mexico,113,119,81,17-14,102,8-8,10,9-6,5-6,6-4,1-1,3-4,1-6,3-1,5-11,9-2
