SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Duke,1,80,1,28-6,6,14-1,14-5,6-5,9-3,7-5,11-1,8-0,2-0,18-6,5-0
Pittsburgh,2,90,8,27-4,1,12-0,15-4,7-3,10-2,8-3,8-1,8-0,3-0,16-4,6-0
NorthCarolina,3,95,12,27-4,8,13-0,14-4,8-2,10-2,5-2,9-2,11-0,2-0,14-4,6-0
Louisville,4,91,10,28-5,26,9-3,19-2,8-1,11-1,9-3,7-2,9-0,3-0,16-5,7-0
Oklahoma,5,102,25,27-5,10,14-1,13-4,8-3,8-4,10-4,7-0,3-1,7-0,17-4,8-0
MichiganSt.,6,86,5,26-6,11,10-2,16-4,9-1,9-3,13-3,3-3,6-0,4-0,16-6,6-0
Memphis,7,121,59,31-3,13,12-3,19-0,10-1,12-0,4-2,11-1,10-0,6-0,15-3,14-0
Connecticut,8,102,25,27-4,7,12-0,15-4,9-1,9-3,8-3,7-1,8-0,4-0,15-4,8-0
Utah,9,111,43,24-8,18,9-4,15-4,6-7,10-2,5-5,7-2,6-0,6-1,12-7,10-1
Missouri,10,113,46,27-6,28,12-2,15-4,5-4,10-2,7-4,5-2,8-0,7-0,12-6,11-0
Kansas,11,101,22,25-7,31,11-4,14-3,6-4,9-3,9-3,5-2,6-2,5-0,14-5,9-1
Syracuse,12,91,10,25-9,4,11-1,14-8,5-5,8-4,6-6,4-3,11-0,4-0,10-9,8-0
Villanova,13,107,37,26-7,30,12-1,14-6,8-3,9-3,7-6,5-1,8-0,6-0,12-7,10-0
Washington,14,100,20,24-8,27,9-3,15-5,6-4,9-3,6-5,4-2,11-1,3-0,10-7,8-0
FloridaSt.,15,101,22,25-9,29,13-2,12-7,7-5,8-4,5-6,6-3,8-0,6-0,11-9,6-0
WakeForest,16,115,49,24-6,37,13-0,11-6,7-4,7-5,6-1,6-3,6-2,6-0,12-4,7-0
Xavier,17,116,51,25-7,2,12-2,13-5,7-4,7-5,5-4,5-1,9-1,6-1,10-5,9-1
Siena,18,136,86,26-7,34,7-5,19-2,9-4,10-2,2-5,5-0,10-2,9-0,7-5,15-1
OklahomaSt.,19,98,18,22-11,21,11-3,11-8,4-6,8-4,4-10,5-1,8-0,5-0,9-11,9-0
Purdue,20,106,33,25-9,52,11-2,14-7,5-5,8-4,8-7,5-2,2-0,10-0,13-9,10-0
WestVirginia,21,96,16,23-11,19,11-2,12-9,7-5,8-4,3-8,8-3,8-0,4-0,11-11,8-0
Illinois,22,102,25,24-9,17,12-1,12-8,5-5,7-5,9-7,3-2,5-0,7-0,12-9,9-0
UtahSt.,23,171,162,29-4,48,12-2,17-2,11-3,9-3,1-2,3-1,12-1,13-0,4-3,18-0
Butler,24,145,114,25-5,3,9-1,16-4,11-3,8-4,2-1,10-2,4-1,9-1,12-3,12-1
Tennessee,25,90,8,21-12,14,9-5,12-7,6-5,7-5,2-6,9-5,9-1,1-0,11-11,6-0
Gonzaga,26,148,118,25-5,39,9-5,16-0,9-1,11-1,6-3,2-1,8-1,9-0,8-4,14-0
Dayton,27,138,96,26-7,20,14-1,12-6,5-6,7-5,3-2,6-2,10-2,7-1,9-4,11-2
Clemson,28,110,41,23-8,9,14-0,9-8,7-4,6-6,3-5,5-1,9-2,6-0,8-6,8-0
BYU,29,132,79,24-7,22,11-2,13-5,9-3,10-2,4-4,4-3,6-0,10-0,8-7,13-0
Temple,30,118,55,22-11,64,8-6,14-5,9-8,10-2,2-5,4-3,10-3,6-0,6-8,7-2
ArizonaSt.,31,106,33,24-9,23,11-1,13-8,6-4,8-4,7-5,5-3,6-1,6-0,12-8,11-0
OhioSt.,32,95,12,22-10,24,10-1,12-9,4-6,7-5,7-9,4-1,5-0,6-0,11-10,8-0
UCLA,33,108,38,25-8,49,11-2,14-6,6-4,8-4,5-6,6-2,10-0,4-0,11-8,10-0
SanDiegoSt.,34,125,66,21-9,58,8-3,13-6,6-5,8-4,2-6,5-3,6-0,8-0,7-9,13-0
Marquette,35,116,51,24-9,45,11-2,13-7,7-4,5-7,3-8,6-0,7-1,8-0,9-8,10-1
TexasA&M,36,116,51,22-9,25,13-1,9-8,5-5,8-4,4-5,4-3,7-1,7-0,8-8,10-0
LSU,37,136,86,26-7,81,12-3,14-4,6-3,9-3,1-3,10-3,8-1,7-0,11-6,11-0
SouthernCalifornia,38,97,17,21-12,41,9-3,12-9,2-8,6-6,5-8,4-1,9-3,3-0,9-9,7-1
California,39,111,43,22-10,33,11-2,11-8,6-6,6-6,5-7,6-0,5-3,6-0,11-7,8-2
Creighton,40,144,108,26-7,44,11-2,15-5,8-4,11-1,2-2,7-3,7-2,10-0,9-5,13-2
Texas,41,106,33,22-11,50,11-3,11-8,4-6,7-5,6-6,3-4,6-1,7-0,9-10,10-0
Minnesota,42,105,31,21-10,16,11-0,10-10,4-6,5-7,5-8,4-2,4-0,8-0,9-10,9-0
WesternKy.,43,172,166,23-8,96,5-5,18-3,7-7,11-1,1-1,2-3,11-2,9-2,3-4,13-2
Michigan,44,95,12,19-13,36,9-3,10-10,3-8,6-6,6-10,4-2,3-1,6-0,10-12,6-0
Wisconsin,45,88,6,18-12,35,8-3,10-9,4-7,7-5,4-10,5-1,4-1,5-0,9-11,7-0
UAB,46,137,92,22-11,54,10-5,12-6,7-7,9-3,0-5,2-6,13-0,7-0,2-11,17-0
IllinoisSt.,47,147,117,24-9,38,11-1,13-8,7-6,7-5,2-2,5-4,11-1,6-2,7-6,14-3
StMary's(CA),48,167,154,24-6,15,13-1,11-5,8-3,8-4,2-3,1-1,12-2,9-0,3-4,15-1
Niagara,49,165,151,26-8,60,10-3,16-5,10-6,10-2,2-3,3-1,10-2,11-2,5-4,17-3
VCU,50,161,144,24-9,77,7-5,17-4,7-6,9-3,0-1,4-4,9-1,11-3,4-5,12-3
GeorgeMason,51,160,140,22-10,62,7-4,15-6,6-9,7-5,0-4,2-1,10-3,10-2,2-5,12-2
ClevelandSt.,52,151,122,22-10,78,6-4,16-6,8-8,10-2,2-4,3-3,6-2,11-1,5-7,14-2
Tulsa,53,140,101,23-10,85,9-5,14-5,7-6,9-3,3-7,3-0,7-3,10-0,6-7,15-3
Florida,54,140,101,23-10,57,13-2,10-8,2-7,5-7,1-5,7-4,6-1,9-0,8-9,11-1
Maryland,55,101,22,20-13,51,11-3,9-10,2-6,6-6,4-8,4-3,5-2,7-0,8-11,7-0
Baylor,56,99,19,19-14,32,11-2,8-12,2-7,5-7,5-10,4-2,5-2,5-0,9-12,7-1
Georgetown,57,88,6,16-14,5,9-2,7-12,3-8,4-8,4-8,3-3,6-3,3-0,7-11,6-0
SouthCarolina,58,139,99,21-9,75,11-2,10-7,5-6,7-5,0-4,7-4,6-1,8-0,7-8,12-0
UNI,59,138,96,22-10,154,5-6,17-4,8-4,8-4,4-3,6-1,4-5,8-1,10-4,10-5
BostonCollege,60,115,49,22-11,68,12-3,10-8,5-5,7-5,4-5,3-3,10-2,5-1,7-8,8-1
VirginiaTech,61,103,29,18-14,82,10-4,8-10,5-6,4-8,2-9,4-2,7-3,5-0,6-11,6-1
Arizona,62,102,25,19-13,40,10-3,9-10,2-9,7-5,6-10,2-2,7-1,4-0,8-12,9-0
MississippiSt.,63,120,57,22-12,98,9-5,13-7,5-4,7-5,3-3,7-5,9-3,3-1,10-8,8-2
Auburn,64,128,74,21-11,88,10-4,11-7,5-5,9-3,2-4,4-6,8-1,7-0,6-10,10-1
Miami(FL),65,105,31,17-12,56,10-2,7-10,4-6,4-8,2-7,4-3,6-2,5-0,6-10,7-0
NewMexico,66,128,74,21-11,109,9-6,12-5,6-6,9-3,3-5,4-3,8-3,6-0,7-8,10-2
UNLV,67,136,86,21-10,42,12-2,9-8,6-6,6-6,4-5,5-3,3-1,9-1,9-8,12-2
RhodeIsland,68,144,108,22-10,59,11-4,11-6,9-5,9-3,3-5,4-2,4-3,11-0,7-7,13-1
Davidson,69,188,198,25-7,46,6-4,19-3,10-2,8-4,1-4,0-0,10-3,14-0,1-4,21-1
PennSt.,70,123,62,22-11,91,11-2,11-9,5-6,6-6,6-9,1-1,4-1,11-0,7-10,12-0
GreenBay,71,163,149,21-9,93,8-3,13-6,7-7,8-4,1-3,2-3,8-1,10-2,3-6,15-2
Providence,72,118,55,19-13,90,8-4,11-9,4-6,5-7,2-8,3-5,7-0,7-0,5-13,12-0
American,73,216,297,24-7,130,8-6,16-1,11-6,12-0,0-1,0-3,8-2,16-1,0-4,23-2
StephenFAustin,74,205,257,20-7,123,6-4,14-3,6-7,10-2,0-1,1-0,9-4,10-2,1-1,16-4
Duquesne,75,140,101,21-12,89,9-4,12-8,8-6,7-5,2-7,1-1,9-4,9-0,3-8,14-0
Nebraska,76,125,66,18-12,70,10-3,8-9,4-7,6-6,3-7,2-2,6-3,7-0,5-9,11-3
NotreDame,77,113,46,17-14,92,8-3,9-11,3-8,6-6,2-12,2-1,6-1,7-0,4-13,11-0
Northwestern,78,110,41,17-13,65,9-2,8-11,4-8,6-6,6-10,0-1,2-2,9-0,6-11,9-0
Kentucky,79,129,76,20-13,80,11-4,9-9,4-6,4-8,3-4,5-7,3-2,9-0,8-11,10-1
Miami(OH),80,157,135,17-13,61,7-6,10-7,7-10,6-6,1-5,2-5,6-2,8-1,3-10,10-3
KansasSt.,81,136,86,20-11,111,11-3,9-8,5-5,8-4,3-6,2-3,5-2,10-0,5-9,13-1
Mississippi,82,112,45,16-15,55,9-5,7-10,3-7,6-6,1-5,3-7,9-3,3-0,4-12,8-1
Nevada,83,144,108,20-12,99,7-6,13-6,8-5,8-4,2-4,0-1,11-6,7-1,2-5,13-3
Cincinnati,84,114,48,17-14,47,9-3,8-11,4-7,5-7,2-9,5-2,4-2,6-1,7-11,8-2
UTEP,85,139,99,19-12,74,9-5,10-7,6-5,8-4,2-4,2-5,8-3,7-0,4-9,12-2
Houston,86,160,140,21-11,121,9-4,12-7,6-7,8-4,2-3,2-4,7-3,10-1,4-7,15-4
NorthDakotaSt.,87,222,306,24-6,134,5-4,19-2,10-4,11-1,0-2,0-1,5-2,19-1,0-3,19-1
Binghamton,88,206,264,22-8,197,6-5,16-3,9-6,11-1,0-0,2-0,9-4,11-4,2-0,19-8
Northeastern,89,153,123,18-12,94,6-5,12-7,10-6,6-6,1-2,3-2,5-5,9-3,4-4,10-5
Buffalo,89,172,166,21-11,86,8-5,13-6,7-6,6-6,1-3,3-4,5-3,12-1,4-7,15-3
UALR,91,200,238,23-8,142,7-4,16-4,11-3,9-3,1-3,0-1,6-2,16-2,1-4,18-2
WashingtonSt.,92,108,38,17-15,84,8-4,9-11,5-6,5-7,3-11,2-2,6-2,6-0,5-13,10-1
WrightSt.,93,156,133,20-13,127,6-6,14-7,5-9,7-5,0-5,3-4,6-3,11-1,3-9,13-3
Fairfield,94,144,108,17-15,53,7-5,10-10,6-9,5-7,0-8,1-1,8-4,8-2,1-9,15-3
Evansville,95,125,66,15-13,12,7-2,8-11,2-9,5-7,1-7,3-3,5-2,6-1,4-10,9-2
Vanderbilt,95,135,84,19-12,97,11-3,8-9,3-7,7-5,2-3,4-5,8-4,5-0,6-8,10-2
Vermont,97,193,212,23-8,117,10-4,13-4,9-4,10-2,0-1,1-4,8-2,14-1,1-5,22-3
Bradley,98,137,92,17-14,122,6-5,11-9,5-9,6-6,1-5,1-5,8-3,7-1,2-10,11-2
Akron,99,184,185,22-12,131,8-6,14-6,8-8,8-4,1-3,4-3,4-4,13-2,5-6,16-5
Wyoming,100,146,115,17-13,116,9-3,8-10,3-9,5-7,1-8,3-3,1-2,12-0,4-11,13-1
SetonHall,101,124,65,16-15,87,8-3,8-12,4-7,6-6,1-10,3-2,5-2,7-1,4-12,11-1
ColofCharleston,102,211,280,25-8,67,7-2,18-6,11-4,10-2,0-2,3-1,6-4,16-1,3-3,22-5
OldDominion,103,172,166,21-10,149,8-3,13-7,7-6,10-2,1-3,3-2,5-3,12-2,4-5,12-3
Hofstra,104,171,162,20-11,95,8-3,12-8,8-6,8-4,0-3,2-2,6-4,12-2,2-5,14-3
StJoseph's,105,132,79,17-15,103,7-7,10-8,7-6,5-7,0-9,2-0,6-6,9-0,2-9,12-2
Stanford,106,123,62,18-13,63,11-0,7-13,4-8,5-7,3-8,3-2,5-3,7-0,6-10,10-3
WeberSt.,107,194,218,20-9,148,5-7,15-2,9-4,11-1,0-3,0-2,6-2,14-2,0-5,18-4
Alabama,108,122,61,16-14,120,8-4,8-10,2-7,6-6,2-4,4-7,5-3,5-0,6-11,7-2
RobertMorris,109,219,301,24-10,203,6-7,18-3,9-7,9-3,0-2,0-2,5-2,19-4,0-4,21-6
BoiseSt.,110,165,151,18-12,108,9-4,9-8,6-8,5-7,1-3,1-2,6-5,10-2,2-5,14-3
NorthCarolinaSt.,111,126,71,16-14,126,10-3,6-11,2-9,5-7,1-7,2-7,4-0,9-0,3-14,10-0
LaSalle,112,142,105,18-13,83,9-5,9-8,6-4,6-6,1-6,0-2,8-5,9-0,1-8,12-2
PortlandSt.,113,209,277,20-9,102,7-4,13-5,7-7,8-4,1-1,0-1,4-3,15-4,1-2,17-5
Virginia,114,84,3,10-18,79,6-5,4-13,1-9,3-9,1-10,2-6,4-2,3-0,3-16,4-0
Cornell,115,223,309,19-9,144,8-6,11-3,5-8,9-3,0-3,0-0,3-2,16-4,0-3,18-4
