SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Navy,168,224,311,19-11,106,11-4,8-7,7-7,6-6,0-1,0-3,5-1,14-6,0-4,17-7
HolyCross,169,208,272,18-14,253,5-10,13-4,6-10,9-3,0-1,1-4,4-4,13-5,1-5,16-9
MiddleTenn.,170,185,187,16-14,189,5-5,11-9,6-7,6-6,0-3,0-3,3-6,13-2,0-6,13-2
Marshall,171,136,86,12-17,114,5-7,7-10,2-9,6-6,0-5,1-5,6-6,5-1,1-10,10-5
Wofford,172,199,232,15-14,194,3-5,12-9,7-9,7-5,0-2,0-3,5-6,10-3,0-5,15-7
EasternKy.,173,214,291,16-12,146,6-3,10-9,5-11,7-5,0-0,1-1,4-7,11-4,1-1,12-4
Chattanooga,174,185,187,16-16,145,2-7,14-9,5-10,8-4,1-4,0-3,4-5,11-4,1-7,14-6
Citadel,175,212,285,18-12,264,3-6,15-6,9-5,10-2,0-2,1-2,4-4,13-4,1-4,15-7
LouisianaTech,176,176,175,15-16,210,8-5,7-11,5-11,7-5,0-3,1-3,7-5,7-5,1-6,9-7
UCSantaBarbara,177,186,190,15-15,118,6-6,9-9,3-10,8-4,0-4,0-0,4-8,11-3,0-4,14-6
Albany(NY),178,187,195,15-16,125,8-5,7-11,5-12,4-8,0-3,3-2,3-5,9-6,3-5,12-11
AlabamaSt.,179,250,341,20-9,299,1-7,19-2,8-7,11-1,0-1,0-4,2-2,18-2,0-5,20-4
Oregon,180,85,4,8-23,72,6-6,2-17,1-10,2-10,0-14,1-5,5-4,2-0,1-19,4-2
JacksonSt.,181,224,311,18-15,248,1-11,17-4,6-13,10-2,0-5,0-3,1-4,17-3,0-8,18-5
Mercer,182,202,247,16-15,167,12-6,4-9,7-10,7-5,0-3,1-0,3-7,12-5,1-3,12-6
SacredHeart,183,215,295,17-14,252,4-7,13-7,7-10,9-3,0-0,0-4,1-6,16-4,0-4,16-6
Ohio,184,176,175,15-17,140,7-7,8-10,2-13,5-7,0-2,4-4,3-6,8-5,4-6,9-10
UTSA,185,206,264,16-13,231,7-4,9-9,6-9,6-6,0-1,0-2,4-7,12-3,0-3,15-8
Montana,186,207,271,15-12,209,4-6,11-6,5-9,8-4,0-2,0-0,2-4,13-6,0-2,14-7
Texas-Arlington,187,199,232,13-14,237,5-6,8-8,7-10,6-6,0-0,1-2,4-7,8-5,1-2,11-9
Tulane,188,157,135,13-17,200,5-7,8-10,2-11,5-7,0-6,2-4,3-3,8-4,2-10,11-7
