SCHOOLNAME,RPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,200-999,VTOP100,VBELOWO164
TexasSouthern,239,18-13,243,4-6,31,14-7,4-8,5-5,0-1,0-1,1-2,17-9,0-2,17-11
Lamar,240,12-14,253,2-4,24,10-10,3-11,5-5,0-0,0-2,4-6,8-6,0-2,12-8
Elon,241,10-15,246,2-8,29,8-7,6-9,6-4,0-2,0-2,1-8,9-3,0-4,10-10
Canisius,242,10-18,212,4-5,16,6-13,3-10,2-8,0-3,0-4,2-8,8-3,0-7,8-6
MontanaSt.,243,9-16,211,4-7,18,5-9,3-9,4-6,0-2,0-2,3-6,6-6,0-4,9-8
CoppinSt.,244,11-17,255,0-9,30,11-8,5-11,5-5,0-3,0-2,2-8,9-4,0-5,11-10
NorthernIowa,245,10-17,231,3-5,14,7-12,3-12,5-5,0-5,0-2,4-6,6-4,0-7,8-5
Duquesne,246,9-21,217,6-7,9,3-14,2-11,2-8,0-7,1-5,2-6,6-3,1-12,7-7
SoutheasternLa.,247,9-16,238,0-5,24,9-11,3-11,5-5,0-2,0-4,4-5,5-5,0-6,9-8
Colgate,248,12-14,295,3-8,26,9-6,5-8,6-4,0-1,0-3,1-3,11-7,0-4,12-10
FairleighDickinson,249,15-14,257,5-4,28,10-10,3-11,5-5,0-0,2-2,3-2,10-10,2-2,13-12
MississippiVal.,250,14-13,302,0-7,31,14-6,7-6,8-2,0-0,0-3,0-2,14-8,0-3,14-10
NorthTexas,251,5-21,151,3-7,15,2-14,3-12,1-9,1-3,0-3,3-14,1-1,1-6,2-6
Texas-SanAntonio,252,9-17,105,2-4,24,7-13,4-10,4-6,0-1,1-4,2-8,6-4,1-5,8-9
Idaho,253,12-15,277,3-5,20,9-10,5-8,5-5,0-0,1-1,3-8,8-6,1-1,10-9
SacramentoSt.,254,11-17,254,5-7,18,6-10,6-11,4-6,0-4,0-1,3-4,8-8,0-5,9-10
AlabamaSt.,255,13-15,214,2-7,31,11-8,5-9,4-6,0-1,0-2,1-3,12-9,0-3,13-11
Hofstra,256,8-21,276,1-8,17,7-13,2-10,3-7,0-1,0-7,4-6,4-7,0-8,5-10
CoastalCaro.,257,11-15,140,6-5,29,5-10,5-11,4-6,0-1,0-1,7-3,4-10,0-2,10-11
Drake,258,8-20,209,3-6,14,5-14,2-11,3-7,0-5,0-3,2-9,6-3,0-8,6-6
Liberty,259,14-15,270,5-8,29,9-7,3-10,5-5,0-0,0-2,1-8,13-5,0-2,14-12
Lafayette,260,11-16,261,4-7,26,7-9,3-10,5-5,0-1,0-4,1-4,10-7,0-5,11-10
IndianaSt.,261,7-24,153,4-7,14,3-17,0-12,2-8,0-6,1-3,2-10,4-5,1-9,5-7
TexA&M-CorpChris,262,11-15,256,5-14,32,6-1,4-11,6-4,0-2,0-4,0-3,11-6,0-6,11-7
Howard,263,13-17,245,2-7,30,11-10,5-11,6-4,0-1,0-2,3-6,10-8,0-3,13-14
WilliamMary,264,12-16,266,5-4,17,7-12,5-8,4-6,0-0,0-4,4-7,8-5,0-4,11-6
ClevelandSt.,265,8-22,225,5-8,13,3-14,2-12,1-9,0-4,0-6,2-8,6-4,0-10,7-5
AlcornSt.,266,14-19,271,2-10,31,12-9,5-12,6-4,0-1,0-1,0-8,14-9,0-2,14-12
StonyBrook,267,11-15,264,4-5,25,7-10,3-9,4-6,0-2,0-1,1-6,10-6,0-3,10-9
La.-Monroe,268,11-16,309,1-5,24,10-11,5-11,5-5,0-0,1-2,3-9,7-5,1-2,10-10
UMKC,269,9-20,306,1-12,27,8-8,4-8,6-4,0-3,1-2,2-8,6-7,1-5,8-11
CalStFullerton,270,9-19,310,1-8,20,8-11,4-10,4-6,0-0,0-3,3-9,6-7,0-3,7-10
SoutheastMoSt.,271,9-19,229,4-7,21,5-12,3-12,2-8,0-2,1-2,3-9,5-6,1-4,5-8
LongIsland,272,9-19,283,2-7,28,7-12,6-11,3-7,0-0,1-2,0-9,8-8,1-2,8-13
Centenary(La.),273,10-14,240,6-10,32,4-4,5-10,7-3,0-2,0-3,1-4,9-5,0-5,9-6
FloridaInt'l,274,6-21,251,4-7,15,2-14,2-10,2-8,0-0,0-6,4-9,2-6,0-6,3-10
VMI,275,8-19,234,3-5,19,5-14,2-11,4-6,0-0,0-3,2-8,6-8,0-3,6-9
SouthernUtah,276,9-17,281,3-7,27,6-10,2-11,3-7,0-2,0-2,2-5,7-8,0-4,9-10
YoungstownSt.,277,7-20,319,2-7,13,5-13,1-14,2-8,0-2,0-5,2-4,5-9,0-7,5-9
Grambling,278,10-18,263,1-8,31,9-10,3-14,4-6,0-2,0-3,0-2,10-11,0-5,10-12
MtStMary's,279,11-16,241,5-4,28,6-12,3-12,4-6,0-1,0-2,0-5,11-8,0-3,11-12
IPFW,280,9-20,280,6-18,32,3-2,3-15,5-5,0-3,0-3,1-8,8-6,0-6,8-7
Fordham,281,2-26,252,1-10,9,1-16,1-12,0-10,0-4,0-10,0-9,2-3,0-14,2-6
JacksonSt.,282,10-18,273,1-8,31,9-10,2-16,6-4,0-1,1-1,0-6,9-10,1-2,9-12
Navy,283,7-19,262,3-8,26,4-11,1-11,3-7,0-0,0-2,1-9,6-8,0-2,6-11
UNCGreensboro,284,6-22,204,3-8,19,3-14,1-14,2-8,0-3,1-1,2-9,3-9,1-4,4-9
NorfolkSt.,285,14-15,288,3-5,30,11-10,4-10,5-5,0-1,0-2,2-5,12-7,0-3,14-12
RobertMorris,286,9-17,303,2-6,28,7-11,4-12,4-6,0-1,0-2,1-4,8-10,0-3,9-14
EasternKy.,287,5-17,291,0-5,21,5-12,2-10,3-7,0-2,0-3,2-7,3-5,0-5,4-7
Radford,288,10-20,311,2-11,29,8-9,4-13,5-5,0-0,0-2,2-9,8-9,0-2,10-17
UCRiverside,289,5-18,292,0-5,20,5-13,2-11,3-7,0-0,1-4,0-8,4-6,1-4,4-8
WesternCaro.,290,6-18,317,0-7,19,6-11,2-12,3-7,0-0,0-3,1-9,5-6,0-3,5-8
FlaAtlantic,291,6-21,279,3-8,22,3-13,1-15,2-8,0-0,0-6,1-7,5-8,0-6,6-9
Cornell,292,8-18,278,4-8,23,4-10,4-11,2-8,0-1,0-3,0-8,8-6,0-4,8-7
Dartmouth,293,7-19,284,3-9,23,4-10,3-10,4-6,0-0,0-3,0-10,7-6,0-3,7-8
Albany(N.Y.),294,7-21,247,4-7,25,3-14,2-11,2-8,0-2,0-0,0-9,7-10,0-2,7-13
SanJoseSt.,295,5-21,313,1-6,12,4-15,2-12,2-8,0-0,3-3,0-12,2-6,3-3,2-10
Stetson,296,6-20,308,2-8,22,4-12,1-12,3-7,0-1,0-6,1-5,5-8,0-7,5-10
SacredHeart,297,7-21,314,1-9,28,6-12,3-11,4-6,0-1,0-4,1-5,6-11,0-5,7-14
PortlandSt.,298,4-21,301,1-10,18,3-11,0-13,1-9,0-4,0-1,1-8,3-8,0-5,4-11
Gardner-Webb,299,4-24,249,2-10,22,2-14,1-15,2-8,0-0,0-6,2-10,2-8,0-6,3-11
UTEP,300,5-24,323,1-8,12,4-16,0-12,2-8,0-1,0-7,2-11,3-5,0-8,5-7
Citadel,301,4-20,298,1-6,19,3-14,1-11,1-9,0-1,0-3,0-8,4-8,0-4,4-9
Buffalo,302,5-23,297,3-6,11,2-17,0-15,2-8,0-1,1-3,2-15,2-4,1-4,3-9
UMBC,303,7-20,299,2-7,28,5-13,1-13,1-9,0-1,0-3,1-4,6-12,0-4,7-15
NorthwesternSt.,304,6-21,322,0-7,24,6-14,3-12,3-7,0-1,0-2,0-11,6-7,0-3,6-14
WesternIll.,305,5-21,285,2-9,27,3-12,2-13,1-9,0-1,0-3,0-10,5-7,0-4,5-12
HighPoint,306,7-20,287,4-8,29,3-12,2-12,2-8,0-1,0-1,0-8,7-10,0-2,7-17
Loyola(Md.),307,4-24,294,3-6,16,1-18,1-11,0-10,0-1,0-4,0-9,4-10,0-5,4-12
Tex.-PanAmerican,308,6-19,293,3-15,32,3-4,2-9,6-4,0-1,0-2,0-7,6-9,0-3,6-10
LongBeachSt.,309,4-22,320,0-8,20,4-14,0-14,3-7,0-1,0-3,1-8,3-10,0-4,3-12
NewHampshire,310,5-23,312,2-9,25,3-14,3-14,2-8,0-1,0-0,1-9,4-13,0-1,5-15
Bethune-Cookman,311,7-21,300,1-7,30,6-14,3-13,3-7,0-2,0-2,1-6,6-11,0-4,7-16
Ark.-PineBluff,312,4-24,282,0-10,31,4-14,2-16,4-6,0-3,0-2,0-4,4-15,0-5,4-16
Lipscomb,313,6-18,305,4-15,32,2-3,0-11,4-6,0-0,0-2,1-8,5-8,0-2,6-10
Towson,314,4-24,315,3-6,17,1-18,1-13,0-10,0-0,0-5,0-10,4-9,0-5,4-13
ChicagoSt.,315,3-27,289,3-12,27,0-15,0-14,0-10,0-2,0-5,0-8,3-12,0-7,3-16
Campbell,316,4-22,307,3-7,22,1-15,0-13,1-9,0-0,0-3,0-8,4-11,0-3,4-15
Army,317,3-22,304,3-7,26,0-15,1-12,0-10,0-1,0-3,1-3,2-15,0-4,2-18
AlabamaA&M,318,5-19,286,1-5,31,4-14,1-12,3-7,0-1,0-2,0-2,5-14,0-3,5-16
NichollsSt.,319,2-25,296,1-6,24,1-19,1-15,0-10,0-2,0-3,1-9,1-11,0-5,2-17
MorganSt.,320,7-22,325,1-9,30,6-13,1-13,3-7,0-0,0-0,0-7,7-15,0-0,7-22
Md.-EastShore,321,5-23,324,0-9,30,5-14,2-13,3-7,0-0,0-0,0-10,5-13,0-0,5-21
TennesseeSt.,322,0-23,318,0-7,21,0-16,0-14,0-10,0-1,0-4,0-9,0-9,0-5,0-12
SavannahSt.,323,2-23,316,1-16,32,1-7,1-15,1-9,0-0,0-5,0-7,2-11,0-5,2-16
N.CA&T,324,1-25,268,0-7,30,1-18,1-13,1-9,0-3,0-1,0-6,1-15,0-4,1-20
Columbia,325,2-25,321,2-11,23,0-14,1-13,0-10,0-0,0-3,0-8,2-14,0-3,2-14
SouthernU.,326,6-20,326,1-6,31,5-14,1-11,4-6,0-0,0-0,0-2,6-18,0-0,6-18
