SCHOOLNAME,RPI,OPPRPI,RECORD,NONCONFRPI NONCONFRECORD,,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Duke,1,83,30-3,2 13-1,,3,17- 2,10-2,8- 2,9- 2,13- 1,6- 0,2- 0,22- 3,2- 0
Villanova,2,86,25-4,6 10-1,,2,15- 3,10-2,8- 2,9- 4,9- 0,3- 0,4- 0,18- 4,4- 0
Connecticut,3,108,27-3,21 13-0,,2,14- 3,8-2,8- 2,12- 3,4- 0,3- 0,8- 0,16- 3,8- 0
Memphis,4,125,30-3,1 14-2,,13,16- 1,10-1,9- 1,6- 3,7- 0,6- 0,11- 0,13- 3,11- 0
Ohio St.,5,94,25-5,3 11-0,,1,14- 5,6-3,8- 2,8- 5,3- 0,10- 0,4- 0,11- 5,4- 0
Tennessee,6,92,21-7,4 9-2,,4,12- 5,7-3,6- 4,4- 4,6- 3,8- 0,3- 0,10- 7,3- 0
 Iowa,7,96,25-8,51 11-3,,1,14- 5,4-7,7- 3,10- 5,3- 2,7- 1,5- 0,13- 7,5- 0
Texas,8,109,27-6,15 12-2,,5,15- 4,7-3,7- 3,8- 5,4- 1,10- 0,5- 0,12- 6,5- 0
UCLA,9,105,27-6,5 10-2,,7,17- 4,8-2,8- 2,5- 4,6- 1,14- 1,2- 0,11- 5,2- 0
Gonzaga,9,138,27-3,11 11-3,,12,16- 0,8-2,10- 0,3- 3,3- 0,16- 0,5- 0,6- 3,5- 0
Pittsburgh,11,98,24-7,22 11-0,,2,13- 7,5-5,6- 4,7- 5,6- 1,5- 1,6- 0,13- 6,6- 0
North Carolina,12,90,22-7,19 9-2,,3,13- 5,8-2,8- 2,5- 4,9- 2,5- 1,3- 0,14- 6,3- 0
LSU,13,92,22-8,67 7-5,,4,15- 3,8-4,8- 2,5- 6,4- 2,9- 0,4- 0,9- 8,4- 0
 Illinois,14,107,25-6,17 14-0,,1,11- 6,5-4,6- 4,9- 5,4- 0,5- 1,7- 0,13- 5,7- 0
Florida,15,114,27-6,31 14-0,,4,13- 6,6-4,7- 3,6- 3,6- 3,9- 0,6- 0,12- 6,6- 0
Oklahoma,16,106,20-8,10 9-2,,5,11- 6,6-5,6- 4,3- 4,4- 3,10- 1,3- 0,7- 7,3- 0
Syracuse,17,90,23-11,12 12-2,,2,11- 9,3-5,6- 4,7- 9,6- 2,4- 0,6- 0,13- 11,6- 0
Michigan St.,18,88,21-11,20 11-2,,1,10- 9,3-7,4- 6,9- 9,0- 2,7- 0,5- 0,9- 11,5- 0
