SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,Q1,Q2,Q3,Q4
Oklahoma,46,80,6,19-12,9-9,10-3,4-8,26,67,5-9,6-3,4-0,4-0
Xavier,47,77,3,19-13,8-11,11-2,5-6,15,71,3-11,7-2,6-0,3-0
UNI,48,154,115,23-6,14-5,9-1,8-4,117,121,1-1,3-2,10-3,9-0
SaintLouis,49,140,98,22-8,12-6,10-2,7-4,85,128,2-5,2-2,10-1,8-0
MississippiSt.,50,103,58,20-11,11-7,9-4,4-7,67,101,2-7,6-2,7-2,5-0
Cincinnati,51,106,63,20-10,13-5,7-5,5-6,21,32,2-6,7-0,9-4,2-0
NotreDame,52,122,81,20-12,11-10,9-2,4-7,116,292,2-7,2-4,9-1,7-0
NCState,53,110,70,20-12,11-10,9-2,5-7,68,90,4-5,4-5,6-2,6-0
ArizonaSt.,54,91,31,20-11,11-8,9-3,6-5,12,53,5-8,4-3,6-0,5-0
Alabama,55,90,30,16-15,8-10,8-5,4-8,32,49,2-7,6-5,5-3,3-0
Indiana,56,89,27,20-12,10-11,10-1,2-8,64,66,4-10,5-2,4-0,7-0
RhodeIsland,57,126,84,21-9,13-5,8-4,8-5,53,40,1-6,7-2,6-1,7-0
Washington,58,97,46,15-17,5-14,10-3,3-7,17,24,3-8,2-6,5-3,5-0
Memphis,59,125,83,21-10,10-8,11-2,5-6,55,122,2-5,6-2,6-3,7-0
UConn,60,123,82,19-12,10-8,9-4,3-7,80,171,2-5,3-5,7-1,7-1
Syracuse,61,105,60,18-14,11-10,7-4,6-5,79,170,3-5,4-7,5-2,6-0
StJohn's(NY),62,98,49,17-15,6-13,11-2,1-8,46,202,4-11,3-3,2-1,8-0
Tennessee,63,94,39,17-14,9-9,8-5,4-7,6,16,3-11,5-2,5-1,4-0
OklahomaSt.,64,82,12,18-14,8-11,10-3,5-7,45,105,3-9,7-5,5-0,3-0
Georgetown,65,81,8,15-17,5-14,10-3,4-8,10,80,4-12,4-4,2-1,5-0
SouthCarolina,66,111,71,18-13,10-8,8-5,6-6,74,103,3-9,6-1,4-2,5-1
Liberty,67,254,340,28-4,16-3,12-1,7-4,325,230,0-1,1-0,3-1,24-2
VCU,68,129,87,18-13,8-10,10-3,4-7,56,156,1-8,2-3,7-1,8-1
Yale,69,186,179,21-7,11-3,10-4,11-6,203,187,0-2,2-3,7-2,12-0
Texas,70,91,31,19-12,9-9,10-3,6-5,43,125,5-8,2-4,6-0,6-0
OregonSt.,71,116,76,18-13,8-11,10-2,3-8,105,327,4-6,2-5,3-2,9-0
GeorgiaTech,72,89,27,16-14,11-9,5-5,6-7,30,81,2-7,5-6,6-1,3-0
Akron,73,169,140,22-7,14-4,8-3,8-4,92,29,0-2,0-2,14-3,8-0
Furman,74,181,164,22-7,15-4,7-3,10-5,153,159,0-3,2-1,10-3,10-0
Davidson,75,136,94,16-14,10-8,6-6,4-9,109,202,0-6,6-2,2-6,8-0
UCLA,76,99,54,18-12,12-6,6-6,5-5,51,196,6-6,3-4,4-1,5-1
SFA,77,254,340,25-3,19-1,6-2,12-2,308,167,1-2,0-0,3-0,21-1
Tulsa,78,138,96,21-10,13-5,8-5,6-7,144,332,2-4,4-4,8-1,7-1
Vermont,79,216,244,25-7,16-2,9-5,12-3,197,77,1-3,1-0,7-2,16-2
NorthCarolina,80,81,8,14-19,7-15,7-4,3-9,13,17,3-9,6-6,2-4,3-0
Clemson,81,98,49,16-15,10-11,6-4,3-8,63,208,3-7,5-6,4-2,4-0
UNCGreensboro,82,181,164,21-9,13-6,8-3,9-4,124,75,2-2,1-3,7-3,11-1
SanFrancisco,83,141,99,21-12,11-8,10-4,7-6,59,172,1-6,2-2,9-3,9-1
Missouri,84,105,60,15-16,7-11,8-5,2-10,93,193,3-10,3-4,5-1,4-1
Utah,85,95,41,16-15,7-12,9-3,1-10,44,158,3-9,6-2,3-4,4-0
DePaul,86,91,31,15-16,4-15,11-1,4-9,73,301,6-12,1-3,1-1,7-0
LouisianaTech,87,196,203,20-8,13-5,7-3,7-7,198,260,1-2,1-2,2-4,16-0
SMU,88,144,103,19-11,9-9,10-2,4-9,136,297,2-2,3-7,5-2,9-0
Nevada,89,144,103,19-12,12-7,7-5,4-7,119,68,0-6,1-3,10-1,8-2
BoiseSt.,90,143,101,19-12,12-8,7-4,5-8,96,135,1-5,3-4,6-3,9-0
Georgia,91,92,34,15-16,6-13,9-3,2-9,19,35,2-11,4-4,5-1,4-0
VirginiaTech,92,118,77,16-16,7-14,9-2,3-7,102,279,2-9,3-4,4-3,7-0
TCU,93,89,27,15-16,7-12,8-4,1-9,52,149,3-9,2-7,4-0,6-0
Duquesne,94,159,130,21-9,11-7,10-2,6-3,112,271,2-3,3-2,5-2,11-2
NorthTexas,95,158,126,18-11,14-4,4-7,7-6,101,33,0-4,2-3,5-3,11-1
IowaSt.,96,87,21,12-20,5-14,7-6,0-11,35,136,1-15,4-4,2-0,5-1
OleMiss,97,109,68,15-17,6-13,9-4,1-10,90,249,2-11,3-6,2-0,8-0
LoyolaChicago,98,157,123,20-11,13-6,7-5,5-6,166,305,0-2,3-3,9-5,8-1
KansasSt.,99,88,25,11-21,4-15,7-6,1-10,28,88,1-13,3-5,3-3,4-0
NorthernColo.,100,205,226,20-9,15-5,5-4,9-5,211,206,0-3,0-1,8-2,12-3
Belmont,101,244,323,25-7,17-3,8-4,11-5,292,324,0-1,1-3,3-2,21-1
Bradley,102,161,133,22-11,14-7,8-4,4-8,160,306,0-2,2-3,11-6,9-0
Miami(FL),103,93,36,15-16,7-14,8-2,4-8,38,173,1-10,4-6,6-0,4-0
NewMexicoSt.,104,221,255,23-6,16-0,7-6,9-4,298,221,1-1,0-1,4-4,18-0
IndianaSt.,105,145,106,17-12,11-8,6-4,4-8,88,28,0-3,3-3,6-6,8-0
ColoradoSt.,106,150,110,19-12,11-8,8-4,5-6,122,65,0-5,2-4,8-1,9-2
Harvard,107,184,174,20-8,10-4,10-4,9-4,214,201,1-2,2-1,8-4,9-1
UNLV,108,134,92,17-15,12-7,5-8,5-7,70,70,1-4,1-4,5-7,10-0
Pittsburgh,109,105,60,16-17,7-15,9-2,2-9,89,261,2-9,3-5,6-2,5-1
Pacific,110,179,161,21-10,11-6,10-4,7-5,180,308,0-3,4-2,4-5,13-0
WakeForest,111,101,56,13-18,6-15,7-3,2-11,75,179,2-8,3-6,4-4,4-0
BallSt.,112,183,172,17-13,11-7,6-6,5-7,230,340,1-1,1-1,7-9,8-2
TexasA&M,113,108,67,16-14,10-8,6-6,5-4,81,176,3-7,4-4,4-2,5-1
UCIrvine,114,204,222,19-11,13-3,6-8,8-8,236,154,0-1,1-3,7-3,11-4
WashingtonSt.,115,127,85,16-16,7-12,9-4,2-9,120,333,3-6,3-4,3-5,7-1
Temple,116,112,72,14-17,6-12,8-5,4-8,49,79,1-7,4-3,4-6,5-1
KentSt.,117,175,152,18-12,10-9,8-3,5-8,108,143,0-3,2-0,7-8,9-1
Hofstra,118,209,229,25-8,17-4,8-4,11-4,243,328,0-0,2-1,9-4,14-3
MissouriSt.,119,152,113,16-17,10-10,6-7,3-10,131,254,0-4,1-3,6-10,9-0
TexasSt.,120,177,156,19-11,14-7,5-4,6-8,138,61,0-2,2-1,6-6,11-2
Colgate,121,226,271,24-9,16-5,8-4,9-7,259,276,1-2,0-1,5-3,18-3
StBonaventure,122,156,120,18-12,11-7,7-5,7-7,115,150,1-3,2-2,6-6,9-1
WesternKy.,123,169,140,19-10,13-5,6-5,6-6,103,43,0-2,1-2,8-5,10-1
UCF,124,130,89,16-14,7-11,9-3,4-7,84,174,1-4,0-6,9-3,6-1
SouthFla.,125,121,79,14-17,7-11,7-6,3-6,69,188,1-6,4-5,4-5,5-1
SouthDakotaSt.,126,228,277,20-10,13-4,7-6,6-9,329,338,0-3,0-2,3-4,17-1
WrightSt.,127,233,296,23-7,15-4,8-3,9-3,311,307,0-0,0-0,6-6,17-1
Northeastern,128,201,212,17-16,11-10,6-6,7-7,215,312,0-0,0-3,7-8,10-5
UTArlington,129,154,115,12-18,10-11,2-7,6-9,87,3,0-3,1-3,5-7,6-5
NorthDakotaSt.,130,221,255,23-8,16-3,7-5,8-6,307,293,0-1,1-3,6-2,16-2
