SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,Q1,Q2,Q3,Q4
UTEP,195,183,172,14-15,8-11,6-4,3-9,173,11,0-1,0-3,6-9,8-2
IllinoisSt.,196,145,106,9-21,5-14,4-7,1-11,83,58,0-1,1-6,4-12,4-2
American,197,226,271,16-14,12-7,4-7,6-10,253,258,0-1,0-1,2-7,14-5
CentralMich.,198,165,136,11-18,7-12,4-6,2-14,178,284,0-3,0-4,4-10,7-1
Nebraska,199,86,18,7-25,2-19,5-6,0-12,60,137,0-16,2-3,3-2,2-4
CaliforniaBaptist,200,236,306,17-10,10-6,7-4,6-5,317,252,0-1,1-1,1-3,15-5
PrairieView,201,247,331,17-13,15-4,2-9,6-12,345,151,0-4,0-2,1-3,16-4
ArkansasSt.,202,181,164,14-16,8-13,6-3,6-9,233,195,0-0,2-4,3-9,9-3
RobertMorris,203,236,306,19-14,16-5,3-9,7-11,300,309,0-2,0-1,2-6,17-5
UTSA,204,175,152,10-19,7-12,3-7,3-9,154,104,0-2,1-2,3-9,6-6
UAB,205,198,208,17-13,10-9,7-4,5-7,286,270,0-2,1-1,4-7,12-3
Miami(OH),206,165,136,11-19,6-13,5-6,2-11,91,114,0-2,0-3,5-12,6-2
LMU(CA),207,138,96,10-21,5-13,5-8,2-9,77,148,0-6,0-7,1-6,9-2
EastCarolina,208,157,123,11-20,5-13,6-7,1-11,147,331,0-4,0-8,4-3,7-5
Monmouth,209,226,271,18-13,12-8,6-5,6-10,238,219,0-1,0-3,2-4,16-5
UCRiverside,210,230,288,14-15,7-9,7-6,6-10,347,348,0-0,0-3,4-6,10-6
Dartmouth,211,201,212,11-17,5-9,6-8,5-10,216,250,0-1,0-4,2-8,9-4
Gardner-Webb,212,228,277,14-16,12-8,2-8,6-10,255,190,0-2,1-3,2-4,11-7
SaintPeter's,213,233,296,18-12,15-6,3-6,6-9,266,303,0-3,0-0,3-2,15-7
Rice,214,190,190,13-17,7-12,6-5,5-8,206,124,0-2,0-4,4-3,9-8
Hawaii,215,203,216,16-13,8-8,8-5,3-7,271,182,0-2,0-3,4-3,12-5
