Year,Round,Region Number,Region Name,Seed1,Score1,Team1,Team2,Score2,Seed2
2020,4,1,Final Four,1,0,Dayton,Kansas,0,1,1
2020,4,2,Final Four,1,0,Gonzaga,Michigan St,0,3,0
