SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
Ohio,86,154,120,22-12,100,10-4,12-8,5-6,100,146,148,265,0-3,2-4,13-3,2-7
Stanford,87,85,5,14-15,117,6-4,8-11,2-8,16,71,8,37,4-12,1-2,4-1,5-14
GrandCanyon,88,215,285,25-7,57,14-4,11-3,7-5,236,139,290,320,1-2,1-0,6-4,2-2
KansasSt.,89,101,27,17-16,32,11-2,6-14,2-9,30,149,15,141,2-15,2-0,7-1,4-15
Houston,90,162,136,22-10,128,10-3,12-7,6-5,153,301,105,283,2-2,4-5,4-1,6-7
Buffalo,91,139,92,19-15,133,6-7,13-8,5-9,67,67,104,75,1-8,1-2,10-4,2-10
Evansville,92,183,181,24-9,62,10-2,14-7,8-4,191,229,162,294,0-3,3-3,6-3,3-6
A&M-CorpusChristi,93,216,288,23-8,76,7-4,16-4,10-6,246,209,296,106,0-3,0-3,8-2,0-6
Creighton,94,129,76,20-15,126,11-5,9-10,4-9,85,258,60,162,2-9,2-2,7-3,4-11
LSU,95,120,61,19-14,209,7-6,12-8,3-8,81,218,61,170,3-5,4-3,6-6,7-8
Nevada,96,156,123,22-14,71,11-5,11-9,5-10,114,154,127,253,0-4,3-3,10-6,3-7
Belmont,97,180,173,19-12,84,7-7,12-5,8-10,166,110,183,87,1-1,1-5,6-4,2-6
OleMiss,98,145,101,20-12,108,10-3,10-9,7-7,176,310,64,184,0-5,3-5,10-1,3-10
UCSantaBarbara,99,158,128,18-14,81,6-8,12-6,10-6,103,18,153,62,0-4,3-7,2-3,3-11
MoreheadSt.,100,170,151,21-14,86,9-8,12-6,8-11,146,100,170,48,0-1,3-6,9-4,3-7
BoiseSt.,101,152,116,18-12,90,7-4,11-8,5-7,129,131,94,81,2-4,4-0,6-6,6-4
Columbia,102,191,220,23-10,111,13-6,10-4,7-6,170,176,215,290,0-5,1-2,7-2,1-7
Georgetown,103,105,33,15-18,130,7-6,8-12,4-8,26,69,39,57,3-11,2-4,1-3,5-15
La.-Monroe,104,181,175,18-14,236,2-8,16-6,6-11,126,125,216,204,1-3,1-1,5-6,2-4
Oakland,105,185,188,23-12,77,10-6,13-6,11-5,177,145,191,180,0-4,2-1,10-5,2-5
JamesMadison,106,152,116,20-11,110,9-3,11-8,9-3,144,242,101,101,0-1,3-4,8-5,3-5
UTArlington,107,203,254,23-11,70,9-3,14-8,10-8,238,267,205,254,0-3,1-0,5-6,1-3
Albany(NY),108,220,298,23-9,97,10-5,13-4,10-8,292,264,272,286,1-1,1-2,4-3,2-3
ArizonaSt.,109,94,15,15-17,25,10-3,5-14,3-9,33,23,34,120,2-9,6-4,3-3,8-13
UCLA,110,93,14,15-17,64,9-4,6-13,3-7,31,50,16,31,5-8,1-7,5-1,6-15
Marquette,111,135,87,20-13,158,11-2,9-11,6-5,131,332,49,199,3-8,3-3,3-1,6-11
NewMexicoSt.,112,200,243,21-11,185,7-9,14-2,7-8,190,136,238,163,0-3,1-3,4-4,1-6
WeberSt.,113,225,313,23-9,143,5-6,18-3,7-6,273,111,276,129,1-2,0-1,4-3,1-3
Northeastern,114,144,98,17-15,95,7-5,10-10,8-7,98,143,115,108,1-1,2-6,8-7,3-7
GreenBay,115,179,167,21-13,137,6-6,15-7,8-9,189,219,165,43,2-4,1-3,6-5,3-7
OldDominion,116,187,197,25-13,104,10-6,15-7,7-6,182,159,174,137,0-3,2-4,8-4,2-7
Northwestern,117,150,112,20-12,93,12-1,8-11,5-6,163,328,76,213,1-7,1-4,6-1,2-11
IllinoisSt.,118,154,120,17-14,138,5-7,12-7,5-8,99,16,129,72,1-6,3-3,4-4,4-9
NorthCarolinaSt.,119,101,27,16-17,94,10-3,6-14,3-8,55,184,18,83,1-9,2-6,8-2,3-15
EasternMich.,120,143,95,14-15,99,4-5,10-10,4-11,65,34,134,203,0-4,1-2,11-7,1-6
PennSt.,121,122,66,16-16,123,9-4,7-12,4-9,92,278,54,60,2-8,0-4,7-4,2-12
RhodeIsland,122,136,89,17-15,120,8-5,9-10,3-9,95,135,84,122,1-9,2-1,5-5,3-10
Siena,123,185,188,21-13,80,7-5,14-8,7-9,168,87,189,114,1-2,2-5,4-2,3-7
CSUBakersfield,124,223,305,21-9,157,7-6,14-3,7-7,300,227,248,225,0-2,1-2,3-5,1-4
Richmond,125,127,73,16-16,101,8-4,8-12,5-7,75,163,79,66,2-10,1-2,7-2,3-12
Vermont,126,191,220,22-14,113,9-8,13-6,9-10,188,181,213,93,0-4,2-4,6-4,2-8
Clemson,127,127,73,17-14,264,7-5,10-9,3-8,121,334,38,245,4-4,3-7,2-2,7-11
KentSt.,128,164,142,18-13,109,8-4,10-9,6-8,149,233,128,252,1-2,1-4,6-6,2-6
LouisianaTech,129,214,281,21-10,65,9-3,12-7,7-7,253,164,271,327,0-0,3-2,5-4,3-2
Marshall,130,165,144,17-16,199,4-9,13-7,5-9,87,37,185,116,0-3,1-7,5-4,1-10
Winthrop,131,219,295,20-9,119,5-3,15-6,7-7,290,289,269,195,0-0,0-2,6-5,0-2
UNCAsheville,132,195,230,20-12,136,5-6,15-6,6-7,195,105,208,18,0-2,1-1,5-9,1-3
NorthDakotaSt.,133,181,175,18-13,142,8-4,10-9,4-11,194,315,188,322,1-3,2-1,6-8,3-4
Arkansas,134,118,57,16-16,171,7-6,9-10,3-8,76,102,65,135,2-6,4-6,6-4,6-12
Pepperdine,135,175,161,17-14,140,6-5,11-9,6-8,143,195,156,202,2-3,2-2,4-2,4-5
SouthernIll.,136,197,237,22-10,129,11-2,11-8,9-4,269,325,160,306,0-2,1-4,7-1,1-6
NewMexico,137,146,104,17-15,167,7-6,10-9,5-7,109,157,99,95,0-3,4-4,8-5,4-7
ColofCharleston,138,153,119,16-14,82,7-3,9-11,6-8,132,174,123,220,0-1,2-7,6-4,2-8
TennesseeTech,139,189,209,17-12,159,6-6,11-6,5-9,193,165,225,218,0-1,2-4,4-5,2-5
Memphis,140,149,110,19-15,170,9-4,10-11,2-8,113,212,103,288,0-6,5-5,3-1,5-11
WrightSt.,141,190,214,20-13,252,4-7,16-6,5-9,242,257,179,94,2-2,0-0,8-8,2-2
Tennessee,142,112,46,15-19,125,7-6,8-13,1-11,56,64,63,109,2-4,4-9,6-5,6-13
NorthernIll.,143,168,149,17-13,172,7-3,10-10,3-10,184,338,125,239,1-1,1-5,8-5,2-6
CoastalCaro.,144,196,235,18-12,115,6-5,12-7,7-6,169,66,281,236,0-0,1-3,9-4,1-3
La.-Lafayette,145,180,173,17-15,165,4-6,13-9,5-11,141,84,209,208,0-4,1-2,4-6,1-6
UNLV,146,143,95,16-15,112,7-4,9-11,2-10,117,191,92,50,2-4,1-4,6-6,3-8
UtahSt.,147,148,108,14-15,78,6-3,8-12,5-8,104,101,117,257,0-4,0-6,6-5,0-10
Montana,147,217,292,18-12,206,2-7,16-5,7-9,249,44,277,47,0-2,0-2,2-5,0-4
Omaha,149,174,158,16-14,194,6-7,10-7,7-9,183,280,162,215,1-2,1-3,9-6,2-5
Fairfield,150,194,226,19-14,132,6-5,13-9,7-7,161,86,243,293,0-2,1-4,3-4,1-6
Illinois,151,120,61,15-19,135,8-5,7-14,2-8,74,121,58,124,3-11,1-4,3-4,4-15
HighPoint,152,206,261,18-11,173,4-5,14-6,8-7,284,246,214,26,0-1,0-3,6-4,0-4
MississippiSt.,153,129,76,14-17,182,7-5,7-12,2-9,84,213,89,305,0-6,4-7,3-3,4-13
WakeForest,154,96,18,11-20,67,9-3,2-17,3-9,47,144,10,38,1-10,1-6,5-4,2-16
OralRoberts,155,147,107,12-17,72,6-6,6-11,4-12,94,65,155,169,0-4,1-4,6-8,1-8
Towson,156,175,161,18-13,247,7-5,11-8,7-6,248,350,124,267,0-0,3-4,4-7,3-4
WesternKy.,157,177,164,16-16,134,6-5,10-11,3-9,111,114,203,191,0-2,4-3,4-6,4-5
Hampton,158,236,330,20-11,160,4-8,16-3,8-7,310,78,321,104,0-4,0-2,1-1,0-6
BallSt.,159,183,181,20-14,174,10-5,10-9,6-8,217,305,171,342,1-1,0-3,9-8,1-4
TennesseeSt.,160,206,261,18-11,196,7-5,11-6,7-7,298,313,231,268,0-0,2-4,3-5,2-4
Duquesne,161,146,104,16-17,116,10-4,6-13,4-8,127,265,95,284,2-6,0-5,4-5,2-11
Elon,162,151,114,14-16,88,7-4,7-12,8-7,137,150,114,183,0-2,0-8,4-5,0-10
NewHampshire,163,217,292,18-13,190,6-7,12-6,9-10,283,287,270,271,0-2,0-2,2-6,0-4
Nebraska,164,140,93,16-18,208,8-5,8-13,3-8,112,291,77,229,2-10,0-4,4-3,2-14
Lehigh,165,197,237,16-15,263,1-9,15-6,7-9,160,25,255,117,0-4,0-1,2-3,0-5
IncarnateWord,166,229,318,14-11,154,2-5,12-6,7-9,275,140,308,40,0-3,1-3,0-1,1-6
NorthFlorida,167,216,288,19-12,146,8-7,11-5,7-9,312,249,207,89,0-4,0-1,6-3,0-5
Wagner,168,239,334,22-11,114,7-5,15-6,10-7,325,256,316,167,1-1,0-2,1-0,1-3
CentralMich.,169,162,136,14-16,255,4-7,10-9,4-8,108,138,184,337,1-1,1-4,7-7,2-5
IndianaSt.,170,158,128,14-17,161,5-6,9-11,2-11,120,117,132,111,0-3,3-5,4-5,3-8
MurraySt.,171,189,209,15-14,155,4-7,11-7,4-8,165,9,268,278,0-0,2-5,3-7,2-5
ColoradoSt.,171,161,134,16-16,200,6-5,10-11,3-9,164,251,111,197,0-3,2-5,5-6,2-8
Milwaukee,173,194,226,18-13,150,7-4,11-9,7-6,287,297,166,70,1-3,0-0,5-9,1-3
Massachusetts,174,145,101,14-18,193,7-5,7-13,3-9,101,235,106,328,1-8,0-3,6-5,1-11
WesternCaro.,175,168,149,13-18,216,2-9,11-9,3-15,116,24,211,133,0-0,1-9,4-5,1-9
Furman,176,190,214,17-16,207,5-8,12-8,3-12,186,158,233,262,0-2,2-4,3-4,2-6
GeorgiaSt.,177,185,188,14-14,23,5-2,9-12,4-10,171,32,239,292,0-2,1-2,5-4,1-4
Bucknell,178,200,243,16-14,245,2-9,14-5,9-7,208,130,249,173,0-1,0-1,3-7,0-2
Auburn,179,113,48,11-20,121,6-6,5-14,2-11,57,49,75,193,1-4,3-10,5-5,4-14
OklahomaSt.,180,105,33,12-20,180,9-4,3-16,1-9,86,303,12,153,1-14,3-3,3-1,4-17
TCU,181,107,38,12-21,184,9-4,3-17,1-10,63,294,23,246,2-16,0-3,3-2,2-19
TexasSouthern,182,227,317,18-15,297,1-12,17-3,7-13,308,161,314,52,0-3,0-3,1-6,0-6
NJIT,183,209,270,19-15,102,11-8,8-7,8-9,239,113,278,263,0-3,0-1,4-7,0-4
Toledo,184,177,164,16-15,175,8-4,8-11,6-8,227,311,143,325,1-0,1-3,5-10,2-3
BostonU.,185,211,272,18-15,162,7-7,11-8,10-9,274,244,251,237,0-1,0-0,4-8,0-1
Wyoming,186,146,104,12-18,163,5-6,7-12,4-8,97,58,131,291,0-3,0-5,9-7,0-8
Harvard,187,172,153,12-16,169,6-8,6-8,4-10,150,166,144,76,1-6,1-0,2-5,2-6
Fordham,188,166,147,16-14,223,8-3,8-11,3-7,202,344,102,344,0-6,1-0,4-6,1-6
AustinPeay,189,187,197,16-18,177,5-9,11-9,7-9,178,104,245,198,0-2,1-7,3-4,1-9
Radford,190,192,223,14-15,98,5-5,9-10,7-7,180,62,260,131,0-1,1-2,4-8,1-3
IUPUI,191,157,125,12-19,276,3-11,9-8,4-15,147,248,133,97,1-2,2-2,6-12,3-4
SamHoustonSt.,192,219,295,15-15,205,2-8,13-7,6-9,196,36,337,276,0-3,0-6,1-1,0-9
Mercer,193,198,239,17-15,107,8-4,9-11,4-11,296,302,180,105,0-0,0-7,2-5,0-7
Denver,194,184,184,16-15,219,8-5,8-10,6-6,214,316,204,339,0-3,0-2,8-6,0-5
Miami(OH),195,143,95,12-20,215,5-7,7-13,3-11,88,124,137,224,1-3,1-5,5-9,2-8
FGCU,196,207,265,17-14,192,6-8,11-6,4-8,255,123,236,96,0-4,0-1,4-4,0-5
SouthernU.,197,246,342,19-13,164,5-6,14-7,6-10,333,220,344,270,0-0,0-1,4-5,0-1
Detroit,198,179,167,14-15,187,4-5,10-10,4-10,226,193,172,39,0-2,0-2,4-10,0-4
Idaho,199,235,327,19-13,191,6-6,13-7,8-7,324,255,303,285,0-1,0-1,3-3,0-2
SouthDakota,200,166,147,12-18,147,7-6,5-12,5-10,154,225,187,296,0-2,0-4,6-11,0-6
DePaul,201,111,45,9-22,197,6-6,3-16,3-10,69,250,46,144,2-8,0-7,1-6,2-15
Wofford,202,184,184,13-17,259,2-9,11-8,4-14,207,183,181,85,0-1,1-5,3-9,1-6
GeorgeMason,203,135,87,11-21,189,6-7,5-14,2-11,91,129,91,260,1-7,2-2,5-7,3-9
UTMartin,204,214,281,18-15,213,7-8,11-7,8-10,332,322,202,207,0-1,1-2,7-6,1-3
SouthCarolinaSt.,205,236,330,17-15,221,3-10,14-5,6-12,321,151,328,166,0-2,0-3,2-4,0-5
BowlingGreen,206,172,153,14-18,212,7-4,7-14,7-8,204,347,138,331,0-3,2-3,5-10,2-6
SaintLouis,207,134,84,11-21,238,5-7,6-14,3-8,83,156,97,304,1-10,1-2,3-6,2-12
Gardner-Webb,208,207,265,14-16,225,2-7,12-9,6-11,254,177,261,130,0-2,0-2,5-7,0-4
WesternMich.,209,150,112,11-19,211,4-7,7-12,2-12,105,127,145,231,0-1,1-5,6-11,1-6
FairleighDickinson,210,234,325,17-15,248,3-8,14-7,9-8,281,189,333,199,0-2,0-1,3-3,0-3
JacksonSt.,211,240,336,18-16,176,4-9,14-7,7-13,323,120,339,211,0-2,0-2,2-8,0-4
ArmyWestPoint,212,224,307,18-14,141,8-4,10-10,11-6,317,306,280,310,0-1,1-0,2-6,1-1
SaintPeter's,213,201,247,14-16,327,2-7,12-9,5-10,228,268,227,261,0-3,0-4,3-2,0-7
Navy,214,221,301,18-14,166,8-4,10-10,11-4,319,295,254,255,0-2,1-0,3-6,1-2
UTEP,215,216,288,18-14,204,7-5,11-9,2-9,294,236,266,332,0-0,0-2,6-6,0-2
EasternKy.,216,190,214,14-16,144,8-6,6-10,5-10,223,222,228,241,0-2,1-5,3-6,1-7
WashingtonSt.,217,102,29,8-22,131,7-4,1-18,0-10,42,112,47,277,0-12,0-6,3-4,0-18
NorfolkSt.,218,224,307,15-17,232,2-12,13-5,7-10,278,90,313,123,0-1,0-6,1-4,0-7
UCF,219,156,123,12-18,226,6-5,6-13,4-9,173,309,96,230,0-4,0-9,1-4,0-13
EastCarolina,220,152,116,12-20,145,8-5,4-15,3-10,138,206,110,299,0-6,2-6,1-3,2-12
NorthDakota,221,211,272,14-16,270,2-7,12-9,4-9,231,208,302,78,0-1,0-3,1-8,0-4
AirForce,222,164,142,12-18,122,7-4,5-14,2-13,167,205,130,307,0-2,0-5,7-9,0-7
LoyolaMarymount,223,187,197,13-17,186,6-4,7-13,5-10,244,330,164,274,0-6,0-3,1-3,0-9
Missouri,224,120,61,10-21,201,7-6,3-15,0-11,79,190,82,188,0-6,1-9,4-6,1-15
Canisius,225,189,209,14-19,179,5-6,9-13,4-11,220,173,194,158,0-1,1-6,3-6,1-7
SanFrancisco,226,194,226,14-15,261,6-4,8-11,5-7,260,342,186,338,0-4,0-4,1-3,0-8
American,227,202,251,12-19,253,2-9,10-10,7-12,200,133,292,313,0-1,0-2,3-9,0-3
EasternWash.,228,230,320,16-16,181,5-7,11-9,5-12,330,245,265,146,0-0,0-3,3-7,0-3
Manhattan,229,199,242,13-18,224,3-6,10-12,4-12,218,155,240,282,0-1,1-3,2-7,1-4
SouthFla.,230,134,84,8-25,267,3-10,5-15,3-9,59,59,112,243,0-6,1-9,2-4,1-15
Charlotte,231,187,197,14-19,272,4-9,10-10,5-8,230,259,154,73,0-2,0-6,3-7,0-8
Tulane,232,160,132,12-22,233,7-6,5-16,2-10,142,296,121,318,0-5,2-7,1-5,2-12
UNCG,233,186,193,12-19,308,2-10,10-9,3-14,185,167,230,239,0-1,1-5,3-8,1-6
HoustonBaptist,234,213,277,13-17,304,2-8,11-9,4-11,250,226,307,127,0-1,0-6,1-7,0-7
MissouriSt.,235,165,144,12-19,303,3-8,9-11,4-8,199,293,119,33,0-3,1-6,5-7,1-9
HolyCross,236,211,272,15-20,202,6-7,9-13,6-13,262,230,262,264,0-2,0-0,5-8,0-2
LoyolaChicago,237,181,175,14-17,258,6-5,8-12,4-7,263,323,135,227,0-4,3-2,3-7,3-6
LaSalle,238,125,72,8-22,268,3-7,5-15,0-12,70,141,78,91,2-7,0-4,2-9,2-11
Colgate,239,208,268,12-17,243,3-7,9-10,5-13,279,286,247,154,0-1,0-1,4-6,0-2
SouthAla.,240,187,197,12-19,239,3-6,9-13,4-11,222,263,197,201,0-2,0-3,4-8,0-5
TexasSt.,241,206,261,13-16,234,4-3,9-13,4-11,289,351,242,350,0-2,0-1,2-8,0-3
Cornell,242,179,167,9-18,178,6-7,3-11,5-10,172,202,190,234,0-5,0-3,2-4,0-8
CalPoly,243,158,128,8-20,149,4-7,4-13,3-12,135,75,167,136,0-2,2-11,1-2,2-13
GaSouthern,244,196,235,12-17,301,2-6,10-11,4-11,251,299,221,295,0-3,0-1,3-7,0-4
StJohn's(NY),245,113,48,7-24,218,6-6,1-18,0-10,43,170,74,248,1-9,0-6,1-8,1-15
Rider,246,195,230,13-20,231,4-7,9-13,4-12,243,277,193,151,0-3,1-4,0-6,1-7
MtStMary's,247,223,305,14-19,281,3-10,11-9,5-15,288,198,306,121,0-2,0-2,1-6,0-4
BostonCollege,248,110,41,7-25,228,7-6,0-19,0-10,60,262,51,266,0-12,0-6,3-5,0-18
SantaClara,249,173,157,10-20,306,3-8,7-12,3-9,159,252,158,247,0-5,0-6,1-3,0-11
Portland,250,182,179,11-20,259,5-7,6-13,3-9,157,224,200,348,0-6,1-1,2-4,1-7
Drexel,251,132,79,6-24,244,2-8,4-16,2-11,76,82,122,187,0-1,1-9,2-12,1-10
Alcorn,252,248,345,13-15,332,0-9,13-6,6-9,328,93,350,345,0-1,0-1,1-6,0-2
Samford,253,201,247,12-19,156,7-4,5-15,5-11,297,312,220,238,0-2,0-5,3-6,0-7
