SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
Kansas,1,82,3,32-5,5,14-2,18-3,7-3,4,13,1,11,17-4,5-0,7-1,22-4
Villanova,2,90,13,35-5,1,17-2,18-3,10-2,2,1,13,2,12-5,8-0,7-0,20-5
Virginia,3,81,1,29-8,3,14-1,15-7,5-6,1,20,5,10,11-5,7-3,7-0,18-8
Oregon,4,86,6,30-7,9,13-3,17-4,6-5,5,8,26,63,12-4,9-1,3-2,21-5
NorthCarolina,5,87,8,33-7,7,14-3,19-4,6-5,12,26,3,9,11-6,8-1,8-0,19-7
Oklahoma,6,88,9,29-8,2,16-1,13-7,7-5,6,11,7,29,13-7,4-1,9-0,17-8
Miami(FL),7,88,9,27-8,13,13-2,14-6,6-5,13,54,4,13,10-4,8-1,5-3,18-5
Xavier,8,107,38,28-6,10,13-1,15-5,8-3,34,106,24,7,5-4,7-1,10-1,12-5
Utah,9,88,9,26-9,15,11-3,15-6,5-5,9,15,19,71,9-8,9-1,2-0,18-9
Kentucky,10,99,24,27-9,18,11-4,16-5,4-7,25,7,37,24,5-3,10-3,9-3,15-6
WestVirginia,11,97,20,26-9,34,11-3,15-6,7-4,20,108,6,67,9-8,3-1,9-0,12-9
MichiganSt.,12,117,56,29-6,16,13-1,16-5,7-3,54,147,43,44,9-4,4-1,8-1,13-5
Maryland,13,110,41,26-9,8,13-2,13-7,4-6,19,33,56,61,6-7,4-1,10-0,10-8
SMU,14,138,91,25-5,4,12-0,13-5,7-4,78,72,90,131,4-1,5-4,7-0,9-5
Duke,15,81,1,25-11,6,13-3,12-8,5-4,3,2,11,15,7-9,6-1,9-1,13-10
Louisville,16,114,50,23-8,40,11-2,12-6,4-7,38,182,42,233,3-7,7-0,5-1,10-7
Purdue,17,114,50,26-9,26,12-2,14-7,5-5,28,85,70,189,5-6,5-2,11-1,10-8
TexasA&M,18,109,40,28-9,17,13-3,15-6,5-5,50,35,44,21,7-3,8-4,8-2,15-7
Indiana,19,122,66,27-8,46,12-4,15-4,6-4,62,89,55,56,7-4,6-1,6-3,13-5
IowaSt.,20,86,6,23-12,14,13-3,10-9,4-7,8,27,9,41,7-11,7-1,6-0,14-12
SaintJoseph's,21,122,66,28-8,21,12-3,16-5,10-1,39,45,69,23,6-6,4-1,10-1,10-7
California,22,96,18,23-11,63,10-4,13-7,4-7,21,74,27,118,7-8,5-2,6-1,12-10
SetonHall,23,116,54,25-9,74,10-3,15-6,7-4,35,203,41,86,6-5,4-4,5-0,10-9
NotreDame,24,97,20,24-12,24,12-3,12-9,5-5,15,38,28,126,6-7,5-5,6-0,11-12
Dayton,25,120,61,25-8,27,10-3,15-5,8-2,53,21,67,30,4-5,5-1,11-1,9-6
Iowa,26,110,41,22-11,48,10-4,12-7,6-5,27,81,52,49,5-8,4-1,6-2,9-9
Baylor,27,97,20,21-12,37,10-3,11-9,6-5,7,55,25,226,5-12,5-0,6-0,10-12
Arizona,28,114,50,25-9,59,12-2,13-7,5-5,96,237,17,55,4-7,7-1,6-1,11-8
StMary's(CA),29,172,153,28-6,22,11-2,17-4,7-4,125,95,142,148,2-3,5-1,3-2,7-4
SanDiegoSt.,30,127,73,26-10,85,8-7,18-3,9-2,43,4,85,14,1-5,7-3,13-1,8-8
Valparaiso,31,165,144,28-7,12,12-4,16-3,12-4,118,19,168,79,2-2,5-1,11-4,7-3
Providence,32,119,60,24-11,30,13-2,11-9,7-4,40,160,45,84,2-8,7-0,7-2,9-8
UConn,33,123,70,25-11,53,11-4,14-7,6-4,36,76,83,36,3-5,6-6,6-0,9-11
Texas,34,82,3,20-13,79,9-5,11-8,5-5,11,46,2,20,7-9,6-3,4-1,13-12
GeorgeWashington,35,129,76,28-10,11,16-2,12-8,8-5,89,98,68,32,6-5,3-2,8-1,9-7
Wisconsin,36,100,25,22-13,68,10-6,12-7,6-5,10,17,48,35,7-7,5-0,6-5,12-7
Gonzaga,37,151,114,27-8,54,9-5,18-3,9-2,93,40,98,4,4-6,3-1,4-1,7-7
VCU,38,118,57,25-11,92,9-6,16-5,7-4,51,51,57,22,4-6,5-3,9-1,9-9
SouthDakotaSt.,39,163,141,24-8,42,9-4,15-4,8-7,128,134,139,113,0-2,3-1,16-4,3-3
Syracuse,40,95,16,23-14,20,13-3,10-11,3-8,24,60,21,51,8-7,4-4,5-2,12-11
WichitaSt.,41,144,98,25-9,52,8-6,17-3,9-3,90,14,93,3,2-3,5-5,7-1,7-8
LittleRock,42,190,214,28-5,39,9-2,19-3,12-4,213,221,161,59,2-2,1-0,10-1,3-2
Yale,43,177,164,22-7,69,9-6,13-1,9-6,139,115,157,125,2-4,0-1,8-2,2-5
Akron,44,160,132,25-9,50,10-3,15-6,6-8,130,200,116,160,0-1,6-2,9-6,6-3
Florida,45,103,30,21-15,19,11-5,10-10,6-9,14,5,66,80,2-8,6-6,9-1,8-14
StBonaventure,46,137,90,22-9,105,8-4,14-5,8-5,82,148,86,209,4-3,3-2,7-3,7-5
Princeton,47,184,184,21-7,55,9-5,12-2,9-6,136,94,182,190,1-4,0-2,5-1,1-6
OregonSt.,48,89,12,18-13,43,8-3,10-10,4-8,22,52,14,90,4-9,7-2,2-2,11-11
Colorado,49,106,36,21-12,57,10-3,11-9,4-7,52,137,20,99,4-9,4-2,6-1,8-11
TexasTech,50,95,16,19-13,28,10-3,9-10,3-7,17,28,22,152,6-9,2-2,8-2,8-11
GeorgiaTech,51,97,20,21-15,36,12-4,9-11,5-8,18,63,35,68,3-10,4-4,8-1,7-14
UNCW,52,157,125,23-8,152,6-4,17-4,8-5,133,285,108,147,0-1,4-2,10-4,4-3
Butler,53,118,57,22-11,44,12-2,10-9,5-5,72,210,33,28,4-9,3-1,6-1,7-10
Pittsburgh,54,100,25,20-12,73,10-2,10-10,3-6,29,179,30,181,5-8,5-2,5-2,10-10
Cincinnati,55,134,84,22-11,83,10-4,12-7,6-6,61,132,87,134,5-5,2-5,3-1,7-10
Chattanooga,56,189,209,27-6,35,9-3,18-3,11-4,205,152,178,64,1-2,4-0,8-3,5-2
Hofstra,57,148,108,23-10,96,7-5,16-5,9-5,106,142,109,138,1-1,5-4,7-5,6-5
Michigan,58,116,54,22-13,89,10-4,12-9,4-6,48,171,50,54,4-12,1-1,8-0,5-13
Georgia,59,104,32,20-14,61,8-5,12-9,3-9,23,3,71,88,0-8,7-5,10-1,7-13
Monmouth,60,185,188,28-8,45,9-4,19-4,13-4,174,122,159,27,1-2,2-3,9-0,3-5
SouthernCalifornia,61,106,36,21-13,47,11-3,10-10,3-7,45,88,36,171,5-9,3-3,6-1,8-12
SFA,62,209,270,24-6,139,4-6,20-0,9-4,192,91,275,16,1-2,3-2,5-1,4-4
StonyBrook,63,193,224,24-7,31,7-5,17-2,11-5,175,30,224,45,1-2,1-1,8-4,2-3
FresnoSt.,64,159,131,23-10,151,7-5,16-5,7-7,119,175,107,186,2-4,1-2,12-2,3-6
UCIrvine,65,174,158,26-10,33,12-6,14-4,13-5,148,79,141,115,0-3,3-5,5-2,3-8
UNI,66,149,110,22-13,56,8-6,14-7,6-8,66,31,118,17,5-2,4-2,4-6,9-4
BYU,67,157,125,25-11,41,11-5,14-6,6-6,102,43,126,69,2-6,5-1,5-2,7-7
Temple,68,133,82,21-12,153,6-7,15-5,8-4,80,103,61,6,3-7,4-3,1-1,7-10
Davidson,69,122,66,19-13,60,7-4,12-9,3-10,58,61,73,74,3-8,1-2,9-1,4-10
Tulsa,70,132,79,20-12,106,8-5,12-7,6-6,64,127,88,82,3-4,5-5,2-3,8-9
Vanderbilt,71,105,33,19-14,91,8-6,11-8,3-9,49,53,31,8,4-8,3-3,7-3,7-11
WilliamMary,72,142,94,18-11,29,6-3,12-8,7-7,73,47,120,178,0-2,1-4,13-3,1-6
SouthCarolina,73,132,79,24-9,49,13-1,11-8,5-5,162,276,40,34,2-1,6-5,9-2,8-6
IPFW,74,170,151,22-10,75,9-5,13-5,10-7,156,192,150,165,1-5,0-0,13-4,1-5
FloridaSt.,75,112,46,20-14,51,11-3,9-11,4-8,68,186,32,98,5-8,2-5,5-1,7-13
Hawaii,76,182,179,26-6,87,10-3,16-3,7-2,211,172,140,100,1-3,8-2,2-0,9-5
MiddleTenn.,77,174,158,23-10,66,7-5,16-5,7-5,122,22,177,112,1-3,1-2,9-5,2-5
OhioSt.,78,120,61,21-14,148,9-6,12-8,4-6,32,70,81,174,3-11,1-0,9-3,4-11
Alabama,79,110,41,18-15,38,9-4,9-11,5-8,36,42,59,53,4-6,3-6,6-3,7-12
VirginiaTech,80,115,53,20-15,188,9-6,11-9,4-7,41,199,53,269,3-11,5-2,5-1,8-13
UAB,81,203,254,25-7,127,9-4,16-3,10-4,267,292,169,159,0-0,3-2,6-5,3-2
Washington,82,103,30,19-15,118,9-5,10-10,3-7,46,116,29,110,2-12,4-2,6-1,6-14
ETSU,83,179,167,22-12,103,6-7,16-5,8-8,124,48,217,157,0-1,2-4,9-5,2-5
LongBeachSt.,84,144,98,18-15,124,4-10,14-5,6-10,71,10,112,1,1-5,6-4,2-4,7-9
Iona,85,179,167,22-11,214,3-7,19-4,9-6,145,97,173,19,0-4,2-3,4-3,2-7
