SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Connecticut,18,112,38,24-8,21,11-2,5,13-6,7-4,9-3,6-5,2-1,12-2,4-0,8-6,12-0
CoppinSt.,228,201,253,14-20,238,3-11,30,11-9,4-14,11-1,0-6,0-1,3-5,11-8,0-7,11-8
Cornell,65,213,287,21-5,141,7-5,25,14-0,10-4,12-0,0-1,1-2,5-1,15-1,1-3,18-2
Creighton,47,124,72,20-10,17,9-1,8,11-9,5-7,7-5,1-6,3-1,11-2,5-1,4-7,9-1
Dartmouth,300,219,309,9-18,263,6-7,25,3-11,3-12,2-10,0-0,0-3,2-6,7-9,0-3,9-13
Davidson,35,174,169,25-6,128,2-6,21,23-0,11-3,12-0,0-3,0-1,15-2,10-0,0-4,17-0
Dayton,32,113,42,21-10,4,12-1,7,9-9,6-6,6-6,4-4,5-2,8-4,4-0,9-6,6-2
DePaul,158,101,12,11-19,170,5-7,5,6-12,3-9,2-10,0-13,1-2,5-3,5-1,1-15,8-1
Delaware,181,173,166,14-17,197,4-7,13,10-10,6-11,5-7,0-0,1-5,5-6,8-6,1-5,11-8
DelawareSt.,207,199,247,12-16,262,1-9,30,11-7,6-10,7-5,0-3,0-2,1-6,11-5,0-5,11-5
Denver,271,185,204,10-19,310,3-7,15,7-12,0-16,3-9,0-3,0-0,4-11,6-5,0-3,8-13
Detroit,287,138,93,6-23,236,3-7,11,3-16,1-13,3-9,1-3,0-7,2-8,3-5,1-10,4-8
Drake,10,129,84,26-4,30,8-1,8,18-3,10-3,9-3,7-1,1-1,13-2,5-0,8-2,10-0
Drexel,241,167,150,12-20,119,7-6,13,5-14,3-10,3-9,0-3,0-3,5-10,7-4,0-6,8-12
Duke,6,95,4,27-5,6,13-1,1,14-4,8-2,8-4,7-4,7-1,9-0,4-0,14-5,6-0
Duquesne,131,149,113,17-13,60,10-3,7,7-10,5-8,4-8,2-6,0-2,8-4,7-1,2-8,11-4
EastCarolina,255,147,109,9-18,184,4-6,10,5-12,1-8,4-8,0-2,2-3,2-12,5-1,2-5,5-6
EastTennSt.,146,193,226,18-13,146,11-7,23,7-6,7-8,8-4,0-2,0-5,5-5,13-1,0-7,15-4
EasternIll.,337,235,331,6-22,341,0-8,29,6-14,2-13,5-7,0-0,0-2,1-3,5-17,0-2,6-19
EasternKy.,253,213,287,12-16,198,2-5,29,10-11,5-9,6-6,0-2,0-4,2-1,10-9,0-6,12-9
EasternMich.,237,183,195,14-17,229,5-8,12,9-9,3-11,7-5,1-3,1-3,3-6,9-5,2-6,11-8
EasternWash.,286,193,226,9-19,252,3-9,26,6-10,2-12,4-8,0-2,1-4,1-6,7-7,1-6,8-10
Elon,211,181,190,13-18,304,1-6,21,12-12,3-12,7-5,0-3,0-2,6-10,7-3,0-5,12-5
Evansville,252,139,96,8-21,217,5-5,8,3-16,2-12,4-8,1-6,1-3,2-9,4-3,2-9,5-4
Fairfield,176,169,155,14-16,223,3-8,18,11-8,7-9,8-4,0-2,2-2,5-9,7-3,2-4,8-5
FairleighDickinson,283,193,226,8-20,187,4-6,24,4-14,4-10,3-9,0-1,0-3,2-10,6-6,0-4,8-11
FlaAtlantic,234,192,224,15-18,248,6-7,15,9-11,3-11,8-4,0-5,0-2,3-6,12-5,0-7,13-9
FlaGulfCoast,291,215,297,10-21,299,6-20,32,4-1,5-13,4-8,0-2,0-4,1-6,9-9,0-6,10-13
Florida,72,135,91,21-11,71,13-2,4,8-9,3-6,4-8,2-7,1-2,10-2,8-0,3-9,12-1
FloridaA&M,250,218,307,13-17,257,3-9,30,10-8,5-11,7-5,0-5,0-1,1-3,12-8,0-6,12-9
FloridaInt'l,263,165,145,8-20,243,2-7,15,6-13,1-11,4-8,0-6,0-2,3-6,5-6,0-8,7-9
FloridaSt.,59,108,29,19-14,61,11-4,1,8-10,4-6,6-6,3-6,5-5,6-3,5-0,8-11,7-1
Fordham,168,128,80,11-17,178,5-6,7,6-11,4-9,4-8,2-6,1-3,2-8,6-0,3-9,7-2
FresnoSt.,243,176,176,12-19,155,7-7,20,5-12,2-12,3-9,0-4,0-9,1-2,11-4,0-13,11-4
Furman,304,182,193,7-23,315,1-8,21,6-15,1-13,4-8,0-3,0-1,3-12,4-7,0-4,6-11
GaSouthern,132,181,190,18-12,87,5-4,21,13-8,6-7,7-5,0-2,2-4,5-6,11-0,2-6,14-4
Gardner-Webb,200,207,272,15-16,249,8-10,23,7-6,5-10,7-5,0-4,1-3,2-3,12-6,1-7,12-9
GeorgeMason,61,162,142,23-10,47,8-4,13,15-6,5-7,8-4,2-1,2-2,10-5,9-2,4-3,15-4
GeorgeWashington,185,125,75,9-17,191,4-6,7,5-11,1-12,4-8,1-6,1-4,3-6,4-1,2-10,5-4
Georgetown,8,105,20,27-5,26,10-1,5,17-4,8-4,9-3,6-4,4-1,14-0,3-0,10-5,12-0
Georgia,108,112,38,15-16,126,8-4,4,7-12,2-8,6-6,4-8,3-4,3-4,6-0,7-12,7-2
GeorgiaSt.,284,179,184,9-21,294,4-7,13,5-14,3-12,5-7,0-0,1-5,3-8,5-8,1-5,8-12
GeorgiaTech,67,96,5,15-17,113,7-7,1,8-10,6-8,5-7,2-10,4-3,4-4,5-0,6-13,5-0
Gonzaga,31,149,113,25-7,23,11-5,14,14-2,7-3,10-2,4-5,4-2,5-0,12-0,8-7,15-0
Grambling,328,249,336,7-17,311,0-5,31,7-12,3-11,5-7,0-1,0-1,0-3,7-12,0-2,7-14
GreenBay,147,150,117,15-15,133,6-5,11,9-10,3-12,5-7,0-6,3-4,3-4,9-1,3-10,11-3
Hampton,150,206,266,18-12,108,7-6,30,11-6,5-9,7-5,0-1,2-3,2-4,14-4,2-4,16-4
Hartford,177,208,274,18-16,188,6-9,27,12-7,4-13,8-4,0-2,1-3,2-6,15-5,1-5,17-8
Harvard,306,194,232,8-22,244,5-11,25,3-11,0-15,2-10,0-1,0-3,3-10,5-8,0-4,8-14
Hawaii,272,178,181,11-19,283,4-9,20,7-10,2-9,4-8,0-0,1-10,1-5,9-4,1-10,9-6
HighPoint,231,221,313,13-14,297,4-7,28,9-7,3-11,7-5,0-1,0-3,2-4,11-6,0-4,11-7
