SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100 101-200 VTOP100
Texas,57,109,33,20-14,69,10-4,10-10,4-7,22,89,42,147,4-12,0-0 10-2 4-12
UCF,58,136,92,20-11,81,9-4,11-7,3-9,74,144,82,195,2-6,1-2 8-3 3-8
"",,RPI,Rank,,,,,,,,,SOS,,,,
Virginia,59,130,80,22-10,51,13-2,9-8,7-4,90,224,52,166,2-7,5-0,8-3,7-7
Belmont,60,174,174,26-8,75,7-6,19-2,10-6,187,95,132,10,0-3,4-2,9-1,4-5
West Virginia,61,93,7,19-14,42,10-4,9-10,4-6,26,35,18,57,4-9,5-3,8-2,9-12
Massachusetts,62,136,92,25-12,50,14-4,11-8,7-7,107,148,85,103,3-2,6-7,7-2,9-9
Minnesota,63,102,25,23-15,22,16-2,7-13,6-6,33,118,20,122,2-9,8-4,8-2,10-13
New Mexico St.,64,161,138,24-10,74,11-6,13-4,7-5,95,69,137,177,1-6,0-1,10-2,1-7
Oral Roberts,65,181,196,27-7,96,9-5,18-2,10-4,190,170,152,59,2-3,1-1,9-3,3-4
Drexel,66,175,179,29-7,77,11-4,18-3,11-3,202,176,133,114,1-1,5-3,8-3,6-4
Davidson,67,184,205,24-8,64,5-6,19-2,9-5,152,8,174,3,1-4,0-1,5-2,1-5
Akron,68,149,118,21-12,106,7-8,14-4,8-8,68,56,155,129,1-3,2-8,7-1,3-11
Stanford,69,141,103,26-11,28,15-2,11-9,5-6,113,115,79,72,4-3,6-4,5-3,10-7
Seton Hall,70,112,40,21-13,34,12-2,9-11,4-7,44,88,51,242,3-8,5-2,9-3,8-10
Miami (FL),71,112,40,20-13,84,10-5,10-8,5-8,50,105,22,43,2-8,2-4,10-1,4-12
UNI,72,121,55,19-14,14,10-4,9-10,5-10,41,13,86,54,3-6,2-3,9-4,5-9
Weber St.,73,204,266,23-7,59,8-4,15-3,7-7,211,117,253,181,0-3,1-2,5-1,1-5
Ole Miss,74,112,40,20-14,89,10-5,10-9,4-8,54,150,40,99,1-7,4-6,12-1,5-13
Loyola Maryland,75,187,219,24-9,62,8-4,16-5,11-6,189,168,183,229,1-3,1-1,7-3,2-4
St. Bonaventure,76,134,86,20-12,125,7-6,13-6,6-8,122,187,66,62,1-5,6-4,5-2,7-9
Saint Joseph's,77,120,51,20-14,66,10-6,10-8,5-8,49,57,95,109,2-5,4-5,10-4,6-10
Montana,78,194,233,23-7,118,6-6,17-1,9-4,186,77,237,91,1-3,2-1,4-2,3-4
Arizona,79,137,97,23-12,94,9-5,14-7,7-5,109,87,81,87,1-3,4-7,10-1,5-10
Buffalo,80,158,130,19-11,98,7-6,12-5,8-8,119,112,157,158,0-6,3-2,6-2,3-8
Bucknell,81,180,191,24-10,67,10-7,14-3,11-7,167,97,207,112,0-3,3-6,10-1,3-9
LIU Brooklyn,82,206,272,25-9,162,6-7,19-2,8-8,219,230,250,194,0-2,3-1,5-4,3-3
Mississippi St.,83,124,61,21-12,82,13-3,8-9,3-6,89,190,48,134,2-4,5-4,8-4,7-8
George Mason,84,181,196,24-9,123,9-4,15-5,7-6,194,255,162,246,1-2,1-2,8-3,2-4
Pittsburgh,85,110,36,22-17,41,16-3,6-14,5-9,39,103,50,208,1-11,5-3,12-3,6-14
Princeton,86,160,135,18-12,88,8-8,10-4,9-9,123,80,150,127,2-2,1-4,10-4,3-6
