SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100 101-200 VTOP100
Eastern Mich.,244,199,247,13-18,260,4-10,9-8,5-13,297,267,170,61,1-3,0-2,2-5,1-5
Boston College,245,128,76,9-22,270,5-9,4-13,0-9,88,161,75,279,1-8,0-4,4-9,1-12
Presbyterian,246,220,308,13-15,174,5-5,8-10,7-7,284,214,299,214,1-1,0-1,0-6,1-2
Delaware St.,247,225,320,13-14,307,1-9,12-5,7-8,320,165,295,94,0-2,0-1,2-5,0-3
Southeast Mo. St.,248,212,288,13-16,319,3-8,10-8,4-11,305,323,236,271,0-3,0-1,2-5,0-4
North Dakota,249,229,329,13-15,246,5-11,8-4,2-14,322,196,307,239,1-3,1-0,1-4,2-3
Miami (OH),250,147,113,8-21,253,3-9,5-12,1-14,103,91,131,29,0-6,3-3,1-5,3-9
Tulane,251,182,200,13-16,126,10-2,3-14,2-10,270,335,138,339,0-3,0-2,3-9,0-5
FIU,252,174,174,8-20,217,3-8,5-12,5-9,162,81,211,294,0-0,1-5,4-9,1-5
UC Riverside,253,203,262,12-17,220,5-7,7-10,5-9,288,264,245,131,0-4,0-0,3-6,0-4
Ball St.,254,215,295,14-15,165,8-4,6-11,5-10,333,332,233,290,0-1,0-3,1-4,0-4
Appalachian St.,255,196,237,11-18,187,3-6,8-12,3-11,238,96,240,105,0-1,0-3,2-6,0-4
Southern Ill.,256,141,103,8-22,300,3-8,5-14,2-11,140,281,107,227,0-7,1-3,2-10,1-10
VMI,257,225,320,14-16,286,3-5,11-11,1-14,326,337,278,139,0-1,0-1,2-8,0-2
UC Irvine,258,185,208,10-19,268,3-8,7-11,3-10,193,155,256,132,0-5,0-3,2-5,0-8
Troy,259,179,187,9-18,215,4-6,5-12,4-10,214,212,192,233,0-0,0-5,3-9,0-5
Jacksonville,260,164,145,8-22,238,2-9,6-13,3-15,157,92,198,126,0-4,1-4,2-7,1-8
James Madison,261,184,205,12-20,213,7-6,5-14,5-9,265,295,156,260,0-1,0-6,3-9,0-7
Rhode Island,262,136,92,7-24,290,3-12,4-12,2-13,124,218,103,159,1-2,2-9,0-10,3-11
Stetson,263,168,157,8-20,233,2-8,6-12,3-12,170,67,215,211,0-3,0-5,2-7,0-8
Northern Colo.,264,179,187,8-18,147,3-7,5-11,2-10,169,18,246,93,0-3,0-8,0-2,0-11
Southern California,265,123,59,6-26,212,5-8,1-18,1-11,83,131,71,34,0-6,0-9,2-8,0-15
Hofstra,266,164,145,10-22,195,7-6,3-16,1-11,133,178,213,309,1-2,2-5,0-10,3-7
Samford,267,196,237,9-19,265,1-8,8-11,4-10,197,63,265,244,0-1,1-2,2-5,1-3
Bradley,268,133,84,7-25,225,5-8,2-17,1-12,97,134,114,230,0-7,1-5,3-9,1-12
UMKC,269,183,203,9-20,175,5-6,4-14,2-13,198,217,218,280,0-5,0-2,3-4,0-7
Utah,270,122,58,5-25,288,2-9,3-16,0-12,55,111,109,243,0-4,1-11,1-6,1-15
High Point,271,207,277,11-18,297,2-7,9-11,3-12,249,208,296,196,0-1,0-2,3-7,0-3
Winthrop,272,209,279,10-20,281,1-9,9-11,4-11,244,147,289,86,0-1,0-2,1-6,0-3
Pepperdine,273,178,186,9-19,280,5-6,4-13,4-10,257,333,139,329,0-6,0-0,2-8,0-6
Sam Houston St.,274,202,257,9-19,293,2-9,7-10,5-9,230,172,305,191,0-2,0-3,0-8,0-5
Seattle,275,196,237,9-15,278,7-15,2-0,2-9,240,216,247,282,0-1,0-3,2-5,0-4
Coppin St.,276,219,305,10-16,315,1-8,9-8,6-9,327,248,257,8,0-2,0-3,1-4,0-5
Montana St.,277,216,297,10-17,283,3-7,7-10,5-11,308,305,274,284,0-1,0-4,2-3,0-5
San Jose St.,278,180,191,8-22,245,7-8,1-14,2-13,175,288,225,344,0-4,0-3,1-7,0-7
Southern U.,279,262,344,14-14,337,1-9,13-5,6-10,344,311,343,252,0-0,0-1,0-6,0-1
Central Mich.,280,194,233,10-21,273,4-9,6-12,3-13,277,286,199,117,0-3,0-4,1-5,0-7
 IPFW,281,177,185,8-19,266,3-5,5-14,2-13,227,328,186,150,0-4,1-3,1-6,1-7
N.C. A&T,282,211,287,9-20,240,2-10,7-10,5-13,281,86,320,160,0-3,0-2,0-5,0-5
Howard,283,206,272,9-21,252,2-10,7-11,3-14,247,62,292,50,0-4,0-0,1-8,0-4
Liberty,283,220,308,11-18,336,2-8,9-10,5-9,299,324,316,286,0-0,0-1,2-8,0-1
Maine,285,226,323,11-17,229,5-6,6-11,5-10,315,292,334,262,0-2,0-0,1-8,0-2
Morgan St.,286,212,288,9-20,221,3-9,6-11,5-10,267,85,318,145,0-4,0-1,1-5,0-5
Eastern Ill.,287,219,305,10-17,279,5-6,5-11,5-10,319,341,284,335,0-2,0-1,2-6,0-3
Texas St.,288,222,312,9-17,236,4-6,5-11,3-11,296,269,321,304,0-0,0-2,2-5,0-2
Pacific,289,201,253,9-19,295,3-8,6-11,3-11,258,234,283,258,0-3,0-1,1-6,0-4
 Idaho St.,290,194,233,8-21,325,1-11,7-10,4-13,256,203,235,123,0-1,1-5,0-7,1-6
Mt. St. Mary's,291,196,237,8-21,282,2-9,6-12,4-12,252,179,258,228,0-1,0-7,1-4,0-8
South Dakota,292,190,223,7-18,318,2-5,5-13,3-11,262,342,221,318,1-1,0-3,1-7,1-4
Gardner-Webb,293,221,311,10-20,262,4-7,6-13,3-15,309,316,315,297,0-1,0-0,1-10,0-1
Prairie View,294,238,337,11-18,256,1-9,10-9,3-11,323,41,344,215,0-4,0-1,0-3,0-5
Colgate,295,203,262,8-22,267,6-9,2-13,3-14,248,300,286,320,0-2,0-5,0-8,0-7
New Hampshire,296,236,335,12-16,292,5-6,7-10,4-9,340,338,330,237,0-0,0-1,2-7,0-1
William & Mary,297,171,165,5-26,321,1-11,4-15,2-14,156,219,201,300,0-4,0-4,1-9,0-8
 Ill.-Chicago,298,174,174,7-21,231,4-5,3-16,1-15,229,293,197,312,0-0,0-5,4-10,0-5
Nicholls St.,299,210,283,8-20,305,2-9,6-11,3-12,293,290,275,155,0-1,0-2,2-8,0-3
SIU Edwardsville,300,212,288,8-17,338,2-7,6-10,3-9,304,330,279,327,0-1,0-2,2-5,0-3
Saint Peter's,301,164,145,5-26,310,1-11,4-15,2-13,163,135,209,266,0-2,0-8,0-9,0-10
Ark.-Pine Bluff,302,224,316,11-22,291,1-12,10-10,3-15,328,156,326,25,0-2,0-3,1-7,0-5
Army,303,220,308,11-18,330,6-8,5-10,3-11,331,344,308,341,0-0,0-5,1-8,0-5
Santa Clara,304,159,131,6-22,198,6-5,0-17,0-11,204,250,122,256,1-6,0-1,1-9,1-7
NJIT,305,237,336,11-17,302,4-11,7-6,2-12,338,276,332,316,0-1,0-3,1-2,0-4
Hampton,306,239,338,12-21,303,4-10,8-11,1-13,324,310,338,336,0-0,0-1,1-7,0-1
Chattanooga,307,196,237,8-21,259,3-7,5-14,0-14,235,126,263,272,0-2,0-4,2-2,0-6
Hartford,308,218,303,9-22,339,1-12,8-10,4-12,301,297,328,255,0-0,0-2,1-11,0-2
Alabama St.,309,239,338,10-19,271,1-9,9-10,4-14,337,129,341,136,0-2,0-1,0-5,0-3
Loyola Chicago,310,180,191,6-23,249,5-5,1-18,3-14,278,340,176,277,0-1,0-5,0-12,0-6
Towson,311,146,112,1-31,306,0-13,1-18,0-15,71,65,187,235,0-4,0-8,0-11,0-12
Saint Francis (PA),312,186,215,6-23,277,1-10,5-13,1-15,207,43,261,247,0-1,0-9,2-3,0-10
Florida A&M,313,219,305,8-23,341,0-12,8-11,3-12,298,235,331,220,0-1,0-2,0-9,0-3
Brown,314,190,223,7-23,314,5-11,2-12,1-12,243,307,255,343,0-2,0-3,1-11,0-5
Sacramento St.,315,222,312,8-18,328,3-7,5-11,4-9,330,329,310,337,0-0,0-4,0-5,0-4
Tex.-Pan American,316,212,288,7-21,308,2-15,5-6,1-15,268,152,313,251,0-1,0-1,0-9,0-2
La.-Monroe,317,175,179,3-25,320,1-11,2-14,3-13,215,238,182,171,0-1,0-6,1-11,0-7
Southeastern La.,318,224,316,9-17,299,4-6,5-11,1-13,336,339,281,216,0-0,0-0,2-9,0-0
A&M-Corpus Christi,319,204,266,6-24,322,2-12,4-12,3-13,269,265,282,206,0-0,0-2,2-11,0-2
Md.-East. Shore,320,210,283,6-23,296,2-10,4-13,2-14,264,186,317,173,0-1,0-3,1-8,0-4
Jackson St.,321,213,292,6-24,188,1-10,5-14,3-16,283,16,333,13,0-6,0-0,0-6,0-6
Central Ark.,322,214,293,6-20,263,3-7,3-13,2-14,302,267,306,263,0-1,0-1,0-9,0-2
Houston Baptist,323,225,320,7-20,276,4-12,3-8,0-13,289,145,337,326,0-2,0-1,1-4,0-3
Cal St. Northridge,324,210,283,5-21,311,2-8,3-13,3-13,312,325,262,223,0-2,0-1,0-6,0-3
Citadel,325,199,247,4-24,323,1-8,3-16,1-12,228,206,300,328,0-0,0-4,0-7,0-4
UT Martin,326,185,208,2-27,294,2-11,0-16,2-15,213,233,228,259,0-4,0-2,1-7,0-6
Navy,327,193,231,2-26,316,2-11,0-15,1-15,182,226,319,342,0-1,0-6,0-8,0-7
Radford,328,201,253,4-26,284,2-9,2-17,1-13,231,113,294,172,0-2,0-2,1-8,0-4
Kennesaw St.,329,171,165,2-28,287,2-10,0-18,1-16,232,239,189,153,0-4,0-4,0-10,0-8
Fairleigh Dickinson,330,196,237,3-26,329,1-10,2-16,1-15,217,199,298,323,0-1,0-7,0-6,0-8
Dartmouth,331,185,208,4-25,340,3-12,1-13,0-14,234,306,241,338,0-3,0-3,0-12,0-6
Canisius,332,194,233,5-25,324,4-7,1-18,2-14,311,343,219,332,0-3,0-4,0-6,0-7
Longwood,333,232,333,6-21,326,6-19,0-2,2-14,339,321,297,330,0-4,0-2,0-1,0-6
Northern Ill.,334,199,247,4-25,343,0-11,4-14,1-14,285,303,234,245,0-2,0-3,0-6,0-5
Alcorn St.,335,243,343,7-21,327,0-8,7-13,2-14,343,180,340,52,0-1,0-1,0-7,0-2
UC Davis,336,206,272,4-26,342,1-12,3-14,1-15,300,325,277,293,0-4,0-1,1-5,0-5
Chicago St.,337,210,283,3-25,332,1-17,2-8,1-17,291,210,266,189,0-4,0-2,0-4,0-6
Northern Ariz.,338,203,262,3-24,313,2-9,1-15,1-12,287,263,269,274,0-1,0-5,0-6,0-6
UMBC,339,222,312,4-26,335,1-12,3-14,3-14,325,291,322,204,0-1,0-1,0-11,0-2
Bryant,340,199,247,2-28,334,1-11,1-17,0-17,273,275,260,261,0-2,0-7,0-4,0-9
Grambling,341,239,338,4-24,333,0-10,4-14,3-15,341,194,339,116,0-0,0-2,0-7,0-2
Alabama A&M,342,241,341,5-21,316,0-7,5-14,1-15,342,133,342,41,0-2,0-0,0-6,0-2
South Carolina St.,343,229,329,3-26,304,3-9,0-17,1-16,334,315,329,240,0-1,0-2,0-6,0-3
Binghamton,344,227,325,2-29,344,0-13,2-16,0-15,321,314,336,289,0-1,0-2,1-9,0-3
