SCHOOLNAME,RPI,ORIGRPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW166
LSU,25,24,20-9,79,7-4,5,13-5,4-6,8-2,6-5,3-2,7-1,4-1,9-7,4-1
Vermont,26,34,24-6,72,5-4,16,19-2,10-6,7-3,0-3,5-1,7-2,12-0,5-4,19-1
GeorgiaTech,27,26,19-10,35,9-2,1,10-8,4-6,6-4,2-7,6-3,6-1,5-0,8-10,5-0
TexasTech,28,27,20-9,98,8-3,2,12-6,5-5,5-5,5-7,6-3,3-0,6-0,11-10,6-0
MississippiSt.,29,33,22-10,28,12-2,5,10-8,6-5,5-5,2-8,5-0,7-2,8-0,7-8,10-0
Charlotte,30,38,21-7,37,9-2,9,12-5,7-5,7-3,3-3,6-0,7-4,5-0,9-3,10-1
StMary's(Cal.),31,39,23-8,86,11-4,7,12-4,9-4,7-3,1-3,3-0,14-5,5-0,4-3,9-0
UTEP,32,32,25-7,67,8-3,12,17-4,7-4,8-2,1-4,4-0,9-2,11-1,5-4,11-1
Nevada,33,28,23-6,44,7-3,12,16-3,11-2,9-1,2-3,3-0,8-2,10-1,5-3,10-1
WestVirginia,34,31,21-10,69,10-1,3,11-9,6-5,7-3,5-6,5-2,6-1,5-1,10-8,5-1
OldDominion,35,42,27-5,97,9-2,14,18-3,11-4,8-2,0-0,9-3,4-2,14-0,9-3,15-1
Texas,36,35,19-10,45,10-2,2,9-8,4-6,5-5,3-6,4-4,6-0,6-0,7-10,7-0
NorthernIowa,37,43,20-10,30,9-2,8,11-8,6-7,7-3,2-6,4-1,10-2,4-1,6-7,8-1
Pittsburgh,38,29,20-8,64,10-1,3,10-7,6-3,5-5,4-5,4-2,6-1,6-0,8-7,6-0
Stanford,39,41,18-12,85,6-4,4,12-8,5-6,6-4,4-5,4-3,7-4,3-0,8-8,3-0
Miami(Ohio),40,58,18-10,78,5-3,10,13-7,5-9,5-5,3-4,3-3,8-1,4-2,6-7,7-2
Minnesota,41,30,21-10,39,10-3,6,11-7,5-4,6-4,4-7,3-1,8-2,6-0,7-8,10-0
Iowa,42,36,21-11,11,12-1,6,9-10,3-6,6-4,7-8,2-0,8-3,4-0,9-8,7-1
UCLA,43,37,18-10,34,7-2,4,11-8,6-5,6-4,1-7,6-2,8-1,3-0,7-9,4-0
Creighton,44,40,23-10,77,9-3,8,14-7,7-5,9-1,6-2,2-3,11-4,4-1,8-5,6-2
WichitaSt.,45,44,20-9,80,7-2,8,13-7,8-5,4-6,2-6,4-0,8-3,6-0,6-6,8-2
Buffalo,46,53,22-9,42,8-1,10,14-8,8-6,8-2,1-5,5-3,8-1,8-0,6-8,12-0
La.-Lafayette,47,73,19-10,83,5-6,13,14-4,5-9,7-3,1-3,2-3,9-4,7-0,3-6,11-1
Ohio,48,67,21-10,146,6-3,10,15-7,4-9,8-2,5-1,4-3,4-5,8-1,9-4,10-3
UAB,49,49,21-10,46,10-3,9,11-7,7-5,5-5,0-5,6-1,9-3,6-1,6-6,8-2
OhioSt.,50,46,20-12,38,11-3,6,9-9,2-8,5-5,3-10,3-2,5-0,9-0,6-12,11-0
UtahSt.,51,62,24-7,65,9-2,17,15-5,6-5,8-2,2-2,0-0,8-3,14-2,2-2,18-2
SouthwestMoSt.,52,55,18-12,99,6-3,8,12-9,4-8,6-4,6-7,1-0,6-5,5-0,7-7,7-2
DePaul,53,56,19-10,61,8-3,9,11-7,4-7,5-5,2-5,4-1,8-4,5-0,6-6,9-1
Penn,54,80,20-8,132,7-7,18,13-1,8-7,9-1,0-2,3-3,5-3,12-0,3-5,15-1
KentSt.,55,71,18-12,59,6-4,10,12-8,5-9,5-5,4-7,2-2,4-3,8-0,6-9,11-0
Northeastern,56,72,21-9,142,4-5,16,17-4,8-6,8-2,0-4,2-1,9-3,10-1,2-5,18-4
Maryland,57,45,16-12,31,9-2,1,7-10,2-7,3-7,3-4,3-7,5-1,5-0,6-11,5-0
Wis.-Milwaukee,58,70,22-5,92,6-3,19,16-2,11-3,9-1,0-2,0-0,12-3,10-0,0-2,17-2
GeorgeWashington,59,61,22-7,36,8-2,15,14-5,8-4,8-2,1-2,4-1,7-4,10-0,5-3,14-0
Indiana,60,48,15-13,74,5-6,6,10-7,2-8,6-4,4-10,0-2,9-1,2-0,4-12,6-0
Rice,61,60,17-11,58,4-4,12,13-7,5-7,7-3,0-8,1-0,10-2,6-1,1-8,6-1
IowaSt.,62,57,18-11,93,8-3,2,10-8,4-7,7-3,4-5,5-4,4-2,5-0,9-9,6-0
NorthCarolinaSt.,63,52,19-13,108,10-3,1,9-10,6-6,6-4,4-8,4-2,5-3,6-0,8-10,9-0
Bucknell,64,83,22-9,70,9-5,23,13-4,8-7,7-3,1-1,4-3,4-2,13-3,5-4,14-3
HolyCross,65,68,24-6,54,9-4,23,15-2,11-3,9-1,0-3,3-2,5-1,16-0,3-5,19-0
StJoseph's,66,76,19-11,120,3-8,15,16-3,7-6,8-2,0-4,4-5,9-1,6-1,4-9,9-1
NewMexico,67,78,25-6,128,12-2,11,13-4,5-5,9-1,2-2,2-1,7-2,14-1,4-3,17-1
ArizonaSt.,68,51,18-13,14,11-1,4,7-12,4-6,3-7,2-8,5-1,8-4,3-0,7-9,5-0
Miami(Fla.),68,50,16-12,40,9-2,1,7-10,5-5,3-7,1-7,5-1,6-3,4-1,6-8,6-1
TexasA&M,70,66,17-9,95,9-0,2,8-9,3-6,5-5,2-7,5-1,1-1,9-0,7-8,10-0
Akron,71,85,18-10,87,6-2,10,12-8,5-8,6-4,4-2,1-4,6-4,7-0,5-6,10-1
Missouri,72,47,16-16,43,8-6,2,8-10,1-8,6-4,3-7,4-9,7-0,2-0,7-16,3-0
Vanderbilt,73,54,18-13,41,10-4,5,8-9,2-7,5-5,2-8,3-3,9-1,4-1,5-11,5-1
NotreDame,74,59,17-11,131,8-3,3,9-8,4-6,4-6,4-7,3-2,4-2,6-0,7-9,7-0
WesternKy.,75,87,20-8,63,10-2,13,10-6,6-6,7-3,0-1,0-3,12-3,8-1,0-4,12-3
Hofstra,76,91,21-8,82,8-1,14,13-7,10-5,8-2,1-3,2-3,5-2,13-0,3-6,15-0
Virginia,77,65,14-15,21,9-2,1,5-13,2-9,4-6,1-7,4-6,8-2,1-0,5-13,4-0
Georgetown,78,64,17-12,91,8-3,3,9-9,4-5,4-6,3-7,3-3,5-2,6-0,6-10,6-0
Ark.-LittleRock,79,94,15-10,103,5-5,13,10-5,4-8,6-4,2-3,2-1,5-6,6-0,4-4,9-3
Davidson,80,81,18-8,199,1-7,20,17-1,9-3,9-1,0-2,1-2,9-4,8-0,1-4,13-0
Oregon,81,69,14-13,10,8-1,4,6-12,3-7,3-7,0-9,4-3,7-1,3-0,4-12,3-0
Winthrop,82,97,24-5,157,6-4,27,18-1,9-4,10-0,0-0,1-3,1-1,22-1,1-3,23-1
Houston,83,86,18-13,66,9-5,9,9-8,4-9,6-4,2-5,2-6,8-1,6-1,4-11,8-1
BostonU.,84,96,20-8,114,6-3,16,14-5,10-5,7-3,1-2,0-3,8-3,11-0,1-5,18-2
SanFrancisco,85,82,16-13,50,9-4,7,7-9,4-9,3-7,2-7,2-0,8-6,4-0,4-7,4-2
Drexel,86,98,17-11,104,5-4,14,12-7,9-7,7-3,0-3,4-3,4-4,9-1,4-6,10-1
Clemson,87,75,16-15,60,10-3,1,6-12,3-7,5-5,1-9,4-5,6-1,5-0,5-14,8-0
Marquette,88,63,18-11,15,11-1,9,7-10,4-5,4-6,1-6,3-3,10-2,4-0,4-9,7-1
VaCommonwealth,89,89,19-12,148,4-6,14,15-6,6-8,7-3,1-4,2-2,7-5,9-1,3-6,10-2
SouthCarolina,90,74,15-13,49,8-3,5,7-10,1-9,4-6,1-8,4-2,5-3,5-0,5-10,7-0
TCU,91,90,18-13,88,9-4,9,9-9,3-9,6-4,2-6,3-3,6-3,7-1,5-9,9-3
UNLV,92,93,15-13,71,7-5,11,8-8,6-6,7-3,0-7,2-2,8-3,5-1,2-9,6-2
Providence,93,79,13-17,33,9-4,3,4-13,4-6,4-6,0-14,4-2,7-1,2-0,4-16,4-0
Niagara,94,122,20-9,147,5-4,22,15-5,5-9,7-3,0-1,0-3,12-3,8-2,0-4,14-4
KansasSt.,95,77,15-12,68,8-1,2,7-11,2-6,4-6,0-7,5-3,6-2,4-0,5-10,6-0
Arkansas,96,84,18-12,52,12-1,5,6-11,2-7,4-6,1-8,2-2,6-2,9-0,3-10,9-0
Colorado,97,95,13-16,56,8-3,2,5-13,4-9,3-7,2-7,3-5,6-3,2-1,5-12,3-1
WesternMich.,98,106,18-12,150,6-4,10,12-8,7-7,4-6,1-5,3-0,8-5,6-2,4-5,10-2
Temple,99,100,16-13,76,4-7,15,12-6,6-7,6-4,1-3,2-7,8-2,5-1,3-10,6-2
OregonSt.,100,103,17-14,168,8-3,4,9-11,3-10,5-5,4-6,3-3,4-4,6-1,7-9,6-2
Denver,101,118,18-10,229,4-6,13,14-4,6-8,7-3,2-2,2-2,6-4,8-2,4-4,12-4
OralRoberts,102,105,24-7,81,9-3,24,15-4,11-4,8-2,0-1,2-1,8-4,14-1,2-2,22-4
UNCWilmington,103,114,19-10,198,5-4,14,14-6,7-8,6-4,0-3,4-3,2-4,13-0,4-6,13-1
WashingtonSt.,104,104,12-16,111,5-4,4,7-12,5-9,3-7,3-8,2-5,4-3,3-0,5-13,4-0
Toledo,105,112,15-13,141,4-5,10,11-8,3-10,7-3,1-5,3-2,6-5,5-1,4-7,7-3
Tennessee,106,88,14-17,100,7-6,5,7-11,2-8,4-6,4-8,2-5,1-4,7-0,6-13,7-0
BowlingGreen,107,108,17-11,119,6-2,10,11-9,6-7,5-5,3-2,2-4,7-4,5-1,5-6,7-3
UCF,108,109,21-8,51,5-1,21,16-7,7-5,9-1,0-0,1-0,6-2,14-6,1-0,17-6
Memphis,109,92,19-15,152,7-7,9,12-8,5-5,5-5,3-8,3-4,7-3,6-0,6-12,10-1
CalStNorthridge,110,135,17-13,186,4-6,17,13-7,7-9,6-4,0-4,1-3,4-4,12-2,1-7,16-2
Nebraska,111,99,14-14,125,7-4,2,7-10,4-7,4-6,1-8,5-6,1-0,7-0,6-14,7-0
VirginiaTech,112,102,15-13,194,7-4,1,8-9,3-8,4-6,2-5,6-5,1-2,6-1,8-10,6-1
CalStFullerton,113,130,18-10,155,5-3,17,13-7,7-6,7-3,0-2,1-2,4-3,13-3,1-4,14-5
Rider,114,133,18-11,166,3-5,22,15-6,8-6,6-4,0-0,3-3,7-5,8-3,3-3,13-7
AirForce,115,136,17-12,164,8-6,11,9-6,4-9,5-5,0-5,2-4,5-3,10-0,2-9,12-1
NorthwesternSt.,116,139,17-11,201,2-8,26,15-3,6-8,9-1,0-5,0-0,4-5,13-2,0-5,13-3
BallSt.,117,120,14-13,129,4-4,10,10-9,4-8,3-7,1-4,3-3,7-4,3-2,4-7,8-3
Northwestern,118,101,15-16,118,8-5,6,7-11,1-9,5-5,2-8,2-5,7-1,4-2,4-13,6-2
EasternKy.,119,148,19-8,139,5-3,25,14-5,8-7,8-2,0-2,0-1,3-3,16-2,0-3,16-2
Princeton,120,141,14-13,55,8-5,18,6-8,5-10,5-5,0-3,3-3,4-3,7-4,3-6,10-6
IllinoisSt.,121,119,16-13,135,8-2,8,8-11,5-7,3-7,1-8,1-2,8-2,6-1,2-10,8-1
SanDiego,122,124,14-13,187,6-5,7,8-8,4-8,6-4,1-6,1-1,8-4,4-2,2-7,6-3
Wyoming,123,117,15-13,96,8-5,11,7-8,3-8,5-5,1-4,1-5,6-3,7-1,2-9,9-1
Pepperdine,124,129,16-14,134,9-5,7,7-9,3-8,5-5,1-5,3-0,7-8,5-1,4-5,9-3
MiddleTenn.,125,126,17-12,89,9-4,13,8-8,5-6,6-4,0-3,2-4,8-2,7-3,2-7,13-3
Dayton,126,115,18-11,62,7-4,15,11-7,5-6,5-5,0-1,2-6,8-3,8-1,2-7,10-1
California,127,107,13-16,102,7-3,4,6-13,5-6,2-8,1-9,3-5,6-2,3-0,4-14,6-0
SouthernCalifornia,128,121,12-17,89,7-4,4,5-13,3-10,3-7,1-9,4-3,5-4,2-1,5-12,4-1
SoutheasternLa.,129,145,18-8,278,3-5,26,15-3,7-6,8-2,0-0,0-2,6-2,13-4,0-2,13-4
DelawareSt.,130,154,19-13,214,2-9,30,17-4,6-11,8-2,0-3,0-2,3-6,16-2,0-5,19-2
Hawaii,131,110,16-13,12,8-1,12,8-12,2-8,3-7,2-5,1-2,5-4,8-2,3-7,9-2
SantaClara,132,131,14-16,183,6-8,7,8-8,4-9,4-6,4-4,1-4,6-5,3-3,5-8,5-5
FloridaSt.,133,116,11-19,116,7-6,1,4-13,3-8,1-9,3-7,2-9,2-3,4-0,5-16,4-2
Chattanooga,134,143,17-10,137,4-4,20,13-6,7-7,7-3,0-2,0-1,7-5,10-2,0-3,13-5
SetonHall,135,113,12-16,73,8-3,3,4-13,3-8,2-8,1-9,2-4,5-3,4-0,3-13,5-0
Massachusetts,136,111,16-12,18,7-4,15,9-8,4-5,6-4,1-2,3-6,5-3,7-1,4-8,9-2
Auburn,137,123,14-17,110,9-4,5,5-13,3-7,3-7,1-8,4-4,5-3,4-2,5-12,5-2
UNCGreensboro,138,153,15-12,120,4-4,20,11-8,4-10,5-5,0-4,1-1,4-5,10-2,1-5,13-4
Xavier,139,125,17-12,112,6-5,15,11-7,4-7,6-4,0-4,4-3,4-4,9-1,4-7,10-2
Mississippi,140,128,14-17,127,9-4,5,5-13,3-8,3-7,0-9,2-4,6-4,6-0,2-13,6-1
MurraySt.,141,147,15-11,94,4-5,25,11-6,6-7,6-4,0-3,1-2,3-3,11-3,1-5,11-3
Bradley,142,127,13-15,48,7-2,8,6-13,1-11,2-8,2-6,2-2,4-6,5-1,4-8,7-3
American,143,156,16-12,114,7-5,23,9-7,6-9,5-5,2-0,1-8,1-0,12-4,3-8,13-4
Rutgers,144,134,9-19,84,6-4,3,3-15,2-10,3-7,2-10,3-4,2-4,2-1,5-14,3-1
ColofCharleston,145,140,18-10,105,8-3,20,10-7,5-6,6-4,0-0,1-4,7-5,10-1,1-4,14-4
Wis.-GreenBay,146,146,16-11,106,6-4,19,10-7,7-6,4-6,0-3,1-1,5-4,10-3,1-4,13-6
Drake,147,137,13-16,153,5-4,8,8-12,3-9,6-4,1-9,1-3,5-2,6-2,2-12,9-2
SouthernMethodist,148,144,13-14,154,4-4,12,9-10,4-9,5-5,0-6,0-4,3-4,10-0,0-10,10-0
LouisianaTech,149,149,14-15,161,5-5,12,9-10,5-9,3-7,1-5,0-2,5-4,8-4,1-7,8-4
Richmond,150,152,14-15,117,5-6,15,9-9,4-10,4-6,1-3,1-7,4-4,8-1,2-10,8-2
Portland,151,150,14-15,126,10-4,7,4-11,5-8,2-8,0-4,2-5,6-6,6-0,2-9,10-0
FresnoSt.,152,142,15-14,151,5-4,12,10-10,5-7,3-7,2-4,0-4,5-3,8-3,2-8,8-3
CoppinSt.,153,174,14-15,165,0-9,30,14-6,7-11,6-4,0-7,0-1,2-3,12-4,0-8,12-6
GeorgeMason,154,157,16-13,176,6-4,14,10-9,5-8,5-5,1-2,1-6,3-3,11-2,2-8,13-2
Ill.-Chicago,155,158,13-13,47,4-4,19,9-9,5-8,5-5,0-2,1-3,5-5,7-3,1-5,10-5
Michigan,156,132,13-18,75,9-5,6,4-13,2-8,1-9,1-11,2-4,5-3,5-0,3-15,7-1
Gardner-Webb,157,164,16-12,297,1-4,21,15-8,5-9,7-3,0-0,0-3,3-3,13-6,0-3,14-6
Montana,158,166,16-12,173,4-7,28,12-5,4-10,8-2,0-2,0-3,2-2,14-5,0-5,15-6
SamHoustonSt.,159,169,14-12,197,2-6,26,12-6,5-8,6-4,0-2,0-2,4-5,10-3,0-4,11-4
GeorgiaSt.,160,171,13-15,101,2-5,21,11-10,5-11,6-4,1-5,0-0,2-2,10-8,1-5,10-8
SouthFla.,161,155,13-16,191,6-4,9,7-12,2-10,4-6,2-4,1-6,3-5,7-1,3-10,10-2
TennesseeTech,162,183,15-11,234,2-6,25,13-5,4-9,6-4,0-1,0-1,4-3,11-6,0-2,12-7
TennesseeSt.,163,184,12-16,124,3-8,25,9-8,2-15,5-5,0-3,0-4,4-4,8-5,0-7,8-5
StPeter's,164,179,15-13,130,5-4,22,10-9,5-10,7-3,0-1,0-2,7-8,8-2,0-3,14-6
StJohn's(N.Y.),165,138,9-18,109,6-5,3,3-13,0-11,2-8,1-9,2-5,2-3,4-1,3-14,4-1
Lamar,166,168,14-11,143,4-3,26,10-8,6-7,5-5,0-0,0-2,3-7,11-2,0-2,12-3
LoyolaMarymount,167,162,11-17,133,8-5,7,3-12,4-10,2-8,0-6,2-2,4-8,5-1,2-8,7-1
ArkansasSt.,168,159,13-13,203,5-5,13,8-8,2-9,4-6,1-0,2-2,5-10,5-1,3-2,9-3
IUPUI,169,176,14-13,140,4-5,24,10-8,5-9,6-4,0-1,0-2,2-9,12-1,0-3,14-5
FairleighDickinson,170,172,19-12,267,3-7,29,16-5,7-7,7-3,0-1,0-1,2-5,17-5,0-2,18-6
UMKC,171,182,14-12,233,2-7,24,12-5,7-7,5-5,0-3,0-1,7-4,7-4,0-4,12-6
TexA&M-CorpChris,172,194,16-8,144,8-6,32,8-2,8-6,8-2,1-2,1-1,1-3,13-2,2-3,13-3
PortlandSt.,173,187,17-9,209,6-5,28,11-4,6-7,7-3,0-2,0-0,1-3,16-4,0-2,16-4
WrightSt.,174,165,15-15,122,6-6,19,9-9,4-10,5-5,0-3,1-3,5-5,9-4,1-6,11-6
Maine,175,188,13-15,212,4-4,16,9-11,6-9,4-6,1-2,2-5,1-4,9-4,3-7,10-8
Detroit,176,173,13-16,230,2-8,19,11-8,3-11,6-4,0-2,2-4,5-6,6-4,2-6,8-6
FloridaInt'l,177,160,12-17,138,6-6,13,6-11,3-9,5-5,1-3,3-5,2-6,6-3,4-8,7-5
Fairfield,178,185,15-15,216,3-7,22,12-8,6-8,4-6,0-1,0-4,6-9,9-1,0-5,14-4
Purdue,179,151,7-21,159,4-7,6,3-14,0-10,2-8,1-14,0-4,2-2,4-1,1-18,5-1
AppalachianSt.,180,203,15-12,245,4-4,20,11-8,3-11,7-3,0-0,0-5,5-5,10-2,0-5,11-3
StLouis,181,167,9-21,213,3-10,9,6-11,3-9,4-6,0-8,2-5,3-5,4-3,2-13,5-4
Hampton,182,207,17-13,286,2-7,30,15-6,7-9,8-2,0-1,0-3,2-5,15-4,0-4,15-5
NorthernIll.,183,191,11-17,180,4-5,10,7-12,3-13,4-6,1-3,2-5,3-6,5-3,3-8,6-4
GaSouthern,184,200,14-13,263,3-6,20,11-7,4-9,5-5,0-1,0-3,6-6,8-3,0-4,11-4
UCIrvine,185,193,15-13,149,6-2,17,9-11,6-8,6-4,0-3,0-2,2-5,13-3,0-5,13-3
SanDiegoSt.,186,170,9-18,163,4-7,11,5-11,3-8,2-8,0-4,1-6,4-6,4-2,1-10,5-3
Manhattan,187,198,13-14,113,3-4,22,10-10,3-11,5-5,1-1,1-3,4-7,7-3,2-4,9-7
Binghamton,188,175,12-17,169,3-6,16,9-11,2-10,7-3,0-5,1-5,5-2,6-5,1-10,10-6
Valparaiso,189,192,15-16,170,5-9,24,10-7,5-9,5-5,0-5,1-1,4-6,10-4,1-6,13-8
Yale,190,189,11-16,179,4-9,18,7-7,3-10,6-4,0-3,1-3,4-5,6-5,1-6,8-6
Fordham,191,181,13-16,158,4-7,15,9-9,3-10,5-5,0-1,1-8,5-4,7-3,1-9,9-4
Oakland,192,204,11-18,196,1-9,24,10-9,4-13,6-4,0-2,0-5,5-8,6-3,0-7,9-8
EastCaro.,193,178,7-19,174,3-7,9,4-12,1-11,4-6,2-5,1-8,3-4,1-2,3-13,2-2
Monmouth,194,195,16-13,298,1-8,29,15-5,7-8,6-4,0-1,0-1,2-6,14-5,0-2,15-8
NorthTexas,195,180,12-14,107,6-4,13,6-10,4-7,4-6,0-4,0-3,4-5,8-2,0-7,9-4
Albany(N.Y.),196,209,13-15,259,4-5,16,9-10,6-11,4-6,0-4,0-4,3-2,10-5,0-8,13-7
Harvard,197,197,12-15,185,5-8,18,7-7,4-10,5-5,0-0,1-5,2-6,9-4,1-5,10-7
Iona,198,196,15-16,172,4-6,22,11-10,3-10,6-4,0-2,2-4,5-6,8-4,2-6,10-7
Furman,199,202,12-13,208,3-5,20,9-8,4-8,5-5,0-2,0-4,3-5,9-2,0-6,10-4
IndianaSt.,200,161,11-20,182,5-6,8,6-14,0-12,3-7,2-8,1-3,3-7,5-2,3-11,6-2
BoiseSt.,201,177,15-18,218,6-5,12,9-13,3-10,6-4,1-5,0-3,5-6,9-4,1-8,10-4
Birmingham-So.,202,206,15-14,136,7-4,27,8-10,6-9,5-5,0-1,1-3,1-2,13-8,1-4,13-9
BrighamYoung,203,186,7-21,160,4-9,11,3-12,2-9,2-8,0-5,2-6,1-9,4-1,2-11,4-3
SouthCarolinaSt.,204,218,19-12,240,7-4,30,12-8,9-6,7-3,0-0,1-2,2-6,16-4,1-2,16-6
StFrancis(Pa.),205,212,14-13,123,4-4,29,10-9,4-11,5-5,1-2,1-1,2-2,10-8,2-3,12-9
Belmont,206,199,14-16,282,1-7,21,13-9,5-9,6-4,0-2,0-0,4-8,10-6,0-2,10-6
SoutheastMoSt.,207,210,11-14,256,1-6,25,10-8,5-9,6-4,0-1,0-1,4-10,7-2,0-2,8-3
NewOrleans,208,201,12-17,188,5-8,13,7-9,3-10,4-6,0-5,0-5,5-5,7-2,0-10,9-6
Mercer,209,205,14-12,228,3-2,21,11-10,6-7,5-5,0-1,0-1,3-5,11-5,0-2,12-5
Loyola(Ill.),210,211,12-17,244,2-8,19,10-9,5-11,7-3,0-2,0-4,7-6,5-5,0-6,8-7
Cornell,211,221,12-14,273,4-8,18,8-6,6-9,6-4,0-1,0-4,4-3,8-6,0-5,10-8
Texas-SanAntonio,212,213,12-13,260,2-6,26,10-7,5-9,6-4,0-2,0-1,2-9,10-1,0-3,10-1
Georgia,213,163,8-20,145,6-5,5,2-15,0-9,1-9,0-10,2-6,2-3,4-1,2-16,4-1
LaSalle,214,215,10-19,175,4-7,15,6-12,5-10,5-5,0-2,0-7,7-6,3-4,0-9,5-4
AustinPeay,215,208,13-19,254,2-11,25,11-8,3-11,5-5,0-2,0-3,4-8,9-6,0-5,10-6
Jacksonville,216,220,14-13,305,2-3,21,12-10,6-7,5-5,0-1,0-0,4-5,10-7,0-1,10-7
Evansville,217,190,11-17,184,6-3,8,5-14,1-10,1-9,2-6,1-2,3-7,5-2,3-8,6-4
Troy,218,228,11-18,243,1-7,21,10-11,5-9,3-7,0-0,0-4,3-7,8-7,0-4,8-8
Lipscomb,219,225,14-12,281,3-2,21,11-10,4-9,6-4,0-1,0-1,3-3,11-7,0-2,11-7
