SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
Lipscomb,105,209,275,20-10,33,7-6,13-4,10-7,223,32,246,54,0-3,0-2,2-1,2-5
Bradley,106,153,109,19-13,104,9-3,10-10,4-9,136,293,105,255,1-2,0-2,8-5,3-6
SFA,107,227,318,24-7,105,7-3,17-4,9-5,321,284,295,124,0-1,0-2,4-1,1-3
Memphis,108,153,109,21-13,185,9-4,12-9,5-5,126,294,86,184,1-4,1-2,7-5,4-10
Iona,109,188,199,20-14,109,6-7,14-7,7-8,139,80,206,161,0-2,0-1,2-6,1-5
EasternMich.,110,173,158,18-13,152,6-5,12-8,7-9,147,261,154,285,0-1,2-2,4-2,2-3
NorthernKy.,111,207,262,20-10,121,5-6,15-4,8-6,229,58,240,100,0-1,0-2,2-5,1-6
UTArlington,112,190,203,20-13,107,8-4,12-9,5-10,157,250,230,142,0-0,2-4,2-4,2-4
Penn,113,208,267,23-9,163,9-7,14-2,9-4,271,243,204,110,0-2,0-2,4-2,0-4
Wisconsin,114,111,52,15-18,179,7-6,8-12,3-8,30,132,56,41,1-8,3-7,2-2,4-15
Radford,115,209,275,21-13,100,6-7,15-6,7-10,213,100,239,81,0-3,0-1,2-3,0-4
GeorgiaSt.,116,204,246,22-11,159,7-5,15-6,9-6,243,283,222,204,0-1,1-0,6-4,2-1
SMU,117,130,80,17-16,64,10-3,7-13,2-8,70,134,81,157,2-7,2-2,3-5,5-11
Wagner,118,226,315,21-10,123,5-5,16-5,7-9,265,168,304,129,0-0,0-3,0-2,0-4
NewMexico,119,147,99,18-15,256,4-8,14-7,4-8,104,116,103,86,0-3,1-6,9-4,4-10
Harvard,120,196,219,17-14,215,4-11,13-3,6-12,153,93,254,152,0-1,0-4,2-4,0-5
Hofstra,121,172,154,18-12,125,6-5,12-7,9-4,175,141,116,59,0-3,1-3,5-1,3-7
UCIrvine,122,164,131,16-17,154,3-11,13-6,7-10,85,11,219,146,0-1,0-6,4-8,0-9
EasternWash.,123,179,171,18-15,196,3-9,15-6,6-12,161,86,189,140,0-0,0-2,4-10,3-6
Indiana,124,129,75,16-15,206,7-5,9-10,3-8,82,236,67,119,0-7,2-3,6-1,3-10
BallSt.,125,167,142,18-13,110,8-4,10-9,5-10,179,272,125,162,0-1,2-2,4-6,3-4
UConn,126,114,58,14-18,116,7-6,7-12,2-9,36,42,68,36,0-9,2-3,2-6,3-15
UNCAsheville,127,197,227,19-13,118,5-7,14-6,7-10,178,59,236,45,0-2,1-2,2-3,1-5
Idaho,128,201,239,20-9,138,6-4,14-5,9-4,299,278,166,112,0-1,0-0,5-3,1-3
UCSantaBarbara,129,204,246,21-9,71,9-3,12-6,9-6,325,295,163,102,0-1,0-1,7-3,1-2
CalStFullerton,130,179,171,18-12,142,5-6,13-6,7-7,209,138,162,42,0-1,0-2,7-5,1-5
Vanderbilt,131,75,6,12-20,147,6-7,6-13,1-10,8,27,24,55,1-8,3-8,5-4,6-20
UNLV,132,160,123,20-13,88,11-2,9-11,5-6,169,302,106,190,1-3,2-3,3-7,5-6
SanFrancisco,133,165,138,21-17,129,11-7,10-10,4-9,100,78,161,265,1-3,1-4,4-4,3-8
MissouriSt.,134,150,103,17-15,83,9-3,8-12,4-8,118,172,123,320,1-1,2-0,3-10,4-6
JacksonvilleSt.,135,201,239,22-13,157,10-5,12-8,9-8,234,320,226,287,0-1,1-3,6-1,3-4
VCU,136,153,109,18-15,103,8-5,10-10,5-5,111,38,94,82,0-5,1-4,4-2,2-9
UNI,137,122,69,14-16,97,6-4,8-12,1-9,73,63,78,13,0-6,1-0,8-7,2-9
Canisius,138,208,267,21-12,225,6-8,15-4,8-8,258,238,238,291,0-2,0-0,3-4,1-3
SanDiego,139,175,163,19-14,106,10-4,9-10,8-6,144,165,156,281,0-2,2-5,3-2,3-8
OregonSt.,140,123,71,16-16,207,8-4,8-12,1-9,91,311,66,207,0-2,5-8,3-4,6-13
Wofford,141,178,166,18-13,136,6-5,12-8,7-7,196,184,159,34,1-1,0-3,3-5,3-7
IowaSt.,142,97,26,13-18,126,9-3,4-15,0-10,54,241,32,197,2-7,3-8,3-2,6-17
GaSouthern,143,203,243,19-12,119,7-4,12-8,8-7,261,291,208,134,0-0,0-1,3-6,0-2
CentralMich.,144,178,166,18-15,78,10-3,8-12,6-9,167,286,155,311,0-3,0-2,3-5,0-5
OleMiss,145,83,7,12-20,143,7-6,5-14,1-10,22,56,41,136,0-7,5-8,3-5,6-19
Albany(NY),146,220,303,21-10,81,11-3,10-7,8-7,306,300,259,262,0-0,0-3,4-2,0-3
NichollsSt.,147,214,288,17-11,174,2-7,15-4,8-7,226,26,322,188,0-1,0-2,0-6,0-3
SoutheasternLa.,148,218,298,19-12,222,3-8,16-4,10-8,262,189,315,246,0-0,0-2,4-3,0-4
SaintJoseph's,149,160,123,16-16,189,5-7,11-9,4-9,129,146,101,69,2-3,0-3,3-4,3-7
UAB,150,178,166,18-13,199,7-4,11-9,5-6,187,314,144,223,0-4,1-3,2-2,2-8
Evansville,151,147,99,15-15,67,8-3,7-12,2-10,110,139,110,300,0-3,0-0,6-8,1-6
Dayton,152,143,91,14-17,93,6-6,8-11,1-10,57,2,127,236,1-3,1-3,6-6,2-6
SaintLouis,153,151,106,16-16,167,6-6,10-10,3-8,107,62,100,94,0-4,2-4,3-3,3-8
Towson,154,178,166,16-14,55,8-3,8-11,4-9,171,170,176,329,0-0,1-4,5-3,3-5
Iowa,155,126,74,14-19,120,9-4,5-15,1-10,69,222,79,277,0-7,0-7,4-3,1-14
KentSt.,156,157,116,16-17,197,5-7,11-10,2-11,97,113,150,258,1-4,0-2,5-5,1-7
UtahSt.,157,151,106,16-17,184,6-6,10-11,2-11,115,188,120,241,0-3,3-4,6-5,3-9
WeberSt.,158,196,219,17-11,220,4-5,13-6,7-4,245,183,203,210,0-0,0-1,3-8,2-4
Northwestern,159,129,75,14-17,182,8-4,6-13,3-9,101,321,60,131,1-5,1-7,1-3,2-12
TennesseeTech,160,191,209,17-14,144,6-5,11-9,5-10,222,273,193,137,0-1,0-2,2-9,0-6
Georgetown,161,132,83,15-15,177,10-1,5-14,4-7,121,351,64,347,0-4,2-9,2-1,4-14
WakeForest,162,105,42,11-20,166,7-5,4-15,3-8,46,157,37,203,0-8,3-6,0-3,3-16
Mercer,163,190,203,17-15,169,6-7,11-8,7-9,207,204,181,165,0-1,1-2,2-8,1-9
Drake,164,150,103,16-17,259,6-8,10-9,4-11,159,317,95,150,0-2,0-1,8-10,2-8
GeorgiaTech,165,111,52,13-19,223,7-6,6-13,1-10,49,163,61,306,1-7,2-4,2-6,4-16
Winthrop,166,212,282,16-12,183,3-5,13-7,7-8,251,193,278,166,0-1,0-0,3-6,1-3
Minnesota,167,129,75,15-17,84,11-2,4-15,2-9,116,287,69,117,0-6,3-4,2-6,3-10
PortlandSt.,168,188,199,17-14,94,7-4,10-10,10-6,252,255,169,28,0-1,0-2,4-9,1-6
Niagara,169,203,243,19-14,181,7-7,12-7,10-7,239,221,251,303,1-1,0-1,2-5,1-3
Miami(OH),170,164,131,14-18,168,5-7,9-11,6-11,127,176,133,226,1-2,0-3,4-3,2-5
FGCU,171,212,282,20-12,186,6-9,14-3,9-6,284,126,242,132,0-4,0-0,3-3,1-5
AustinPeay,172,186,193,17-15,263,4-8,13-7,5-9,181,173,187,65,0-1,0-3,2-8,0-7
WesternMich.,173,164,131,15-15,210,6-5,9-10,6-6,158,305,132,216,0-2,0-2,5-7,0-7
Tulane,174,145,96,14-17,80,9-3,5-14,3-8,109,180,98,296,1-4,1-3,3-8,2-10
GrandCanyon,175,206,256,21-12,241,10-6,11-6,3-7,292,325,212,327,0-0,0-5,2-3,2-7
IndianaSt.,176,129,75,11-18,237,3-7,8-11,5-7,83,105,91,135,1-2,0-2,7-8,2-8
WashingtonSt.,177,120,66,12-19,91,8-4,4-15,1-10,65,60,85,331,0-1,3-10,2-7,4-14
Richmond,178,144,93,12-20,246,2-10,10-10,4-8,72,29,113,147,0-4,2-3,3-7,2-9
Illinois,179,130,80,13-18,99,9-3,4-15,1-9,75,174,84,292,0-5,2-4,2-7,3-9
Oakland,180,207,262,19-14,72,8-5,11-9,7-8,272,109,225,101,0-2,0-2,3-4,0-6
Valparaiso,181,147,99,13-17,115,7-4,6-13,3-12,148,289,95,173,0-3,0-0,6-12,2-5
SaintFrancis(PA),182,223,307,16-13,145,4-6,12-7,7-10,275,151,303,170,0-1,0-2,0-3,0-3
Fairfield,183,197,227,17-16,130,5-6,12-10,3-10,193,46,245,304,0-2,0-1,2-7,0-6
UTSA,184,195,216,17-15,238,5-7,12-8,6-8,238,253,178,276,0-1,1-3,2-4,2-7
DePaul,185,112,55,11-20,252,7-5,4-15,4-7,80,326,49,251,0-5,2-10,1-3,3-17
SamHoustonSt.,186,206,256,17-15,198,4-8,13-7,5-10,232,106,296,118,0-0,0-2,2-10,0-5
Pacific,187,162,127,13-18,217,4-8,9-10,6-9,117,101,142,209,0-3,1-4,3-8,1-9
NorthTexas,188,186,193,18-18,98,10-7,8-11,6-11,183,96,182,225,0-1,0-4,6-3,0-6
Yale,189,204,246,15-15,202,6-9,9-6,7-12,254,251,256,193,0-2,0-2,1-7,0-4
SeattleU,190,193,212,17-14,224,8-7,9-7,2-10,230,258,190,259,0-0,1-4,3-3,2-6
TennesseeSt.,191,187,195,13-15,133,3-6,10-9,6-9,168,34,210,133,0-3,0-2,4-4,1-6
LouisianaTech,192,180,174,15-16,132,7-4,8-12,1-10,140,160,195,301,0-2,0-6,2-3,0-9
Colgate,193,226,315,18-14,262,4-7,14-7,6-11,282,264,294,217,0-0,0-1,1-7,0-5
LongBeachSt.,194,164,131,13-18,180,4-10,9-8,6-10,154,77,147,16,0-3,0-2,5-10,1-5
BowlingGreen,195,180,174,14-16,172,7-4,7-12,6-9,192,287,172,342,0-2,0-2,3-6,0-4
GeorgeWashington,196,158,118,15-18,151,7-6,8-12,1-10,124,74,111,153,0-4,1-5,3-5,1-10
Troy,197,192,210,14-17,233,4-7,10-10,4-10,151,197,264,237,0-1,0-3,3-5,1-4
GeorgeMason,198,177,165,16-17,247,6-7,10-10,5-7,182,225,129,283,0-3,0-3,5-5,0-7
SavannahSt.,199,205,251,13-17,178,1-12,12-5,4-13,156,1,317,24,0-6,0-2,0-4,0-10
Rutgers,200,136,87,14-19,239,9-3,5-16,0-9,90,334,80,299,0-8,1-5,4-1,1-13
RobertMorris,201,217,296,16-17,134,6-7,10-10,9-11,236,156,310,218,0-2,0-1,1-5,1-3
Navy,202,239,337,19-12,153,8-4,11-8,9-6,324,316,323,330,0-1,0-0,0-4,0-3
Hartford,203,220,303,18-14,265,6-8,12-6,9-6,281,309,293,328,0-0,1-1,1-8,1-3
SouthernMiss.,204,170,148,12-18,214,3-6,9-12,2-11,123,148,167,211,1-3,0-4,0-6,1-10
LaSalle,205,158,118,13-19,150,6-7,7-12,2-10,119,67,107,128,0-5,1-1,4-7,1-8
Ohio,206,153,109,13-17,191,6-5,7-12,2-10,135,208,122,151,0-3,1-3,2-7,1-7
Monmouth,207,167,142,11-20,122,4-8,7-12,4-12,93,13,201,121,0-2,0-1,4-8,2-4
Ill.-Chicago,208,213,287,18-16,230,6-9,12-7,9-8,268,213,269,245,0-2,0-0,0-7,0-6
Elon,209,168,145,12-18,77,6-5,6-13,4-12,143,88,168,280,0-1,1-4,4-5,1-8
Liberty,210,215,289,19-15,195,8-5,11-10,7-6,248,219,311,341,0-1,0-1,4-4,0-2
StonyBrook,211,189,202,12-19,221,4-9,8-10,6-11,134,111,268,180,0-1,0-5,2-7,0-7
TexasSouthern,212,212,282,16-20,192,1-14,15-6,5-17,249,3,299,1,0-6,0-5,0-1,0-12
BostonU.,213,221,305,14-16,254,3-7,11-9,9-9,244,249,314,289,0-1,0-1,1-5,1-4
NorthDakotaSt.,214,187,195,12-17,164,6-7,6-10,5-10,188,185,214,202,0-1,0-5,2-4,0-6
Hawaii,215,183,183,15-13,162,7-4,8-9,4-5,233,115,196,192,0-2,1-1,5-5,2-3
Pittsburgh,216,104,40,8-24,155,8-5,0-19,0-10,28,97,70,337,0-8,0-8,2-5,0-21
Lehigh,217,226,315,15-14,231,4-6,11-8,7-8,288,262,288,145,0-1,0-1,1-1,1-3
WesternCaro.,218,174,160,11-19,203,3-8,8-11,4-12,141,89,185,130,0-3,0-3,1-8,0-11
FortWayne,219,205,251,14-15,204,7-7,7-8,4-10,277,276,227,279,0-1,0-2,1-4,0-4
CentralArk.,220,216,295,17-17,240,6-8,11-9,8-11,305,330,289,155,0-0,0-3,1-9,0-4
NorthDakota,221,169,147,10-20,165,3-7,7-13,2-13,94,41,265,211,0-1,0-3,1-11,0-10
NorthFlorida,222,190,203,11-19,188,3-11,8-8,4-16,184,37,243,77,0-3,0-3,2-5,0-7
California,223,112,55,8-23,200,6-6,2-17,3-8,71,140,73,261,0-3,1-11,4-4,2-17
La.-Monroe,224,200,235,13-16,261,3-6,10-10,3-11,215,150,282,333,0-1,0-2,4-5,0-3
CSUBakersfield,225,164,131,9-18,160,4-8,5-10,2-12,114,39,192,229,0-1,0-4,3-6,0-8
Akron,226,165,138,13-18,253,6-5,7-13,2-10,170,310,139,263,0-2,0-4,2-7,0-7
Milwaukee,227,215,289,15-16,171,6-5,9-11,6-9,280,248,272,215,1-0,0-0,3-5,3-2
MtStMary's,228,237,333,16-14,279,4-7,12-7,6-11,335,346,302,247,0-0,0-1,1-2,0-2
Denver,229,198,231,13-15,297,4-8,9-7,3-9,256,301,207,214,0-0,0-2,2-6,1-5
Princeton,230,197,227,12-16,137,7-7,5-9,5-9,242,158,215,103,0-2,1-2,0-5,1-4
Manhattan,231,197,227,14-17,243,5-7,9-10,5-8,270,270,197,242,0-0,0-1,2-9,0-4
LamarUniversity,232,234,326,15-14,201,4-6,11-8,8-7,322,214,330,309,0-0,0-0,3-4,1-1
Delaware,233,167,142,12-19,229,5-6,7-13,4-10,198,259,152,228,0-1,0-6,0-8,0-10
UTRGV,234,195,216,13-18,227,7-9,6-9,6-10,237,246,217,316,0-1,0-2,1-6,0-6
ColoradoSt.,235,140,89,10-21,187,6-6,4-15,3-10,122,187,97,96,0-2,0-8,3-8,2-11
NorthernIll.,236,164,131,11-19,260,5-6,6-13,1-13,149,312,146,274,1-1,0-3,3-8,1-4
LIUBrooklyn,237,236,329,17-17,301,4-9,13-8,5-11,297,303,331,338,0-0,0-0,2-2,0-0
NewOrleans,238,219,301,13-17,284,1-9,12-8,5-13,287,72,313,186,0-1,0-1,0-9,0-3
Hampton,239,237,333,16-16,272,2-11,14-5,5-11,327,118,326,92,0-2,0-0,0-5,0-6
Gardner-Webb,240,196,219,11-18,235,2-8,9-10,3-13,204,98,266,107,0-2,0-2,2-4,0-6
N.CA&T,241,260,347,18-15,211,5-9,13-6,5-13,345,224,345,288,0-1,0-1,0-2,0-3
Massachusetts,242,163,129,13-20,212,7-6,6-14,1-11,172,227,108,178,0-3,1-2,4-6,2-6
Drexel,243,172,154,12-20,234,5-7,7-13,2-12,186,242,160,239,1-0,2-4,2-5,5-5
UNCW,244,155,115,9-21,312,1-9,8-12,2-11,113,122,158,224,0-1,0-7,3-6,0-12
PrairieView,245,230,321,15-18,190,2-11,13-7,5-15,319,24,338,108,0-2,0-3,1-4,0-6
Grambling,246,261,348,16-14,205,3-9,13-5,11-10,343,166,351,305,0-0,0-0,1-3,0-0
TexasSt.,247,210,277,13-18,283,5-6,8-12,6-9,260,348,291,343,0-0,0-3,1-6,0-3
Cornell,248,208,267,11-16,193,5-7,6-9,4-11,259,207,277,254,0-1,1-2,0-5,1-3
SouthernUtah,249,182,178,11-19,173,4-5,7-14,2-13,195,230,224,77,0-1,0-1,3-12,0-5
AppalachianSt.,250,206,256,13-18,286,3-8,10-10,4-11,291,277,194,126,0-1,1-1,1-6,1-2
CoastalCaro.,251,195,216,11-18,218,3-7,8-11,5-7,206,71,261,273,0-0,0-3,2-5,0-4
AirForce,252,166,141,10-19,287,4-6,6-13,3-11,180,313,140,326,0-1,0-4,3-9,0-7
SaintPeter's,253,208,267,14-18,228,6-5,8-13,3-12,311,340,216,314,0-0,0-1,1-8,1-3
