SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,OPPSOS,NCOPPSOS,1-50,51-100,101-200,VTOP100
Villanova,1,85,9,36-4,1,19-0,17-4,9-3,5,16,11,8,8-0,13-3,8-1,22-4
Virginia,2,90,16,31-3,12,11-2,20-1,10-1,15,47,12,61,7-1,10-1,5-1,19-2
Kansas,3,68,1,31-8,4,15-3,16-5,7-3,2,4,5,2,10-2,12-4,5-2,24-8
Xavier,4,95,23,29-6,10,13-2,16-4,10-2,23,48,19,31,1-2,10-4,10-0,18-6
Duke,5,91,19,29-8,2,14-2,15-6,6-5,13,15,20,52,5-4,7-2,8-2,16-8
NorthCarolina,6,71,2,26-11,9,12-3,14-8,7-5,1,14,3,5,7-7,6-3,7-1,18-10
Cincinnati,7,122,69,31-5,30,12-3,19-2,9-2,38,102,75,109,4-4,4-1,13-0,12-5
Michigan,8,107,45,32-8,17,15-3,17-5,6-5,24,66,51,29,7-5,7-1,9-2,15-7
Purdue,9,110,51,30-7,21,13-3,17-4,8-2,31,61,47,19,3-5,9-1,6-1,12-6
Tennessee,10,86,11,26-9,13,11-3,15-6,8-4,18,20,9,26,4-5,5-3,12-1,15-9
Clemson,11,90,16,25-10,7,13-2,12-8,4-6,6,25,28,47,4-5,6-5,6-0,14-10
Kentucky,12,73,3,26-11,6,13-3,13-8,4-6,4,7,6,20,4-5,9-5,9-1,18-11
Nevada,13,123,71,29-8,8,13-4,16-4,12-3,35,9,88,23,2-3,5-2,14-3,10-6
LoyolaChicago,14,138,88,31-6,18,13-3,18-3,9-4,84,75,87,80,3-1,2-1,15-2,11-2
MichiganSt.,15,129,75,30-5,37,13-2,17-3,8-1,88,205,50,45,2-4,4-1,10-0,8-5
Auburn,16,97,26,26-8,14,13-2,13-6,7-4,50,52,29,90,3-2,6-5,11-1,13-8
Arizona,17,104,40,27-8,53,10-4,17-4,8-3,59,92,34,9,1-2,9-4,10-2,14-7
TexasTech,18,100,31,27-10,20,15-2,12-8,4-6,33,110,30,85,6-4,7-4,7-2,16-9
OhioSt.,19,103,39,25-9,48,10-5,15-4,6-2,16,19,57,40,3-5,4-4,9-0,9-9
Houston,20,134,85,27-8,50,11-3,16-5,7-5,68,167,76,114,3-4,5-0,7-2,11-5
WichitaSt.,21,109,49,25-8,39,10-3,15-5,9-2,37,82,55,39,2-3,6-2,9-3,13-7
Gonzaga,22,157,116,32-5,27,12-4,20-1,10-1,98,55,102,22,2-1,8-4,6-0,10-5
RhodeIsland,23,132,83,26-8,16,9-4,17-4,7-4,52,5,82,15,1-4,5-3,8-1,6-7
WestVirginia,24,100,31,26-11,46,13-3,13-8,5-5,26,137,17,71,4-8,10-1,4-2,17-10
TexasA&M,25,74,5,22-13,3,13-3,9-10,4-7,7,8,2,6,5-5,6-6,7-2,14-13
Buffalo,26,143,91,26-9,31,8-6,18-3,8-5,60,6,112,66,1-4,2-2,9-1,3-6
StBonaventure,27,146,98,26-8,23,11-3,15-5,9-4,87,54,99,83,2-2,6-3,5-2,8-5
TCU,28,85,9,21-12,11,12-2,9-10,3-7,11,45,26,70,3-5,4-6,10-1,11-11
Miami(FL),29,116,61,22-10,26,11-2,11-8,8-4,47,104,54,253,2-5,5-3,2-1,9-9
MiddleTenn.,30,150,103,24-8,24,8-5,16-3,12-2,74,12,117,37,0-2,5-2,4-3,5-7
SetonHall,31,100,31,22-12,22,12-3,10-9,5-6,25,68,21,32,1-6,7-4,6-0,10-10
WesternKy.,32,144,93,26-11,43,10-6,16-5,9-5,51,30,119,18,1-3,4-1,9-5,10-6
Syracuse,33,89,14,23-14,5,14-2,9-12,4-6,9,10,14,33,5-8,5-2,4-2,11-12
Arkansas,34,90,16,23-12,40,11-3,12-9,3-7,55,135,1,11,3-6,4-4,10-2,12-12
FloridaSt.,35,111,52,23-12,25,14-2,9-10,4-7,58,161,27,50,5-5,5-3,1-3,11-11
Providence,36,98,29,21-14,114,9-5,12-9,4-7,12,119,35,106,3-6,5-5,6-0,13-11
SouthernCalifornia,37,108,47,24-12,73,10-5,14-7,6-5,40,51,58,89,1-3,6-6,10-2,10-10
KansasSt.,38,102,36,25-12,74,14-3,11-9,6-5,66,254,10,49,3-9,6-2,8-1,12-12
Butler,39,97,26,21-14,51,11-4,10-10,3-7,19,87,23,38,2-6,7-6,3-1,11-13
Utah,40,107,45,23-12,36,12-4,11-8,6-6,56,94,59,93,0-2,8-8,8-2,11-11
Alabama,41,73,3,20-16,42,10-5,10-11,2-8,3,22,15,35,6-6,5-5,6-4,14-13
Louisville,42,98,29,22-14,47,12-4,10-10,4-7,10,49,42,105,1-9,4-5,7-0,8-14
Florida,43,84,8,21-13,54,10-5,11-8,5-4,27,31,4,14,7-5,5-3,4-5,15-11
UCLA,44,106,43,21-12,62,9-4,12-8,3-7,53,64,40,27,2-4,5-4,6-4,9-11
PennSt.,45,124,73,26-13,44,15-3,11-10,6-7,67,177,65,91,3-5,6-3,6-4,11-9
SaintMary's(CA),46,171,151,30-6,58,13-3,17-3,10-1,166,159,109,73,1-1,4-2,9-2,5-4
NewMexicoSt.,47,182,178,25-6,35,10-4,15-2,8-3,177,69,138,43,1-1,1-2,4-2,3-4
SouthDakotaSt.,48,182,178,24-7,85,8-6,16-1,8-4,165,117,128,3,1-3,0-0,5-4,1-5
Missouri,49,89,14,19-13,60,9-4,10-9,5-6,43,90,16,48,3-4,3-5,9-3,10-11
Creighton,50,109,49,20-12,89,10-3,10-9,4-7,61,231,37,172,1-4,5-8,4-0,8-12
MurraySt.,51,190,203,24-6,112,6-4,18-2,10-3,160,131,202,72,0-3,0-0,8-3,4-4
Texas,52,87,12,19-15,59,10-4,9-11,4-7,21,81,7,25,3-10,4-4,7-1,8-15
Oklahoma,53,87,12,18-14,41,10-3,8-11,2-9,29,130,8,30,5-5,4-6,4-3,10-13
Nebraska,54,134,85,22-11,158,9-5,13-6,4-8,95,268,63,99,1-5,2-3,6-2,4-10
MississippiSt.,55,115,60,24-12,32,14-2,10-10,4-8,92,194,36,174,1-5,6-4,9-3,11-10
Davidson,56,153,109,21-12,170,5-7,16-5,6-8,81,99,89,74,4-6,0-1,4-1,4-7
BoiseSt.,57,154,114,22-9,70,9-3,13-6,6-6,128,232,92,56,1-2,2-2,8-5,5-5
Northeastern,58,158,118,22-10,49,6-5,16-5,9-5,102,23,134,95,0-2,1-3,8-4,4-7
Temple,59,102,36,17-16,28,8-5,9-11,4-9,14,21,53,10,3-7,1-1,8-5,7-11
Marquette,60,101,35,21-14,92,11-4,10-10,5-5,32,120,31,58,0-7,7-4,5-2,9-13
ColofCharleston,61,184,186,24-8,140,7-4,17-4,7-6,200,281,141,199,0-3,3-0,5-2,5-4
Vermont,62,196,219,26-8,45,9-6,17-2,12-5,173,79,221,123,0-3,0-2,7-2,0-6
Washington,63,114,58,21-13,29,11-4,10-9,5-6,45,17,74,175,2-1,3-8,7-4,9-11
SanDiegoSt.,64,145,96,21-11,128,7-4,14-7,4-7,96,171,93,57,3-2,1-2,8-5,6-5
Louisiana,65,198,231,25-7,69,8-4,17-3,10-4,217,175,179,67,0-1,0-0,6-5,0-3
UNCG,66,196,219,24-8,141,6-5,18-3,8-6,199,190,177,111,0-2,1-0,7-2,5-3
Oregon,67,120,66,23-13,111,11-4,12-9,4-7,79,199,72,198,1-1,6-8,5-3,9-10
BYU,68,164,131,24-11,52,11-3,13-8,7-6,112,147,131,163,0-3,2-3,8-3,4-7
VirginiaTech,69,119,63,21-12,135,11-3,10-9,6-5,89,329,33,120,4-5,2-5,5-2,8-11
Baylor,70,94,22,18-15,79,10-4,8-11,2-9,20,85,48,221,2-9,4-5,5-1,8-14
Maryland,71,116,61,18-13,38,10-2,8-11,2-8,39,152,71,170,0-8,2-3,7-2,3-11
NCState,72,119,63,21-12,156,10-4,11-8,4-5,78,245,46,194,4-5,4-3,2-3,10-10
ArizonaSt.,73,108,47,20-12,15,12-1,8-11,4-6,86,136,25,4,2-2,5-5,6-5,9-11
OldDominion,74,187,195,25-7,95,9-3,16-4,10-3,224,292,135,113,0-1,0-4,5-2,2-6
Toledo,75,162,127,22-11,113,7-5,15-6,9-6,106,112,145,230,0-3,0-1,6-6,0-6
Montana,76,190,203,24-8,174,5-6,19-2,8-6,240,201,157,63,0-1,0-2,6-5,3-4
Rider,77,188,199,22-10,66,7-6,15-4,8-8,145,44,209,160,0-1,1-2,4-3,1-3
Marshall,78,176,164,24-11,108,9-5,15-6,6-8,131,202,151,176,3-2,2-4,1-2,5-7
NotreDame,79,113,57,20-15,101,10-4,10-11,5-7,62,164,45,187,1-8,4-4,4-2,8-12
Georgia,80,96,24,18-15,65,9-3,9-12,4-9,63,206,22,143,1-6,7-5,5-3,10-13
Bucknell,81,205,251,25-10,117,6-8,19-2,10-8,190,83,229,17,0-2,1-3,1-2,1-5
Belmont,82,185,188,24-9,96,8-5,16-4,9-6,189,145,170,64,1-1,2-3,3-4,3-4
IllinoisSt.,83,120,66,17-15,90,5-6,12-9,3-10,44,18,90,83,0-4,0-3,12-3,5-8
Colorado,84,106,43,17-15,87,8-4,9-11,1-10,34,103,62,158,1-3,6-7,3-3,9-10
OklahomaSt.,85,100,31,21-15,131,12-4,9-11,3-7,64,265,13,62,4-7,4-8,4-0,10-15
Stanford,86,102,36,19-16,146,7-8,12-8,4-7,42,35,44,21,0-5,9-5,3-3,10-12
UCF,87,130,80,19-13,75,9-3,10-10,5-6,77,144,77,141,0-7,3-2,6-4,4-11
LSU,88,96,24,18-15,68,10-4,8-11,3-8,48,76,39,164,4-3,5-6,3-6,9-13
Tulsa,89,142,90,19-12,149,7-5,12-7,5-7,103,178,83,158,0-4,2-1,5-6,3-8
SouthCarolina,90,92,20,16-16,82,8-4,8-12,4-8,41,129,18,53,2-6,1-8,7-2,7-15
UtahValley,91,180,174,20-11,63,9-6,11-5,6-9,138,57,175,185,0-2,1-2,4-2,1-4
WilliamMary,92,159,121,17-12,34,5-4,12-8,7-8,99,33,149,125,0-2,2-4,3-4,3-7
ETSU,93,193,212,23-9,102,7-4,16-5,11-4,197,181,205,219,0-2,1-2,5-3,3-5
BostonCollege,94,119,63,19-16,127,10-4,9-12,2-11,76,275,52,249,2-6,3-8,0-2,5-16
StJohn's(NY),95,93,21,15-17,19,10-2,5-15,2-7,17,50,43,144,2-4,3-10,4-0,6-14
Furman,96,185,188,21-10,76,7-4,14-6,7-6,176,106,173,97,0-2,1-3,4-3,2-7
SouthernIll.,97,152,108,19-13,148,7-5,12-8,5-8,108,169,114,315,0-3,0-2,8-5,1-7
WrightSt.,98,206,256,23-10,86,6-6,17-4,8-7,219,40,228,51,0-2,1-2,3-1,1-4
NorthernColo.,99,185,188,23-12,61,10-4,13-8,7-8,155,148,237,227,0-0,0-0,7-10,1-4
Wyoming,100,144,93,19-13,57,8-4,11-9,5-7,105,53,104,147,1-2,4-2,5-7,5-6
UCDavis,101,182,178,20-11,56,7-6,13-5,9-7,201,65,171,59,0-1,0-2,5-7,2-4
SouthDakota,102,200,235,22-9,124,9-5,13-4,9-5,257,269,174,122,0-2,1-3,1-1,1-6
FresnoSt.,103,161,125,19-11,139,8-3,11-8,8-4,137,297,118,267,0-2,2-4,5-5,3-7
UMBC,104,205,251,22-11,161,7-7,15-4,9-7,202,217,260,191,1-1,1-4,3-3,2-5
