SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Manhattan,274,200,249,12-19,264,6-5,18,6-14,5-11,4-8,0-0,1-2,2-10,9-7,1-2,9-10
Marist,115,161,139,18-14,111,6-6,18,12-8,6-7,5-7,0-3,1-4,8-6,9-1,1-7,12-3
Marquette,20,109,35,23-9,28,10-1,5,13-8,5-5,8-4,4-8,3-1,9-0,7-0,7-9,11-0
Marshall,144,147,109,14-14,100,6-5,10,8-9,3-8,6-6,0-3,3-4,5-5,6-2,3-7,9-4
Maryland,85,106,24,18-14,55,10-5,1,8-9,5-4,6-6,1-5,5-5,9-4,3-0,6-10,5-0
Massachusetts,43,124,72,21-10,37,11-3,7,10-7,7-6,8-4,1-5,5-2,10-3,5-0,6-7,9-1
McNeese St.,230,188,214,10-16,267,4-7,17,6-9,5-11,5-7,0-1,0-3,5-6,5-6,0-4,7-10
Md.-East. Shore,338,216,298,4-28,322,2-13,30,2-15,0-18,2-10,0-1,0-3,1-6,3-18,0-4,3-20
Memphis,3,119,59,33-1,2,14-1,10,19-0,10-0,11-1,6-1,9-0,11-0,7-0,15-1,10-0
Mercer,315,232,326,10-19,326,8-11,23,2-8,4-11,3-9,1-0,0-1,0-10,9-8,1-1,9-14
Miami (Fla.),34,112,38,21-10,25,12-1,1,9-9,4-6,7-5,3-3,5-4,7-3,6-0,8-7,7-0
Miami (Ohio),74,121,65,17-15,50,6-7,12,11-8,4-10,7-5,3-7,2-5,4-2,8-1,5-12,10-1
Michigan,171,111,37,10-22,139,4-8,6,6-14,2-10,5-7,1-13,0-2,6-5,3-2,1-15,7-5
Michigan St.,16,114,45,25-8,8,12-1,6,13-7,4-6,6-6,6-6,2-0,11-2,6-0,8-6,11-2
Middle Tenn.,111,158,132,16-15,121,2-7,15,14-8,5-8,8-4,2-6,1-3,3-2,10-4,3-9,12-6
Milwaukee,178,145,105,13-16,159,4-6,11,9-10,5-8,4-8,0-5,3-4,3-4,7-3,3-9,8-3
Minnesota,99,139,96,20-13,91,10-2,6,10-11,4-8,6-6,2-9,0-1,9-3,9-0,2-10,18-0
Mississippi,46,123,70,21-10,10,14-0,4,7-10,2-7,5-7,5-3,2-1,9-6,5-0,7-4,9-3
Mississippi St.,39,119,59,22-10,94,9-5,4,13-5,7-4,8-4,2-7,2-2,14-1,4-0,4-9,12-0
Mississippi Val.,224,236,332,15-15,250,0-9,31,15-6,6-9,10-2,0-5,0-1,0-2,15-7,0-6,15-8
Missouri,116,114,45,16-16,84,10-5,3,6-11,2-9,4-8,3-9,2-5,5-2,6-0,5-14,11-1
Missouri St.,122,124,72,16-16,92,7-5,8,9-11,2-11,6-6,1-8,1-2,10-5,4-1,2-10,6-3
Monmouth,295,195,237,7-24,293,3-9,24,4-15,3-12,2-10,0-1,1-0,1-15,5-8,1-1,6-16
Montana,229,204,261,12-16,190,4-7,26,8-9,5-10,7-5,0-2,0-4,1-6,11-4,0-6,12-7
Montana St.,236,206,266,13-15,167,6-5,26,7-10,3-12,5-7,0-1,1-5,1-4,11-5,1-6,11-8
Morehead St.,232,218,307,13-15,258,1-6,29,12-9,4-12,6-6,0-2,0-3,0-3,13-7,0-5,13-9
Morgan St.,134,217,301,21-10,181,5-7,30,16-3,7-7,10-2,0-2,1-2,3-2,17-4,1-4,18-4
Mt. St. Mary's,159,196,241,18-14,202,4-7,24,14-7,10-7,9-3,0-1,0-2,6-9,12-2,0-3,15-7
Murray St.,189,219,309,16-13,164,2-5,29,14-8,4-9,6-6,0-2,1-2,1-2,14-7,1-4,14-7
N.C. A&T,233,202,257,11-16,199,2-8,30,9-8,5-11,5-7,0-4,0-1,1-5,10-6,0-5,11-6
N.C. Central,278,158,132,3-23,279,2-20,32,1-3,1-20,3-9,0-5,0-4,0-6,3-8,0-9,3-10
NJIT,341,217,301,0-29,338,0-20,32,0-9,0-15,0-12,0-0,0-2,0-8,0-19,0-2,0-24
Navy,214,214,294,16-14,309,7-8,16,9-6,8-7,8-4,0-0,2-1,3-6,11-7,2-1,12-11
Nebraska,96,134,87,19-12,105,11-2,3,8-10,2-8,6-6,3-8,3-1,4-3,9-0,6-9,11-2
Nevada,75,174,169,20-11,86,7-6,20,13-5,7-9,8-4,0-2,2-5,6-3,12-1,2-7,15-2
New Hampshire,305,210,281,8-20,317,2-9,27,6-11,3-10,4-8,0-0,0-3,3-7,5-10,0-3,8-15
New Mexico,60,160,137,24-8,63,13-2,9,11-6,8-5,8-4,1-4,5-2,7-2,11-0,6-6,16-1
New Mexico St.,124,170,157,20-14,162,6-9,20,14-5,5-8,10-2,0-4,5-6,0-3,15-1,5-10,15-1
New Orleans,165,189,218,17-13,124,8-2,15,9-11,9-5,5-7,0-4,0-0,8-5,9-4,0-4,13-7
Niagara,117,192,224,19-10,123,7-3,18,12-7,8-7,8-4,0-0,0-2,10-5,9-3,0-2,14-4
Nicholls St.,248,172,164,9-21,216,5-11,17,4-10,3-15,4-8,0-3,1-4,2-9,6-5,1-7,8-10
Norfolk St.,259,251,338,16-15,337,4-9,30,12-6,6-13,7-5,0-0,0-1,2-4,14-10,0-1,14-12
North Carolina,2,96,5,31-2,3,15-0,1,16-2,13-0,11-1,9-1,11-1,7-0,5-0,20-2,5-0
North Carolina St.,102,105,20,15-16,66,11-3,1,4-13,2-9,2-10,2-8,4-4,5-3,4-1,6-12,5-2
North Dakota St.,194,203,258,14-13,207,11-13,32,3-0,4-11,8-4,0-0,1-6,0-3,13-4,1-6,13-6
North Fla.,340,213,287,2-26,333,1-20,32,1-6,0-16,2-10,0-2,0-4,0-5,2-15,0-6,2-19
North Texas,141,187,210,17-11,43,6-2,15,11-9,4-8,8-4,1-3,1-0,5-5,10-3,2-3,13-6
Northeastern,170,171,161,14-17,222,4-7,13,10-10,6-13,7-5,0-1,1-6,4-6,9-4,1-7,12-5
Northern Ariz.,139,198,246,19-11,110,7-5,26,12-6,6-7,7-5,1-3,0-4,4-0,14-4,1-7,18-4
Northern Colo.,277,217,301,11-16,255,5-6,26,6-10,3-12,5-7,0-1,1-2,2-4,8-9,1-3,9-12
Northern Ill.,296,153,122,6-22,204,3-9,12,3-13,1-12,2-10,0-3,1-4,4-8,1-7,1-7,4-10
Northwestern,223,119,59,7-22,154,6-4,6,1-18,3-10,1-11,0-11,0-3,2-8,5-0,0-14,6-5
Northwestern St.,188,178,181,12-16,271,3-9,17,9-7,4-10,7-5,0-2,2-4,3-6,7-5,2-6,9-8
Notre Dame,27,122,67,24-7,85,10-2,5,14-5,5-4,9-3,5-6,2-1,9-0,8-0,7-7,13-0
Oakland,169,185,204,15-14,149,7-6,22,8-8,5-9,8-4,0-2,2-4,2-4,11-4,2-6,13-6
Ohio,77,147,109,19-12,38,10-4,12,9-8,5-9,6-6,1-4,4-4,6-2,8-2,5-8,12-3
Ohio St.,49,108,29,19-13,24,9-4,6,10-9,4-8,5-7,2-10,5-1,6-2,6-0,7-11,9-2
Oklahoma,28,106,24,22-11,31,12-3,3,10-8,5-6,7-5,6-8,5-2,6-1,5-0,11-10,10-1
Oklahoma St.,73,96,5,16-15,93,8-5,3,8-10,2-8,7-5,3-10,3-2,7-3,3-0,6-12,6-1
Old Dominion,129,150,117,17-15,116,6-7,13,11-8,5-8,8-4,0-4,3-3,3-8,11-0,3-7,14-4
Oral Roberts,52,182,193,23-8,122,7-7,22,16-1,8-6,9-3,0-4,4-2,5-1,14-1,4-6,18-2
Oregon,58,108,29,18-13,64,9-3,2,9-10,5-8,6-6,4-9,4-2,4-2,6-0,8-11,7-1
Oregon St.,269,128,80,6-24,298,6-5,2,0-19,2-10,0-12,0-11,0-6,0-4,6-3,0-17,6-5
Pacific,140,197,243,20-10,160,9-4,19,11-6,8-6,7-5,0-0,3-3,4-4,13-3,3-3,15-5
Penn,260,196,241,13-18,291,5-12,25,8-6,4-10,6-6,0-4,0-3,2-6,11-5,0-7,13-7
Penn St.,155,128,80,15-16,135,8-4,6,7-12,2-8,5-7,2-8,1-2,6-6,6-0,3-10,9-3
Pepperdine,204,170,157,10-21,173,5-10,14,5-11,5-13,5-7,0-6,0-5,3-5,7-5,0-11,8-7
Pittsburgh,15,102,14,25-9,13,11-1,5,14-8,5-7,8-4,6-6,3-1,12-1,4-1,9-7,9-1
Portland,298,179,184,8-22,268,5-10,14,3-12,2-12,3-9,0-5,0-5,1-3,7-9,0-10,8-11
