Year,Round,Region Number,Region Name,Seed1,Score1,Team1,Team2,Score2,Seed2
2020,3,1,West,1,0,Gonzaga,Oregon,0,4,0
2020,3,1,West,2,0,San Diego St,BYU,0,6,0
2020,3,2,Midwest,1,0,Kansas,Auburn,0,5,0
2020,3,2,Midwest,2,0,Kentucky,Duke,0,3,1
2020,3,3,East,1,0,Dayton,Butler,0,5,0
2020,3,3,East,2,0,Florida St,West Virginia,0,3,0
2020,3,4,South,1,0,Baylor,Louisville,0,4,0
2020,3,4,South,2,0,Creighton,Michigan St,0,3,1
