YEAR,ROUND,TEAM1,TEAM1SEED,TEAM1REC,TEAM1RPI,TEAM1TOP50,TEAM1SCORE,TEAM2,TEAM2SEED,TEAM2REC,TEAM2RPI,TEAM2TOP50,TEAM2SCORE,WINNINGTEAM
2020,4,gonzaga,1,0.939,1,0.75,0,sandiegost,2,0.935,4,0.8,0,1
2020,4,sandiegost,2,0.935,4,0.8,0,gonzaga,1,0.939,1,0.75,0,0
2020,4,kansas,1,0.9,2,0.8,0,duke,3,0.806,6,0.625,0,1
2020,4,duke,3,0.806,6,0.625,0,kansas,1,0.9,2,0.8,0,0
2020,4,dayton,1,0.935,3,0.714,0,floridast,2,0.839,10,0.667,0,1
2020,4,floridast,2,0.839,10,0.667,0,dayton,1,0.935,3,0.714,0,0
2020,4,baylor,1,0.867,5,0.846,0,michiganst,3,0.71,7,0.562,0,1
2020,4,michiganst,3,0.71,7,0.562,0,baylor,1,0.867,5,0.846,0,0
