YEAR,ROUND,TEAM1,TEAM1SEED,TEAM1REC,TEAM1RPI,TEAM1TOP50,TEAM1SCORE,TEAM2,TEAM2SEED,TEAM2REC,TEAM2RPI,TEAM2TOP50,TEAM2SCORE,WINNINGTEAM
2020,6,kansas,1,0.9,2,0.8,0,gonzaga,1,0.939,1,0.75,0,1
2020,6,gonzaga,1,0.939,1,0.75,0,kansas,1,0.9,2,0.8,0,0
